stop_I;lat;lon;name
1;-34.594537;138.747886;Gawler Central Railway Station
2;-34.59514;138.7412;Gawler Oval Railway Station
3;-34.608171;138.739819;Gawler Railway Station
4;-34.620412;138.732799;Evanston Railway Station
5;-34.628232;138.726211;Tambelin Railway Station
6;-34.651587;138.706875;Kudla Railway Station
7;-34.666058;138.697971;Munno Para Railway Station
8;-34.681885;138.68706;Smithfield Railway Station
9;-34.695677;138.67431;Broadmeadows Railway Station
10;-34.703986;138.670099;Womma Railway Station
11;-34.716984;138.66493;Elizabeth Railway Station
12;-34.730852;138.656154;Elizabeth South Railway Station
13;-34.751234;138.643973;Nurlutta Railway Station
14;-34.762408;138.642389;Salisbury Railway Station
15;-34.774439;138.638379;Chidda Railway Station
16;-34.782731;138.631028;Parafield Railway Station
17;-34.79097;138.623675;Parafield Gardens Railway Station
18;-34.798737;138.616835;Greenfields Railway Station
19;-34.803742;138.612338;Mawson Lakes Railway Station
20;-34.834494;138.586008;Dry Creek Railway Station
21;-34.859874;138.57844;Kilburn Railway Station
22;-34.875218;138.581819;Islington Railway Station
23;-34.884747;138.583321;Dudley Park Railway Station
24;-34.895664;138.584382;Ovingham Railway Station
25;-34.9209;138.596794;Adelaide Railway Station
26;-34.905757;138.58182;North Adelaide Railway Station
27;-34.89626;138.584277;Ovingham Railway Station
28;-34.885406;138.583284;Dudley Park Railway Station
29;-34.875058;138.58175;Islington Railway Station
30;-34.859289;138.578279;Kilburn Railway Station
31;-34.835131;138.585469;Dry Creek Railway Station
32;-34.804203;138.611812;Mawson Lakes Railway Station
33;-34.799245;138.616281;Greenfields Railway Station
34;-34.791591;138.623043;Parafield Gardens Railway Station
35;-34.782865;138.630904;Parafield Railway Station
36;-34.774833;138.637954;Chidda Railway Station
37;-34.763132;138.642302;Salisbury Railway Station
38;-34.750328;138.644207;Nurlutta Railway Station
39;-34.731354;138.655752;Elizabeth South Railway Station
40;-34.717596;138.664455;Elizabeth Railway Station
41;-34.704596;138.66993;Womma Railway Station
42;-34.696074;138.673934;Broadmeadows Railway Station
43;-34.682357;138.686275;Smithfield Railway Station
44;-34.667114;138.697257;Munno Para Railway Station
45;-34.652062;138.706433;Kudla Railway Station
46;-34.628644;138.725765;Tambelin Railway Station
47;-34.620747;138.732437;Evanston Railway Station
48;-34.609032;138.739627;Gawler Railway Station
49;-34.595313;138.740476;Gawler Oval Railway Station
50;-34.594513;138.74767;Gawler Central Railway Station
51;-34.906355;138.581548;North Adelaide Railway Station
52;-35.189967;138.483444;Seaford Railway Station
53;-35.179365;138.487287;Seaford Meadows Railway Station
54;-35.140482;138.492252;Noarlunga Railway Station
55;-35.129631;138.496121;Christie Downs Railway Station
56;-35.109667;138.491799;Lonsdale Railway Station
57;-35.079833;138.50173;Hallett Cove Beach Railway Station
58;-35.066644;138.505489;Hallett Cove Railway Station
59;-35.046341;138.512465;Marino Rocks Railway Station
60;-35.042558;138.516915;Marino Railway Station
61;-35.0328;138.521378;Seacliff Railway Station
62;-35.021758;138.519312;Brighton Railway Station
63;-35.012223;138.523477;Hove Railway Station
64;-35.011263;138.533019;Warradale Railway Station
65;-35.009361;138.540667;Oaklands Railway Station
66;-34.99891;138.552831;Marion Railway Station
67;-34.991167;138.560921;Ascot Park Railway Station
68;-34.983287;138.566961;Woodlands Park Railway Station
69;-34.972519;138.571203;Edwardstown Railway Station
70;-34.966671;138.573636;Emerson Railway Station
71;-34.961666;138.580038;Clarence Park Railway Station
72;-34.95186;138.585083;Goodwood Railway Station
73;-34.94379;138.58311;Adelaide Showground Railway Station
74;-34.925309;138.580271;Mile End Railway Station
75;-34.924633;138.580273;Mile End Railway Station
76;-34.94365;138.58326;Adelaide Showground Railway Station
77;-34.950922;138.584845;Goodwood Railway Station
78;-34.961158;138.580767;Clarence Park Railway Station
79;-34.966209;138.574283;Emerson Railway Station
80;-34.97175;138.571233;Edwardstown Railway Station
81;-34.9825;138.567483;Woodlands Park Railway Station
82;-34.990544;138.561528;Ascot Park Railway Station
83;-34.998638;138.553246;Marion Railway Station
84;-35.009123;138.541083;Oaklands Railway Station
85;-35.011272;138.534156;Warradale Railway Station
86;-35.012121;138.524309;Hove Railway Station
87;-35.021038;138.519154;Brighton Railway Station
88;-35.032025;138.521449;Seacliff Railway Station
89;-35.041901;138.517749;Marino Railway Station
90;-35.045904;138.513157;Marino Rocks Railway Station
91;-35.065852;138.505828;Hallett Cove Railway Station
92;-35.079132;138.50221;Hallett Cove Beach Railway Station
93;-35.108956;138.491489;Lonsdale Railway Station
94;-35.128749;138.496381;Christie Downs Railway Station
95;-35.139741;138.492614;Noarlunga Railway Station
96;-35.178377;138.487813;Seaford Meadows Railway Station
97;-35.188857;138.483534;Seaford Railway Station
98;-34.778803;138.483889;Outer Harbor Railway Station
99;-34.786172;138.494555;North Haven Railway Station
100;-34.792808;138.499184;Osborne Railway Station
101;-34.79913;138.499144;Midlunga Railway Station
102;-34.805356;138.499091;Taperoo Railway Station
103;-34.814091;138.498977;Draper Railway Station
104;-34.819784;138.495133;Largs North Railway Station
105;-34.82728;138.491116;Largs Railway Station
106;-34.834511;138.491938;Peterhead Railway Station
107;-34.842075;138.493475;Glanville Railway Station
108;-34.848532;138.494932;Ethelton Railway Station
109;-34.849148;138.507387;Port Adelaide Railway Station
110;-34.857716;138.518158;Alberton Railway Station
111;-34.865428;138.524286;Cheltenham Railway Station
112;-34.87042;138.52934;St Clair Railway Station
113;-34.876763;138.537473;Woodville Railway Station
114;-34.881262;138.543347;Woodville Park Railway Station
115;-34.885983;138.549483;Kilkenny Railway Station
116;-34.891507;138.55669;West Croydon Railway Station
117;-34.896818;138.563616;Croydon Railway Station
118;-34.905741;138.575267;Bowden Railway Station
119;-34.900136;138.491103;Grange Railway Station
120;-34.899252;138.501417;East Grange Railway Station
121;-34.890613;138.514855;Seaton Park Railway Station
122;-34.881876;138.522911;Albert Park Railway Station
123;-34.906453;138.576063;Bowden Railway Station
124;-34.897355;138.564183;Croydon Railway Station
125;-34.891995;138.557182;West Croydon Railway Station
126;-34.886406;138.549899;Kilkenny Railway Station
127;-34.881706;138.543845;Woodville Park Railway Station
128;-34.877333;138.537997;Woodville Railway Station
129;-34.87055;138.52933;St Clair Railway Station
130;-34.866038;138.524748;Cheltenham Railway Station
131;-34.858368;138.518555;Alberton Railway Station
132;-34.849159;138.507894;Port Adelaide Railway Station
133;-34.849143;138.494925;Ethelton Railway Station
134;-34.842566;138.493398;Glanville Railway Station
