from_stop_I;to_stop_I;d;duration_avg;n_vehicles;route_I_counts
176;177;1005;98.0;106;537:106
177;178;835;82.0;106;537:106
178;179;465;77.0;106;537:106
179;180;451;75.0;106;537:106
180;181;455;75.0;106;537:106
181;182;425;73.0;106;537:106
182;183;511;81.0;106;537:106
183;184;517;82.0;106;537:106
184;185;877;139.0;106;537:106
185;186;443;70.0;106;537:106
186;187;832;132.0;106;537:106
187;188;579;96.0;106;537:106
188;189;377;174.28301886792454;106;537:106
189;190;463;214.1509433962264;106;537:106
190;191;398;183.9056603773585;106;537:106
191;192;306;142.03773584905662;106;537:106
192;193;214;102.98113207547169;106;537:106
193;194;429;112.33962264150944;106;537:106
194;195;442;116.33962264150944;106;537:106
195;196;997;211.71698113207546;106;537:106
196;197;497;105.35849056603773;106;537:106
197;198;710;151.60377358490567;106;537:106
199;200;418;80.0;99;537:99
200;201;365;70.0;99;537:99
201;202;427;82.0;99;537:99
202;203;599;115.0;99;537:99
203;176;677;133.0;99;537:99
204;205;485;100.34959349593495;123;537:123
205;206;477;98.21138211382114;123;537:123
206;207;330;68.52032520325203;123;537:123
207;208;479;101.21138211382114;123;537:123
209;210;676;128.0;106;537:106
210;211;529;100.0;106;537:106
211;212;1000;192.0;106;537:106
212;213;422;120.0;106;537:106
213;214;422;120.0;106;537:106
214;215;236;112.71698113207547;106;537:106
215;216;311;149.06603773584905;106;537:106
216;217;410;196.89622641509433;106;537:106
217;218;400;192.08490566037736;106;537:106
218;219;433;209.61320754716982;106;537:106
219;220;576;92.0;106;537:106
220;221;812;129.0;106;537:106
221;222;552;88.0;106;537:106
222;223;890;142.0;106;537:106
223;224;503;80.0;106;537:106
224;225;419;69.0;106;537:106
225;226;403;52.45283018867924;106;537:106
226;227;588;76.58490566037736;106;537:106
227;228;319;41.886792452830186;106;537:106
228;229;600;80.39622641509433;106;537:106
229;230;699;83.84905660377359;106;537:106
230;231;1204;144.83018867924528;106;537:106
231;204;591;120.0;106;537:106
