from_stop_I;to_stop_I;d;duration_avg;n_vehicles;route_I_counts
1;2;250;101.2;700;11:140,1:140,10:140,3:140,5:140
2;4;149;87.0;700;11:140,1:140,10:140,3:140,5:140
3;1;184;90.0;140;10:140
3;503;230;122.33333333333333;420;11:140,3:140,5:140
4;5;181;90.2;700;11:140,1:140,10:140,3:140,5:140
5;6;124;89.4;700;11:140,1:140,10:140,3:140,5:140
6;8;236;109.33333333333333;420;11:140,1:140,3:140
6;460;151;127.66666666666667;420;1:140,3:140,5:140
6;7;44;85.0;140;10:140
7;8;192;185.0;140;10:140
8;9;43;87.5;280;1:140,10:140
8;468;662;165.0;280;11:140,3:140
9;154;490;266.0;140;10:140
9;498;324;126.0;140;1:140
10;602;111;96.0;140;1:140
10;11;108;139.03973509933775;302;1:140,6:162
10;500;54;71.0;154;6:154
11;10;108;91.85714285714286;294;1:140,6:154
11;12;308;135.2317880794702;302;1:140,6:162
12;515;335;110.63326226012794;469;16:27,1:140,12:140,6:162
12;125;346;133.0;167;16:27,12:140
13;621;208;121.11615487316422;749;16:27,2:140,4:140,6:162,11:140,12:140
13;14;291;169.0;140;1:140
14;600;490;154.0;140;1:140
14;610;263;128.74542429284526;601;16:27,12:140,11:140,4:140,6:154
14;15;170;100.0;140;1:140
15;622;180;96.89097103918229;587;16:27,1:140,11:140,4:140,12:140
16;464;66;66.0;140;12:140
16;500;415;155.0;140;5:140
16;10;417;90.0;140;1:140
16;620;275;125.80838323353294;167;16:27,12:140
17;60;1123;90.0;5;14:5
17;276;327;192.15539568345324;695;8:121,11:140,3:140,5:140,7:154
18;19;248;100.0;4;13:4
19;297;786;107.0;4;13:4
20;312;252;140.0;140;10:140
20;21;183;100.0;158;9:158
21;22;234;119.86013986013987;429;8:121,9:158,10:150
22;250;1027;119.0;158;9:158
22;212;192;124.05166051660517;271;8:121,10:150
23;272;170;93.74436090225564;266;8:121,3:140,13:5
23;449;120;100.0;140;12:140
24;232;181;90.0;121;8:121
24;305;263;108.61172566371681;904;16:27,1:140,3:140,7:154,9:158,11:140,12:140,14:5
25;233;235;114.95114006514657;307;16:27,2:140,12:140
26;615;205;110.53333333333333;465;16:27,9:158,12:140,5:140
27;456;329;85.73333333333333;465;16:27,9:158,12:140,5:140
28;24;287;105.59512195121951;1025;16:27,1:140,3:140,7:154,8:121,9:158,11:140,12:140,14:5
28;458;259;94.0;5;15:5
29;135;186;125.91273996509598;573;16:27,3:140,8:121,11:140,12:140,14:5
30;31;422;133.0104712041885;573;16:27,3:140,8:121,11:140,12:140,14:5
31;235;172;103.96160558464223;573;16:27,3:140,8:121,11:140,12:140,14:5
32;497;243;121.61676646706587;167;16:27,12:140
32;498;660;205.0;140;5:140
32;236;937;171.0;126;8:121,14:5
32;605;672;192.0;140;11:140
32;534;521;270.0;140;3:140
33;469;150;122.50488599348535;307;16:27,12:140,5:140
34;470;83;85.23127035830619;307;16:27,12:140,5:140
35;496;108;124.19161676646706;167;16:27,5:140
35;36;285;120.35830618892508;307;16:27,12:140,5:140
36;129;191;105.0;140;5:140
36;37;302;118.35329341317366;167;16:27,12:140
36;238;674;202.0;140;5:140
37;38;356;130.0;167;16:27,12:140
38;16;341;119.32335329341318;167;16:27,12:140
39;12;140;95.97005988023952;167;16:27,12:140
40;302;45;84.53083109919571;746;16:27,1:140,4:140,7:154,11:140,12:140,15:5
41;624;291;121.8502994011976;167;16:27,12:140
41;119;216;134.0;140;12:140
42;162;54;80.0;158;9:158
