stop_I;lat;lon;name
1;-23.57872286;-70.38353026;Héroes de la concepción, null
2;-23.5809402;-70.38313866;Heroes de La Concepción, 9254-9266
3;-23.57859749;-70.38172379;Juan Orione, 896
4;-23.58228239;-70.38312793;Héroes de la concepción, null
5;-23.5838163;-70.38371801;Heroes de La Concepción, 9046
6;-23.58430794;-70.38262367;El Roble, 8974-8992
7;-23.58471108;-70.38261831;El Roble, 8968
8;-23.5864072;-70.38297772;El Roble, 8816-8840
9;-23.58679558;-70.38302063;Juan Bolívar
10;-23.59287848;-70.38076566;Huamachuco, 8346-8366
11;-23.5938502;-70.38082123;Huamachuco, 8261-8285
12;-23.59647532;-70.38180292;Mateo de Toro y Zambrano / Bandera
13;-23.60114532;-70.38211942;Pantaleón Cortes, 805-835
14;-23.60376537;-70.38223207;Bandera, 7315
15;-23.60469442;-70.38090706;Agustinas, 642
16;-23.59247495;-70.38483649;Morro de Arica, 8324-8374
17;-23.63537631;-70.39381653;Iquique, 3909-3929
18;-23.62850331;-70.38609445;Presidente Salvador Allende
19;-23.62866058;-70.38365901;Talcahuano, 4569-4575
20;-23.62961894;-70.38137912;Domingo Faustino Sarmiento, 4536
21;-23.63048391;-70.3798449;Paraguay, 1360-1390
22;-23.62992856;-70.3776294;Paraguay, 1286-1292
23;-23.62835095;-70.38707078;Card Carlos Oviedo Cavada, 4535-4585
24;-23.56679474;-70.39094817;Pedro Aguirre cerda / Lomas del Sur
25;-23.55091682;-70.39354026;Oficina Lastenia /Oficina Peñaflor
26;-23.55946332;-70.39961815;Benito Ocampo / Oficina Ausonia
27;-23.5543345;-70.39873301;Benito Ocampo / Oficina Anita
28;-23.56421086;-70.39107531;Pedro Aguirre Cerda / Santiago Humberstone
29;-23.57637764;-70.39103508;Pedro Aguirre Cerda / Chacalluta
30;-23.57908176;-70.39078832;Pedro Aguirre Cerda / Río de los Cipreses
31;-23.58286744;-70.39043427;Pedro Aguirre Cerda / Los Paquenes
