from_stop_I;to_stop_I;d;d_walk
1;2;251;259
1;3;185;187
1;4;399;409
1;5;568;590
1;6;629;681
1;7;674;729
1;8;858;922
1;9;901;969
1;459;298;423
1;460;603;726
1;461;529;717
1;535;608;630
1;530;384;388
1;534;910;948
1;149;535;757
1;150;467;649
1;151;439;575
1;152;501;683
1;153;698;954
1;346;437;550
1;347;565;568
1;348;395;557
1;225;415;446
1;226;515;715
1;230;630;786
1;361;835;842
1;362;740;975
1;363;533;736
1;364;413;439
1;429;764;957
1;503;297;416
1;568;324;571
1;428;572;780
2;3;299;413
2;4;150;163
2;5;326;344
2;6;379;435
2;7;424;483
2;8;609;676
2;9;652;723
2;459;511;649
2;460;364;480
2;461;389;472
2;529;632;764
2;530;439;614
2;149;712;983
2;150;619;875
2;151;392;471
2;152;387;523
2;153;500;709
2;346;219;305
2;347;597;792
2;348;606;783
2;605;672;793
2;224;559;780
2;225;485;672
2;226;681;941
2;535;367;384
2;534;679;702
2;363;700;962
2;364;451;613
2;436;663;915
2;502;692;825
2;503;508;642
2;568;559;797
2;428;418;535
2;554;700;964
3;4;435;562
3;5;616;743
3;6;643;765
3;7;687;808
3;8;879;1000
3;428;457;620
3;459;237;240
3;460;573;578
3;461;408;559
3;535;657;783
3;591;691;826
3;529;859;863
3;146;578;822
3;148;648;829
3;149;414;574
3;150;322;465
3;151;277;398
3;152;368;520
3;153;610;794
3;346;397;399
3;347;380;382
3;348;322;373
3;224;687;873
3;225;231;261
3;226;383;532
3;227;670;871
3;229;919;921
3;230;601;602
3;568;309;388
3;360;723;900
3;361;651;656
3;362;580;792
3;363;402;553
3;364;229;254
3;429;591;772
3;430;752;978
3;530;199;203
3;502;922;924
3;503;231;233
3;504;869;874
4;5;182;189
4;6;232;280
4;7;276;328
4;8;460;520
4;9;503;568
4;459;657;799
4;460;248;350
4;461;389;435
4;462;797;897
4;529;494;634
4;466;852;858
4;468;846;994
4;534;538;547
4;151;456;620
4;152;408;494
4;153;430;671
4;346;171;209
4;347;681;942
4;348;750;932
4;605;523;638
4;224;473;650
4;225;592;821
4;535;223;228
4;554;641;834
4;427;662;920
4;364;549;762
4;530;544;763
4;498;802;904
4;436;598;784
4;501;836;987
4;502;551;694
4;503;653;791
4;568;708;947
4;428;401;497
5;133;762;906
5;6;125;129
5;7;151;178
5;8;299;370
5;9;340;418
5;459;836;980
5;460;249;325
5;224;482;507
5;462;637;747
5;461;507;616
5;529;386;490
5;466;671;675
5;467;763;860
5;468;695;810
5;534;358;363
5;151;612;801
5;152;539;676
5;153;467;555
5;346;296;360
5;605;350;487
5;32;727;969
5;555;718;946
5;536;895;911
5;535;42;45
5;554;675;690
5;427;596;776
5;364;718;944
5;530;717;945
5;498;624;720
5;499;792;889
5;436;626;641
5;501;697;843
5;502;434;550
5;503;833;973
5;428;502;679
6;7;45;56
6;8;237;248
6;9;280;296
6;535;125;169
6;460;152;203
6;461;449;637
6;462;569;625
6;463;890;911
6;529;272;368
6;466;679;761
6;467;801;946
6;468;766;897
6;534;372;450
6;151;582;822
6;152;490;697
6;153;365;433
6;154;646;888
6;346;268;366
6;133;831;992
6;224;368;385
6;538;677;927
6;536;785;790
6;453;731;958
6;427;473;654
6;364;706;965
6;530;711;967
6;605;313;366
6;498;596;709
6;499;761;877
6;436;515;519
6;437;719;939
6;502;326;429
6;503;870;995
6;428;433;602
6;554;565;569
6;345;683;925
6;501;605;721
7;8;193;194
7;9;236;241
7;535;138;217
7;460;175;245
7;461;480;679
7;462;524;570
7;463;846;856
7;529;237;326
7;466;643;746
