from_stop_I;to_stop_I;d;duration_avg;n_vehicles;route_I_counts
4395;4378;669;120.0;199;6:199
4395;4396;669;120.0;201;6:201
7171;4115;8184;360.0;36;5:36
7171;7135;2447;300.0;35;5:35
5747;5744;621;60.0;230;4:230
262;460;839;120.0;239;4:239
262;263;939;120.0;240;4:240
263;3234;1328;120.0;135;4:135
263;262;939;60.0;239;4:239
5640;5744;805;60.0;239;4:239
5640;438;1286;120.0;230;4:230
1673;1660;896;120.0;197;6:197
1673;1661;1671;180.0;204;6:204
3729;3730;944;240.0;197;6:197
3730;3729;944;240.0;204;6:204
3730;1661;1060;120.0;197;6:197
4115;5881;5060;360.0;36;5:36
4115;7171;8184;360.0;35;5:35
537;539;681;60.0;240;4:240
537;1207;757;120.0;239;4:239
4378;4395;669;120.0;201;6:201
4378;1219;1254;180.0;199;6:199
539;537;681;60.0;239;4:239
539;1203;645;120.0;240;4:240
1207;537;757;60.0;240;4:240
1207;1212;1034;120.0;201;6:201
1207;1205;920;120.0;201;6:201
1207;438;901;120.0;239;4:239
1219;1216;499;120.0;200;6:200
1219;4378;1254;180.0;201;6:201
545;546;655;120.0;240;4:240
545;1203;575;60.0;239;4:239
3234;263;1328;120.0;134;4:134
3234;1599;1288;120.0;135;4:135
6278;6322;1061;120.0;225;5:225
6278;6261;1077;119.74025974025975;231;5:231
1961;6771;1170;120.0;135;4:135
1961;1599;1694;120.0;134;4:134
5127;5106;1878;120.0;200;6:200
4396;3280;1104;120.0;201;6:201
4396;4395;669;120.0;199;6:199
1197;3384;814;120.0;203;6:203
1197;1198;1390;120.0;200;6:200
1198;1200;467;120.0;200;6:200
1198;1197;1390;120.0;200;6:200
1200;546;880;120.0;230;5:230
1200;1203;853;120.0;200;6:200
1200;1198;467;120.0;200;6:200
1200;463;1267;120.0;226;5:226
6322;7250;968;120.0;225;5:225
6322;6278;1061;119.74025974025975;231;5:231
1203;1200;853;120.0;200;6:200
1203;545;575;60.0;240;4:240
1203;539;645;60.0;239;4:239
1203;1205;1016;120.0;201;6:201
3380;3384;574;120.0;200;6:200
3380;4337;1601;180.0;203;6:203
1205;1203;1016;120.0;201;6:201
1205;1207;920;120.0;201;6:201
438;5640;1286;120.0;239;4:239
438;1207;901;120.0;239;4:239
439;441;536;120.0;240;4:240
439;546;884;120.0;239;4:239
3384;3380;574;120.0;203;6:203
3384;1197;814;120.0;200;6:200
441;450;777;60.0;240;4:240
441;439;536;60.0;239;4:239
572;546;1016;180.0;226;5:226
572;579;565;120.0;231;5:231
1213;1216;981;120.0;201;6:201
1213;1212;581;60.0;200;6:200
62;1487;1436;120.0;228;5:228
1599;1961;1694;60.0;135;4:135
1599;3234;1288;120.0;134;4:134
1216;1219;499;120.0;201;6:201
1216;1213;981;120.0;200;6:200
450;441;777;120.0;239;4:239
450;460;508;120.0;240;4:240
579;587;1032;120.0;231;5:231
579;572;565;60.0;226;5:226
460;450;508;60.0;239;4:239
460;262;839;120.0;240;4:240
1482;463;1900;120.0;228;5:228
1482;1487;1073;120.0;226;5:226
587;579;1032;60.0;226;5:226
587;588;850;120.0;231;5:231
588;587;850;120.0;226;5:226
588;598;1117;120.0;231;5:231
546;1200;880;120.0;226;5:226
546;545;655;120.0;239;4:239
546;572;1016;120.0;230;5:230
546;439;884;60.0;240;4:240
463;1200;1267;120.0;228;5:228
463;1482;1900;120.0;226;5:226
3280;4396;1104;120.0;199;6:199
3280;1660;1480;120.0;201;6:201
7250;6322;968;119.74025974025975;231;5:231
7250;598;1134;60.0;226;5:226
598;7250;1134;60.0;231;5:231
598;588;1117;120.0;226;5:226
1487;1482;1073;120.0;228;5:228
1487;62;1436;120.0;226;5:226
7135;6242;3743;180.0;35;5:35
7135;7171;2447;120.0;36;5:36
6242;6243;1192;180.0;225;5:225
6242;7135;3743;360.0;36;5:36
6243;6242;1192;120.0;231;5:231
6243;6261;848;60.0;225;5:225
1212;1213;581;60.0;201;6:201
1212;1207;1034;120.0;200;6:200
5744;5640;805;60.0;230;4:230
5744;5747;621;60.0;239;4:239
4337;5106;1870;180.0;203;6:203
4337;3380;1601;180.0;200;6:200
5106;4337;1870;180.0;200;6:200
5106;5127;1878;120.0;203;6:203
6771;1961;1170;120.0;134;4:134
6261;6243;848;60.0;231;5:231
6261;6278;1077;120.0;225;5:225
5881;4115;5060;360.0;35;5:35
1660;3280;1480;120.0;199;6:199
1660;1673;896;120.0;204;6:204
1661;1673;1671;180.0;197;6:197
1661;3730;1060;120.0;204;6:204
