from_stop_I;to_stop_I;d;duration_avg;n_vehicles;route_I_counts
4481;4485;527;117.87234042553192;141;2:68,3:73
4481;798;637;120.4054054054054;148;2:69,3:79
4485;4481;527;116.35135135135135;148;2:69,3:79
4485;4490;401;62.12765957446808;141;2:68,3:73
1545;1546;392;60.0;138;1:65,3:73
1545;5058;516;93.28767123287672;146;1:67,3:79
4490;4529;355;60.0;141;2:68,3:73
4490;4485;401;63.648648648648646;148;2:69,3:79
784;785;548;120.0;141;2:68,3:73
785;787;484;180.0;141;2:68,3:73
786;784;686;83.91891891891892;148;2:69,3:79
787;786;547;92.02702702702703;148;2:69,3:79
787;788;445;91.06382978723404;141;2:68,3:73
788;787;445;118.78378378378379;148;2:69,3:79
788;789;588;120.0;141;2:68,3:73
789;794;434;146.80851063829786;141;2:68,3:73
789;788;588;120.0;148;2:69,3:79
5145;4346;817;120.0;134;1:65,2:69
5145;5146;433;29.77777777777778;135;1:67,2:68
5146;5145;433;90.8955223880597;134;1:65,2:69
794;789;434;151.6216216216216;148;2:69,3:79
794;798;493;93.19148936170212;141;2:68,3:73
798;4481;637;120.0;141;2:68,3:73
798;794;493;120.0;148;2:69,3:79
2721;6770;551;111.67883211678833;137;1:60,3:77
2721;2725;528;119.56834532374101;139;1:60,3:79
2725;2736;544;60.431654676258994;139;1:60,3:79
2725;2721;528;116.05839416058394;137;1:60,3:77
5031;5032;380;120.0;141;2:68,3:73
5031;4531;365;60.0;148;2:69,3:79
5032;5033;477;120.0;141;2:68,3:73
5032;5031;380;121.62162162162163;148;2:69,3:79
5033;5032;477;93.64864864864865;148;2:69,3:79
5033;5047;434;60.0;141;2:68,3:73
2736;2740;381;119.56834532374101;139;1:60,3:79
2736;2725;544;63.941605839416056;137;1:60,3:77
4529;4530;343;117.87234042553192;141;2:68,3:73
4529;4490;355;90.4054054054054;148;2:69,3:79
4530;4529;343;61.62162162162162;148;2:69,3:79
4530;4531;435;60.0;141;2:68,3:73
4531;4530;435;115.13513513513513;148;2:69,3:79
4531;5031;365;60.0;141;2:68,3:73
2740;2736;381;116.05839416058394;137;1:60,3:77
2740;2741;334;60.431654676258994;139;1:60,3:79
2741;2740;334;63.941605839416056;137;1:60,3:77
2741;2742;386;60.0;139;1:60,3:79
2742;2741;386;60.0;137;1:60,3:77
2742;2743;433;103.59712230215827;139;1:60,3:79
3465;3402;375;90.8955223880597;134;1:65,2:69
3465;4346;565;80.44444444444444;135;1:67,2:68
5048;5058;504;120.0;65;1:65
5048;5051;686;90.66666666666667;135;1:67,2:68
5048;5047;294;60.0;69;2:69
1593;1594;711;91.73913043478261;138;1:65,3:73
1593;1546;335;60.821917808219176;146;1:67,3:79
1594;1593;711;91.64383561643835;146;1:67,3:79
1594;1595;514;120.0;138;1:65,3:73
1595;1594;514;141.36986301369862;146;1:67,3:79
1595;6740;559;60.0;138;1:65,3:73
5052;5051;300;63.582089552238806;134;1:65,2:69
5052;5054;401;105.77777777777777;135;1:67,2:68
1546;1593;335;60.0;138;1:65,3:73
1546;1545;392;90.82191780821918;146;1:67,3:79
5054;5052;401;116.41791044776119;134;1:65,2:69
5054;5055;629;101.77777777777777;135;1:67,2:68
5055;5056;450;90.66666666666667;135;1:67,2:68
5055;5054;629;90.8955223880597;134;1:65,2:69
5056;3402;535;108.0;135;1:67,2:68
5056;5055;450;90.8955223880597;134;1:65,2:69
5058;5048;504;119.1044776119403;67;1:67
5058;1545;516;91.73913043478261;138;1:65,3:73
5058;5047;398;60.0;79;3:79
3402;5056;535;120.0;134;1:65,2:69
3402;3465;375;101.77777777777777;135;1:67,2:68
2743;6506;759;120.0;139;1:60,3:79
2743;2742;433;107.73722627737226;137;1:60,3:77
6740;1595;559;60.0;146;1:67,3:79
6740;6741;580;91.73913043478261;138;1:65,3:73
6741;6740;580;61.23287671232877;146;1:67,3:79
6741;6742;198;60.0;138;1:65,3:73
6742;6746;712;120.0;128;1:57,3:71
6742;6741;198;91.23287671232876;146;1:67,3:79
6746;6748;514;104.02877697841727;139;1:60,3:79
6746;6742;712;120.0;133;1:56,3:77
6748;6770;615;75.97122302158273;139;1:60,3:79
6748;6746;514;111.67883211678833;137;1:60,3:77
5051;5048;686;90.8955223880597;134;1:65,2:69
5051;5052;300;62.22222222222222;135;1:67,2:68
6506;2743;759;120.0;137;1:60,3:77
5047;5048;294;60.0;68;2:68
5047;5033;434;116.75675675675676;148;2:69,3:79
5047;5058;398;120.0;73;3:73
6770;2721;551;104.02877697841727;139;1:60,3:79
6770;6748;615;68.32116788321167;137;1:60,3:77
4346;3465;565;120.0;134;1:65,2:69
4346;5145;817;148.0;135;1:67,2:68
