stop_I;lat;lon;name
1;54.552832;-6.045183;Mount Eagles
2;54.600955;-5.92366;Queens Square
3;54.555152;-6.042798;Lagmore Reservoir
4;54.600624;-5.918624;Station Street
5;54.554886;-6.041874;Lagmore Avenue (Teeling Avenue)
6;54.600146;-5.908106;Short Strand (Newtownards Road)
7;54.553893;-6.039826;Lagmore Avenue (Glendowan Park)
8;54.599795;-5.905037;Tower Street
9;54.554147;-6.032764;Lagmore Avenue (Glenferna)
10;54.599367;-5.901588;Templemore Avenue
11;54.551385;-6.031718;Lagmore Meadows
12;54.598898;-5.897996;Dee Street
13;54.54965;-6.031949;Lagmore Drive
14;54.59833;-5.893589;Ribble Street
15;54.548405;-6.029103;Lagmore Dale
16;54.598146;-5.892038;Connswater
17;54.548348;-6.029468;Lagmore Dale
18;54.597874;-5.889874;Connswater
19;54.548739;-6.031766;Lagmore Drive
20;54.598112;-5.887511;Holywood Arches
21;54.550946;-6.032216;Lagmore Meadows
22;54.600047;-5.88466;Dundela Park
23;54.553815;-6.032205;Lagmore Avenue (Glenferna)
24;54.601894;-5.882884;Parkgate Avenue
25;54.553808;-6.039694;Lagmore Avenue (Glendowan Park)
26;54.554533;-6.041685;Lagmore Avenue (Teeling Avenue)
27;54.604841;-5.88016;Connsbrook Avenue (Larkfield)
28;54.605702;-5.876028;Palmerston Road
29;54.547009;-6.023504;Summerhill Estate
30;54.607115;-5.874597;Palmerston Road (Station Road)
31;54.54981;-6.023393;Summerhill Drive (St.Marks)
32;54.608086;-5.875449;Station Road
33;54.552587;-6.021841;Brook Activity Centre
34;54.609335;-5.876885;Sydenham Halt
35;54.554501;-6.0235;Twinbrook Road
36;54.610387;-5.874645;Inverary Drive
37;54.554757;-6.026078;Twinbrook Road
38;54.609727;-5.872522;Inverary Playing Fields
39;54.608824;-5.870391;Inverleath Drive
40;54.608366;-5.868689;Carolhill
41;54.610003;-5.866707;Ashfield Boys
42;54.611015;-5.865439;Ashfield Girls
43;54.560429;-5.998549;Black's Road (Balmoral Hotel)
44;54.612944;-5.86305;Blanchflower Park
45;54.56283;-6.001276;Black's Road (Garnock Hill)
46;54.614666;-5.861803;Tillysburn
47;54.564081;-6.003983;Black's Road (Brooke Drive)
48;54.618916;-5.857976;Knocknagoney Road
49;54.564347;-6.005727;Black's Road (Black's Court)
50;54.618511;-5.854869;Knocknagoney Primary
51;54.56575;-6.009781;Black's Road (Erris Grove)
52;54.618219;-5.853044;Knocknagoney Avenue
53;54.566112;-6.01025;Black's Road (Ringford Park)
54;54.565106;-6.008309;Black's Road (Trenchard)
55;54.618729;-5.857059;Knocknagoney Primary
56;54.562934;-6.001116;Black's Road (Brooke Drive)
57;54.619011;-5.859503;Knocknagoney Dale
58;54.560819;-5.998711;Black's Road (Balmoral Hotel)
59;54.618537;-5.860249;Tillysburn
60;54.559348;-5.997236;Black's Road (M1 Onslip)
61;54.613848;-5.861772;Tillysburn Park
62;54.612936;-5.862724;Templeton House
63;54.61084;-5.865283;Ashfield Girls
64;54.562518;-6.017465;Upper Dunmurry Lane (Glengoland)
65;54.609445;-5.866995;Ashfield Boys
66;54.560155;-6.015205;Upper Dunmurry Lane (Corrina Park)
67;54.608509;-5.868145;Carolhill
68;54.560511;-6.015874;Upper Dunmurry Lane (Corrina Park)
69;54.608629;-5.870031;Inverary Avenue
70;54.562189;-6.01734;Upper Dunmurry Lane (Glengoland)
71;54.609347;-5.871742;Inverleith Drive
72;54.556987;-6.010668;Upper Dunmurry Lane (Cherry Road)
73;54.610072;-5.873546;Inverary Playing Fields
74;54.55413;-6.013838;Cherry Road
75;54.609139;-5.877129;Sydenham Station
76;54.553625;-6.016852;Cherry Park
77;54.608158;-5.875471;Station Road
78;54.554942;-6.019164;Aspen Walk
79;54.607223;-5.874329;Palmerston Road (Station Road)
80;54.554963;-6.021781;St Luke's
81;54.605151;-5.87723;Larkfield Road
82;54.554997;-6.021846;St Luke's
83;54.605225;-5.879685;Connsbrook Avenue (Larkfield)
84;54.554957;-6.018995;Aspen Walk
85;54.603789;-5.88102;Strandburn Drive
86;54.553728;-6.016986;Cherry Park
87;54.602713;-5.882017;Parkgate Avenue
88;54.554415;-6.013634;Cherry Road
89;54.600116;-5.884465;Glendale Court
90;54.556629;-6.010355;Upper Dunmurry Lane (Cherry Road)
92;54.55799;-6.012423;Upper Dunmurry Lane (Credenhill)
93;54.598255;-5.886689;Holywood Arches
94;54.563124;-6.021131;Old Colin
95;54.597946;-5.892096;Connswater
96;54.563234;-6.026744;Laurelbank
97;54.598225;-5.89378;Hunt Street
98;54.565654;-6.02672;Poleglass (Pembroke Loop)
99;54.598715;-5.89756;Dee Street
100;54.567585;-6.023583;Pembroke Manor
101;54.59921;-5.901433;Templemore Avenue
102;54.570364;-6.026535;Colinbrook Avenue
103;54.599485;-5.90352;Tower Street
104;54.568992;-6.02804;Springbank Close
105;54.599875;-5.906454;Bryson Street
106;54.567952;-6.029563;Springbank Drive
107;54.60018;-5.909008;Short Strand (Newtownards Road)
108;54.564108;-6.02858;Pantridge Road (Pembrooke Loop)
109;54.599766;-5.917055;Bridge End
110;54.563305;-6.026519;Laurelbank
111;54.598917;-5.921604;Oxford Street
112;54.563361;-6.021046;Old Colin
113;54.597288;-5.921355;Waterfront Hall
114;54.56315;-6.034397;Brian's Well Close
115;54.595744;-5.916854;East Bridge Street (Central Station)
116;54.561049;-6.035907;Brian's Well Road (Glenkeen)
117;54.595833;-5.909381;Short Strand (Albert Bridge Road)
118;54.563523;-6.034264;Brian's Well Close
119;54.595363;-5.906378;The Mount
120;54.5605;-6.029987;Bell Steel Road (Glenwood)
121;54.59533;-5.902673;Templemore Avenue
122;54.556298;-6.029495;Bell Steel Road (Woodside)
123;54.595892;-5.900016;Glenmore Street
124;54.557233;-6.026276;Bell Steel Road (Stewartstown Road)
125;54.596703;-5.897197;Hornby Street
126;54.597322;-5.931116;Donegall Square North
127;54.597771;-5.893628;Bloomfield Commercial Centre
128;54.599623;-5.882482;Strandtown
129;54.600426;-5.879879;Strand Cinema
130;54.601218;-5.878173;Holywood Road (Park Avenue)
131;54.60347;-5.874979;St Mark's
132;54.595301;-5.944552;Grosvenor Road Rec. Centre
133;54.604911;-5.872931;Clonaver
134;54.595206;-5.947191;184 Grosvenor Road
135;54.606999;-5.870357;Tudordale
136;54.595116;-5.949692;Grosvenor Road 210
137;54.615112;-5.860219;Garnerville Road
138;54.614785;-5.856655;55 Garnerville Road
139;54.595459;-5.953225;Royal Hospitals (Grosvenor Road)
140;54.614801;-5.852767;Upper Garnaville Road
141;54.596054;-5.956195;Springfield Road - Inner Zone
142;54.60721;-5.86968;Tudordale
143;54.597226;-5.958028;Iris Street
144;54.612617;-5.852436;Old Holywood Road
145;54.598893;-5.9596;Blackstaff Bar
146;54.610535;-5.85258;Glenmillan
147;54.599904;-5.960566;Springfield Road
148;54.609131;-5.851208;Old Holywood Road.
149;54.601617;-5.96318;Elswick Street
150;54.607904;-5.851045;82 Old Holywood Road
151;54.602192;-5.96511;Pollard Street
152;54.606232;-5.85411;Cairnburn Road
153;54.600853;-5.969193;Springdale
154;54.605416;-5.860245;C I Y M S
155;54.599475;-5.971724;Farset Int.
156;54.604364;-5.863615;Circular Road
157;54.599327;-5.973506;West Circular (Springfield)
158;54.606175;-5.870821;Circular Road
159;54.601383;-5.974419;Springfield Parade
160;54.605824;-5.871392;Station Road
161;54.603971;-5.974749;West Circular Flats
162;54.604382;-5.873454;Clonaver
163;54.605238;-5.974516;West Circular Crescent
164;54.602865;-5.875618;St Mark's
165;54.607224;-5.973765;Ballygomartin Bapist Church
166;54.601076;-5.878113;Holywood Road (Park Avenue)
167;54.610082;-5.967521;Twaddell Avenue
168;54.599292;-5.883256;Strandtown
169;54.611875;-5.967416;The Avenue
170;54.597446;-5.893953;Bloomfield Commercial Centre
171;54.613422;-5.964948;The Cabin
172;54.596898;-5.896163;Hornby Street
173;54.612739;-5.966044;The Cabin
174;54.596255;-5.898239;Avoniel
175;54.611578;-5.96714;Woodvale Parade
176;54.595253;-5.901999;Templemore Avenue
177;54.621834;-5.913815;Bretland House
178;54.59513;-5.906077;The Mount
179;54.595531;-5.909538;Short Strand (Albert Bridge Road)
180;54.595614;-5.91585;Maysfield
181;54.590561;-5.958047;RVH Stores
182;54.595531;-5.917871;East Bridge Street (Central Station)
183;54.592443;-5.95634;Childrens Hospital
184;54.600612;-5.877712;Gelstons Corner
185;54.593228;-5.954341;RVH Maternity Ward
186;54.600234;-5.874903;Ranfurly Drive
187;54.594703;-5.951588;Institute Of Pathology
188;54.599847;-5.871567;98 Belmont Road
189;54.599503;-5.971959;Springvale (West Circular Road)
190;54.599594;-5.869344;126 Belmont Road
191;54.600183;-5.970445;Springvale Parade
192;54.599648;-5.86512;Belmont Church Road
193;54.601572;-5.968659;Springvale Campus
194;54.600031;-5.863003;Pine Lodge
195;54.602424;-5.965721;Workman Avenue
196;54.600564;-5.858422;212 Belmont Road
197;54.601508;-5.962673;Lanark Way
198;54.599831;-5.960341;Springfield Road 197
199;54.601182;-5.853709;Campbell College
200;54.598948;-5.959543;Blackstaff Bar
201;54.603113;-5.852358;Schomberg Avenue
202;54.597838;-5.958289;Peter Pan Complex
203;54.605168;-5.847998;2 Massey Avenue
204;54.595668;-5.953695;Grosvenor Road (Royal Hospital)
205;54.604352;-5.846511;Netherleigh Mews
206;54.595196;-5.950272;Grosvenor Road Surgery
207;54.604064;-5.844269;Massey Avenue (Castlehill Road)
208;54.595259;-5.947769;Grosvenor Road Post Office
209;54.603583;-5.841559;Cloverhill Gardens
210;54.595349;-5.946136;Cullingtree Road
211;54.602462;-5.838913;42 Massey Avenue
212;54.595723;-5.938784;Grosvenor Road PSNI Station
213;54.603405;-5.832139;Parliament Buildings
