from_stop_I;to_stop_I;d;d_walk
1;1657;160;196
1;3;301;334
1;5;313;432
1;7;366;611
1;25;371;629
1;26;295;476
1;1659;499;618
1;1658;165;200
2;4;327;421
2;1494;578;770
2;1867;452;465
2;1623;701;854
2;1492;529;654
2;1484;799;959
2;109;447;562
2;1298;585;753
2;1299;497;597
2;1428;693;932
2;1301;454;591
2;1302;776;948
2;1303;795;932
2;1304;723;820
2;1305;699;829
2;1306;665;817
2;1307;557;680
2;1308;549;744
2;1309;573;774
2;1310;606;812
2;1311;791;982
2;1312;492;661
2;1313;452;656
2;1608;394;410
2;1579;210;238
2;1580;463;558
2;1581;486;627
2;1582;494;640
2;1583;509;690
2;945;666;806
2;182;710;939
2;1609;539;645
2;1823;503;614
2;1482;423;566
2;1781;820;984
2;1839;392;526
2;963;674;859
2;1479;817;972
2;1480;648;809
2;1481;341;481
2;842;613;787
2;1483;624;779
2;844;693;875
2;1485;429;582
2;846;823;1000
2;1872;798;982
2;1873;839;975
2;1875;762;895
2;1876;783;932
2;1877;813;980
2;1878;651;787
2;1495;663;876
2;1624;678;817
2;1626;699;829
2;731;592;721
2;1500;708;842
2;1501;679;808
2;1502;233;246
2;1503;501;620
2;1832;585;691
2;613;757;859
2;1511;300;405
2;1384;518;697
2;1385;495;744
2;1386;503;715
2;1387;523;695
2;1388;515;728
2;493;587;714
2;1902;804;999
2;111;263;355
2;113;435;535
2;115;728;927
2;1866;418;429
2;1534;851;992
2;1622;729;897
2;1300;490;679
2;1660;650;847
2;126;629;776
2;1493;533;625
3;1657;333;531
3;25;251;298
3;5;67;102
3;1659;199;288
3;23;700;853
3;9;658;796
3;26;100;146
3;7;238;281
3;1658;322;534
4;1839;550;764
4;1579;512;650
4;6;681;732
4;711;559;754
4;8;882;939
4;1481;515;805
4;1482;557;890
4;1867;749;874
4;1485;554;906
4;1872;544;728
4;593;464;659
4;595;641;849
4;1492;549;724
4;1493;625;853
4;1494;732;1000
4;1881;665;828
4;1307;809;994
4;1308;762;982
4;1502;540;658
4;1503;304;367
4;1312;715;898
4;1313;662;893
4;613;430;485
4;1609;800;959
4;1511;438;643
4;1608;692;818
4;105;790;843
4;107;623;677
4;1580;779;970
4;109;140;188
4;111;271;358
4;113;412;537
4;115;556;811
4;180;586;948
4;182;570;892
4;713;451;637
4;1873;559;721
4;1823;295;361
4;1866;714;837
4;1534;565;739
5;25;185;198
5;1657;373;629
5;1659;208;309
5;23;636;753
5;9;594;696
5;26;42;46
5;7;173;180
5;1658;364;632
6;706;649;958
6;710;360;634
6;711;274;481
6;8;202;212
6;713;304;364
6;10;430;439
6;459;563;840
6;12;667;675
6;14;958;966
6;1872;501;910
6;593;265;321
6;595;230;577
6;597;424;698
6;598;641;954
6;708;503;790
6;1533;362;772
6;413;578;816
6;613;251;362
6;97;949;956
6;99;699;706
6;101;443;450
6;103;305;312
6;1512;406;761
6;105;111;116
6;107;59;65
6;109;579;591
6;174;770;946
6;111;882;956
6;176;673;862
6;178;574;955
6;179;522;856
6;180;710;973
6;117;488;815
6;119;544;976
6;1873;406;879
6;121;641;895
6;123;705;891
6;125;802;979
6;1534;385;897
7;9;457;515
7;23;493;572
7;11;594;936
7;21;591;998
7;25;13;17
7;1657;479;808
7;26;140;146
7;1659;332;488
7;1658;474;811
8;704;706;849
8;718;823;955
8;706;565;890
8;711;415;673
8;713;479;570
8;10;228;243
8;12;465;479
8;14;757;770
8;16;859;873
8;593;446;528
8;595;339;575
8;597;406;629
8;598;556;885
8;600;717;868
8;708;458;721
8;1533;393;979
8;613;452;569
8;97;747;759
8;99;497;510
8;101;242;253
8;103;104;115
8;752;826;986
8;105;92;101
8;170;762;911
8;107;260;271
8;172;657;805
8;109;775;798
8;174;590;750
8;710;381;566
8;176;543;666
8;1512;405;967
8;178;524;886
8;119;501;907
8;121;520;698
8;123;542;694
8;125;612;783
8;127;770;925
9;1769;267;640
9;394;375;872
9;11;315;427
9;396;422;626
9;13;504;630
9;398;786;896
9;15;682;862
9;17;680;880
9;370;651;753
9;19;606;733
9;372;432;599
9;21;359;489
9;374;372;750
9;23;52;62
9;376;369;912
9;25;449;513
9;26;578;661
10;716;751;962
10;12;238;252
10;14;529;543
10;16;631;646
10;18;774;790
10;20;919;955
10;544;643;915
10;170;537;684
10;172;445;578
10;174;409;523
10;176;459;545
10;178;554;797
10;819;934;947
10;702;843;945
10;704;636;728
10;800;921;936
10;706;547;800
10;708;506;839
10;710;507;793
10;711;615;900
10;713;693;797
10;460;646;918
10;718;738;834
10;720;775;907
10;593;664;755
10;595;530;803
10;597;494;857
10;598;538;796
10;600;641;747
10;602;799;901
10;95;633;822
10;97;520;532
10;99;270;283
10;101;21;26
10;103;126;137
10;105;319;329
10;107;487;499
10;750;815;919
10;613;679;796
10;752;749;865
10;119;543;818
10;121;455;577
10;123;400;483
10;125;411;556
10;127;544;698
11;392;634;911
11;394;427;680
11;396;277;434
11;13;194;206
11;398;477;632
11;15;373;503
11;400;623;787
11;17;368;475
11;19;295;310
11;21;59;65
11;23;273;384
11;25;582;935
11;35;634;990
11;37;523;825
11;1769;138;448
11;370;352;560
11;372;259;406
11;374;331;557
11;376;450;720
11;378;639;917
12;1513;526;829
12;14;292;304
12;16;394;407
12;18;537;552
12;20;682;716
12;544;766;957
12;802;829;838
12;170;307;446
12;172;253;340
12;174;295;329
12;176;481;587
12;178;669;839
12;819;697;709
12;702;779;958
12;704;643;769
12;800;684;698
12;706;620;842
12;708;642;881
12;460;764;960
12;718;717;875
12;720;709;906
12;593;896;991
12;722;779;886
12;597;659;970
12;598;613;838
12;600;640;789
12;602;738;914
12;93;733;770
12;95;395;584
12;97;283;294
12;99;35;44
12;101;225;235
12;103;363;373
12;105;557;565
12;1514;625;877
12;107;725;735
12;748;822;952
12;750;735;847
12;752;735;906
12;119;669;860
12;1912;508;834
12;121;499;619
12;123;360;431
12;125;250;318
12;127;309;460
13;394;586;882
13;396;379;636
13;398;327;429
13;15;231;301
13;400;462;584
13;17;217;273
13;370;246;414
13;19;103;107
13;372;349;609
13;21;146;154
13;374;472;760
13;23;464;587
13;376;615;922
13;1769;312;650
13;29;620;939
14;128;731;789
14;129;915;981
14;726;673;939
14;16;103;116
14;728;726;806
14;18;245;261
14;20;393;426
14;22;607;758
14;24;797;991
14;800;393;407
14;802;538;547
14;804;705;714
14;168;675;729
14;170;102;211
14;172;231;320
14;174;379;476
14;815;977;991
14;176;642;744
14;817;756;774
14;178;881;996
14;819;406;418
14;704;761;927
14;706;803;999
14;1865;866;930
14;598;798;995
14;600;751;946
14;89;622;769
14;93;446;479
14;95;106;293
14;97;17;22
14;99;260;272
14;740;897;981
14;101;516;526
14;742;671;850
14;103;654;664
14;105;848;856
14;750;736;987
14;1513;699;997
14;121;675;776
14;123;496;589
14;125;295;388
14;127;63;169
15;37;734;847
15;392;872;932
15;394;643;701
15;396;401;455
15;398;105;140
15;400;252;295
15;17;25;30
15;370;72;125
15;19;176;197
15;372;367;428
15;21;347;452
15;374;519;579
15;23;635;819
15;376;680;741
15;1769;436;671
15;378;880;939
15;29;394;649
16;128;638;689
16;129;825;880
16;726;621;838
16;728;648;705
16;18;143;160
16;20;292;325
16;22;521;657
16;89;536;668
16;24;723;890
16;800;291;306
16;802;436;446
16;804;604;613
16;806;944;968
16;168;581;628
16;170;147;152
16;172;301;309
16;174;452;466
16;815;875;891
16;176;719;734
16;817;654;673
16;178;966;986
16;819;304;317
16;704;825;916
16;706;882;989
16;1865;775;829
16;598;878;985
16;87;823;998
16;600;812;936
16;729;837;904
16;93;346;378
16;95;23;192
16;97;113;125
16;99;362;374
16;740;815;880
16;101;618;629
16;742;606;749
16;103;756;767
16;744;674;923
16;105;950;959
16;750;765;977
16;121;755;766
16;123;573;578
16;125;370;378
16;127;111;121
17;37;747;865
17;392;884;951
17;394;655;719
17;396;414;473
17;398;112;158
17;400;255;313
17;370;93;143
17;19;155;169
17;372;379;446
17;21;340;424
17;374;531;597
17;23;634;837
17;376;691;760
17;1769;439;689
17;378;892;957
17;29;413;667
18;128;515;548
18;129;705;740
18;130;842;887
18;20;155;184
18;22;415;517
18;89;429;528
18;24;636;749
18;800;148;165
18;802;293;305
18;804;462;473
18;806;801;827
18;168;456;488
18;170;268;297
18;172;420;454
18;813;877;899
18;174;569;611
18;815;732;750
18;176;835;879
18;817;513;532
18;819;161;177
18;184;842;888
18;1865;653;688
18;724;715;955
18;85;872;995
18;726;569;709
18;87;740;858
18;728;549;570
18;729;727;768
18;93;210;237
18;95;144;219
18;97;255;270
18;738;938;1000
18;99;505;519
18;740;707;744
18;101;761;774
18;742;534;613
18;103;899;912
18;744;636;794
18;746;729;979
18;127;243;266
18;121;873;911
18;123;691;723
18;252;909;973
18;125;490;522
18;166;839;875
19;394;667;887
19;396;445;641
19;398;255;326
19;400;376;481
19;370;220;311
19;372;412;614
19;21;248;258
19;374;549;765
19;23;566;690
19;376;699;927
19;1769;405;754
19;29;568;835
20;128;366;373
20;129;556;565
20;130;695;712
20;806;662;795
20;22;284;342
20;729;678;865
20;24;517;575
20;27;887;960
20;800;57;133
20;802;164;273
20;164;932;958
20;166;691;701
20;168;305;313
20;170;423;461
20;172;575;618
20;813;737;867
20;174;723;775
20;815;596;718
20;817;387;500
20;819;75;145
20;804;335;440
20;184;691;713
20;186;847;896
20;1865;503;514
20;85;759;821
20;726;609;820
20;87;623;683
20;728;528;681
20;89;298;353
20;93;56;63
20;95;297;383
20;97;405;434
20;99;652;684
20;740;662;841
20;101;907;938
20;742;551;724
20;744;688;905
20;123;844;888
20;252;756;799
20;125;645;687
20;127;397;430
21;37;581;887
21;392;693;972
21;394;484;741
21;396;321;495
21;398;451;580
21;400;594;735
21;370;338;565
21;372;299;468
21;374;384;619
21;23;320;446
21;376;508;781
21;25;579;997
21;378;698;979
21;1769;196;509
22;128;149;334
22;129;312;526
22;130;439;538
22;131;732;862
22;1865;268;474
22;81;744;844
22;83;660;672
22;85;479;486
22;87;343;348
22;24;236;240
22;89;15;19
22;27;608;625
22;28;841;986
22;93;239;287
22;95;534;716
22;800;332;466
22;97;623;767
22;802;318;409
22;164;663;784
22;806;617;931
22;166;438;527
22;168;124;273
22;252;532;625
22;170;666;794
22;172;821;951
22;815;573;854
22;817;444;636
22;819;343;471
22;804;406;577
22;184;453;540
22;186;630;722
22;188;845;939
22;250;759;855
22;127;632;763
23;394;340;829
23;396;371;583
23;398;739;853
23;370;602;710
23;372;380;556
23;374;326;707
23;1769;216;597
23;376;338;869
23;25;484;570
23;26;618;718
23;37;410;975
24;128;255;566
24;129;254;481
24;130;313;414
24;131;540;633
24;133;725;837
24;802;546;642
24;1865;253;537
24;800;567;698
24;79;811;947
24;81;515;606
24;83;425;433
24;85;243;248
24;87;107;110
24;89;223;225
24;27;373;387
24;28;613;748
24;93;474;520
24;30;790;929
24;95;739;948
24;160;861;991
24;97;813;999
24;162;669;772
24;164;481;554
24;166;321;423
24;168;291;506
24;252;453;557
24;817;626;869
24;819;578;704
24;804;599;809
24;184;363;472
24;186;547;651
24;188;765;854
24;250;681;772
24;127;832;995
25;1657;487;825
25;26;152;164
25;1659;343;506
25;1658;483;829
26;1659;246;353
26;1657;372;673
26;1658;364;676
27;128;600;952
27;129;492;827
27;130;424;751
27;131;368;563
27;133;467;733
27;135;677;967
27;73;722;980
27;162;436;668
27;75;517;679
27;77;478;764
27;79;461;606
27;164;367;642
27;81;193;268
27;83;53;74
27;85;130;147
27;87;266;281
27;89;595;610
27;184;497;818
27;28;284;410
27;93;846;905
27;30;440;589
27;32;472;753
27;34;544;705
27;36;713;891
27;166;440;761
27;168;650;891
27;1794;644;932
27;158;621;900
27;1865;530;882
27;160;576;886
27;186;615;989
27;252;559;903
28;128;795;998
28;65;717;926
28;130;518;663
28;67;597;799
28;69;506;828
28;1794;364;535
28;71;491;962
28;184;577;802
28;73;513;853
28;158;340;502
28;75;390;541
28;77;276;366
28;142;443;627
28;79;202;208
28;164;317;418
28;81;99;144
28;83;242;352
28;85;386;529
28;87;510;641
28;89;827;971
28;30;183;191
28;133;219;509
28;32;268;356
28;34;409;577
28;1795;774;977
28;36;530;763
28;166;533;673
28;38;502;926
28;39;503;856
28;40;559;755
28;41;769;980
28;135;394;569
28;129;638;810
28;162;222;444
28;131;258;339
28;1865;689;866
28;160;300;546
28;186;614;901
28;252;601;819
29;33;631;685
29;35;835;992
29;396;602;999
29;370;378;668
29;398;322;519
29;80;893;956
29;82;896;958
29;372;580;972
29;400;290;368
29;31;312;363
30;65;555;743
30;130;696;845
30;67;444;615
30;69;340;644
30;71;310;778
30;184;752;983
30;73;337;669
30;162;314;559
30;75;279;358
30;77;130;183
30;142;318;444
30;79;22;25
30;81;277;325
30;156;772;840
30;83;390;530
30;85;556;708
30;87;685;823
30;164;478;599
30;158;265;319
30;133;268;490
30;32;122;172
30;34;288;394
30;1795;732;793
30;36;365;580
30;166;710;854
30;38;321;743
30;39;332;673
30;40;406;572
30;41;602;796
30;42;733;934
30;135;274;386
30;129;819;992
30;131;407;521
