from_stop_I;to_stop_I;d;duration_avg;n_vehicles;route_I_counts
1;869;437;57.885714285714286;35;17:35
2;625;416;74.91489361702128;94;6:94
3;28;213;28.205882352941178;34;24:32,46:2
4;404;319;72.83870967741936;93;13:93
4;2735;273;90.3173076923077;104;11:104
5;2653;626;98.51442307692308;208;1:101,26:47,42:22,29:38
6;857;317;35.808510638297875;47;26:47
7;548;356;102.0;46;65:2,5:42,71:2
8;1122;386;54.46341463414634;41;3:41
9;1860;423;72.52688172043011;93;3:93
10;433;803;146.17857142857142;28;58:28
10;3102;769;237.36363636363637;22;42:22
10;2647;831;2.727272727272727;22;42:22
11;3209;382;147.74193548387098;186;4:93,13:93
12;2243;417;87.7457627118644;59;73:21,29:38
13;1939;289;64.8;65;12:65
14;450;300;65.85714285714286;21;73:21
15;973;389;81.32835820895522;67;19:40,38:27
16;2001;556;98.0;67;9:67
17;1874;304;46.31707317073171;41;3:41
18;1135;223;30.695652173913043;69;26:47,42:22
19;2168;410;115.46153846153847;39;54:29,55:10
19;2411;357;109.03448275862068;29;34:29
19;2403;419;180.0;39;23:39
20;805;277;46.65714285714286;35;24:33,46:2
21;284;304;68.95180722891567;83;44:2,77:22,78:14,39:45
22;117;280;57.7962962962963;54;20:54
23;266;388;39.59090909090909;44;65:2,5:42
24;2007;304;41.608695652173914;69;72:2,9:67
25;1615;732;86.66666666666667;3;79:3
26;3218;386;89.03571428571429;28;37:28
26;371;390;73.04807692307692;104;11:104
27;133;434;90.16981132075472;53;20:53
28;875;228;31.352941176470587;34;24:32,46:2
29;2088;166;22.91304347826087;23;26:23
30;611;435;51.1578947368421;19;59:19
31;2346;379;61.97222222222222;36;17:36
32;1844;240;37.48;25;26:25
33;1611;208;66.96428571428571;28;37:28
33;2661;200;35.05263157894737;38;29:38
34;1482;330;57.56603773584906;53;20:53
35;274;511;121.0;2;66:2
36;697;290;77.50847457627118;59;34:18,45:2,23:39
37;1232;314;79.73202614379085;153;25:39,59:19,49:30,7:65
38;2761;210;44.03448275862069;29;54:29
39;1533;270;48.376344086021504;93;3:93
40;1757;553;83.44827586206897;29;31:29
41;617;158;21.333333333333332;42;80:1,76:41
42;2206;660;116.24;25;33:9,52:16
43;1141;356;86.66666666666667;36;22:36
44;950;332;51.91304347826087;23;26:23
45;44;404;65.26086956521739;23;26:23
46;770;279;35.89655172413793;29;31:29
47;2076;344;44.5;20;19:20
48;43;150;37.666666666666664;36;22:36
49;1497;426;73.22549019607843;102;1:102
50;1485;169;49.69047619047619;168;1:102,12:66
51;544;210;51.96103896103896;154;11:104,30:50
52;1597;228;73.41044776119404;134;25:40,49:30,7:64
53;794;392;64.44155844155844;77;16:39,29:38
54;321;508;72.38095238095238;21;73:21
55;1768;200;44.148936170212764;94;10:94
56;1732;328;102.37037037037037;27;38:27
57;1367;307;47.0;18;78:14,79:4
58;1400;159;60.0;17;52:17
59;422;374;42.95454545454545;22;19:22
60;1686;276;48.86666666666667;120;4:93,38:27
61;2108;262;38.77777777777778;27;38:27
62;1631;257;45.09090909090909;77;13:48,31:29
63;1915;459;47.642857142857146;28;58:28
64;2475;281;63.63636363636363;44;19:41,47:3
65;3084;403;143.0;4;80:2,82:2
65;1727;306;65.82608695652173;46;27:42,79:4
66;1940;276;49.56923076923077;65;12:65
67;2022;169;28.0;102;11:102
68;41;139;18.285714285714285;42;80:1,76:41
69;1192;510;61.0;3;79:3
70;1288;203;38.265957446808514;94;13:94
71;785;156;33.61538461538461;65;12:65
72;1156;273;46.56716417910448;67;54:29,23:38
73;94;306;49.432432432432435;74;5:74
74;2578;414;81.88372093023256;43;76:41,44:2
74;1403;456;77.0;4;79:4
75;426;303;63.322916666666664;96;10:96
76;2125;288;36.88095238095238;42;27:42
77;1002;355;67.27272727272727;44;19:41,47:3
78;155;442;140.46153846153845;65;12:65
78;1118;420;97.38888888888889;54;20:54
79;1740;331;61.51851851851852;27;38:27
80;1459;302;47.0;42;27:42
81;428;432;78.52631578947368;57;35:27,28:29,61:1
82;894;234;25.6875;16;52:16
83;1420;287;119.0;7;52:7
84;500;320;64.70967741935483;93;14:93
85;49;261;44.84313725490196;102;1:102
86;1876;472;62.25581395348837;43;3:43
87;2794;352;88.0;1;61:1
87;1447;468;129.10638297872342;94;10:94
88;2135;231;41.578947368421055;38;44:2,77:22,78:14
89;2364;156;54.96551724137931;29;65:2,58:27
90;2769;291;109.85185185185185;27;38:27
91;424;215;46.0;42;27:42
92;2644;552;97.10344827586206;29;31:29
93;1379;875;119.56451612903226;62;50:2,7:60
94;388;261;42.25675675675676;74;5:74
95;1500;212;43.83168316831683;101;1:101
96;1498;447;120.0;102;1:102
97;3;298;39.088235294117645;34;24:32,46:2
98;1058;695;67.0;4;79:4
99;1619;215;34.7875;80;35:27,20:53
100;586;296;47.56603773584906;53;20:53
101;2036;296;108.7872340425532;94;66:2,11:92
102;2684;649;105.0;10;62:10
102;1095;375;78.33333333333333;30;49:30
103;206;189;37.82692307692308;104;12:66,22:38
104;2357;249;32.421875;64;17:35,31:29
105;337;238;45.0;24;26:24
106;600;358;72.6;30;49:30
107;359;359;60.69444444444444;36;24:32,66:2,46:2
108;782;223;30.18888888888889;90;11:90
109;954;227;40.758620689655174;116;19:22,4:94
110;1818;570;86.09756097560975;41;3:41
111;1117;412;102.58024691358025;81;35:27,20:54
112;843;352;42.25;20;19:20
113;264;221;63.97826086956522;92;6:92
114;825;219;35.32142857142857;84;44:4,77:22,78:13,39:45
115;312;514;99.25531914893617;94;4:94
116;917;455;76.0;38;23:38
117;1618;462;95.33333333333333;54;20:54
118;215;633;95.42105263157895;19;52:17,46:2
119;1616;260;46.285714285714285;49;35:27,36:22
120;2561;357;70.0;4;63:4
120;1820;299;54.10679611650485;103;32:22,25:19,64:1,7:61
121;400;262;61.509433962264154;53;20:53
122;667;244;50.354166666666664;96;24:33,33:9,52:16,23:38
123;2497;514;72.84210526315789;19;59:19
123;3117;616;126.11764705882354;17;64:2,2:15
123;1790;494;92.24324324324324;74;65:2,5:72
124;1060;200;40.47826086956522;69;25:40,28:29
125;2384;1419;277.0;3;71:3
125;1799;441;52.03030303030303;66;32:22,65:2,5:42
126;181;255;73.72043010752688;93;4:93
127;1440;333;101.25;96;10:96
128;830;249;45.0;24;26:24
129;2973;628;133.6;105;8:63,27:42
130;2380;579;86.75;88;32:22,26:23,3:43
131;171;299;47.432432432432435;74;5:74
132;1953;326;51.645161290322584;62;2:62
132;2799;246;51.55555555555556;27;35:27
133;2472;404;67.4770642201835;109;20:53,38:27,31:29
134;3118;1006;326.6666666666667;6;69:6
134;1134;311;85.139896373057;193;2:63,3:93,61:1,22:36
135;372;459;66.57446808510639;47;26:47
136;446;347;60.1063829787234;47;13:47
137;545;292;38.72727272727273;22;53:12,55:10
138;568;283;57.755319148936174;94;6:94
139;276;206;27.529411764705884;34;24:32,46:2
140;1621;239;49.9468085106383;94;6:94
140;2790;290;84.17948717948718;39;16:39
141;1789;255;42.875;16;64:1,2:15
141;30;420;59.1578947368421;19;59:19
142;1569;433;61.45;20;64:1,25:19
143;340;449;63.5;48;26:48
144;2756;297;60.421052631578945;19;34:19
145;1981;255;42.09090909090909;66;29:38,37:28
146;1954;234;38.28089887640449;89;2:62,35:27
147;32;233;28.44;25;26:25
148;1146;233;26.204918032786885;122;8:64,34:19,44:4,77:22,78:13
149;1586;397;68.94594594594595;37;72:1,17:36
150;1960;349;61.01587301587302;63;2:63
151;1260;340;41.8125;16;78:13,79:3
152;999;219;40.007246376811594;138;42:22,19:40,36:22,30:50,47:4
153;63;372;36.5;28;58:28
154;1738;480;74.96296296296296;54;20:54
155;1448;321;77.65957446808511;94;10:94
155;1655;237;74.96923076923076;65;12:65
156;152;218;42.89393939393939;66;19:40,36:22,47:4
157;2792;176;31.814814814814813;27;35:27
158;335;254;38.77142857142857;35;24:33,46:2
159;1364;455;68.47058823529412;119;8:63,34:18,44:2,77:22,78:14
160;916;137;33.0;27;35:27
161;1519;374;90.1304347826087;92;6:92
162;1169;182;24.70731707317073;41;53:12,54:29
163;272;145;41.91891891891892;74;24:32,27:42
164;2824;364;82.07692307692308;13;40:13
165;937;310;10.666666666666666;12;65:2,5:10
166;1190;557;40.0;22;77:22
167;1430;244;54.42857142857143;35;24:33,46:2
168;2399;332;71.47524752475248;101;1:101
169;22;336;68.31481481481481;54;20:54
170;373;480;73.4;20;19:20
171;447;298;48.432432432432435;74;5:74
172;2608;356;58.51304347826087;115;73:21,6:94
172;40;136;30.20689655172414;29;31:29
173;2957;320;69.66666666666667;27;35:27
173;150;228;39.317460317460316;63;2:63
174;3051;320;71.41304347826087;46;21:46
175;967;494;58.0;2;80:1,81:1
176;787;213;29.851063829787233;47;26:47
177;2203;453;79.25;32;24:32
178;1683;280;33.09090909090909;22;19:22
178;1718;353;56.0;70;4:70
179;2245;356;75.19402985074628;67;9:67
180;1563;255;30.595744680851062;47;26:47
181;1489;286;77.6989247311828;93;4:93
182;85;367;62.872549019607845;102;1:102
183;2426;370;101.40860215053763;93;35:27,12:66
184;1518;180;45.17948717948718;39;45:1,23:38
185;3080;417;65.66666666666667;12;50:3,70:9
186;1746;181;20.77777777777778;18;78:14,79:4
186;1767;221;47.0;22;77:22
187;3201;435;85.15957446808511;94;4:94
188;592;174;40.42553191489362;94;4:94
189;576;208;31.51851851851852;27;58:27
190;1319;324;47.9;30;49:30
191;701;201;60.22222222222222;54;20:54
192;880;214;58.34532374100719;139;66:2,11:92,39:45
193;75;265;55.427083333333336;96;10:96
194;2373;350;101.76190476190476;168;1:102,12:66
195;1704;276;48.868852459016395;122;20:54,29:38,38:27,47:3
196;2073;369;58.08695652173913;23;26:23
197;1663;180;31.632653061224488;147;9:67,35:27,20:53
198;1926;187;59.94871794871795;39;16:39
199;3034;688;129.08333333333334;24;26:24
199;189;752;118.29629629629629;27;58:27
200;461;404;87.07894736842105;38;29:38
201;1815;493;56.82608695652174;23;64:2,25:21
