from_stop_I;to_stop_I;d;duration_avg;n_vehicles;route_I_counts;route_type
1;869;437;57.885714285714286;35;17:35;3
2;625;416;74.91489361702128;94;6:94;3
3;28;213;28.205882352941178;34;24:32,46:2;3
4;404;319;72.83870967741936;93;13:93;3
4;2735;273;90.3173076923077;104;11:104;3
5;2653;626;98.51442307692308;208;1:101,26:47,42:22,29:38;3
6;857;317;35.808510638297875;47;26:47;3
7;548;356;102.0;46;65:2,5:42,71:2;3
8;1122;386;54.46341463414634;41;3:41;3
9;1860;423;72.52688172043011;93;3:93;3
10;433;803;146.17857142857142;28;58:28;3
10;3102;769;237.36363636363637;22;42:22;3
10;2647;831;2.727272727272727;22;42:22;3
11;3209;382;147.74193548387098;186;4:93,13:93;3
12;2243;417;87.7457627118644;59;73:21,29:38;3
13;1939;289;64.8;65;12:65;3
14;450;300;65.85714285714286;21;73:21;3
15;973;389;81.32835820895522;67;19:40,38:27;3
16;2001;556;98.0;67;9:67;3
17;1874;304;46.31707317073171;41;3:41;3
18;1135;223;30.695652173913043;69;26:47,42:22;3
19;2168;410;115.46153846153847;39;54:29,55:10;3
19;2403;419;180.0;39;23:39;3
19;2411;357;109.03448275862068;29;34:29;3
20;805;277;46.65714285714286;35;24:33,46:2;3
21;284;304;68.95180722891567;83;44:2,77:22,78:14,39:45;3
22;117;280;57.7962962962963;54;20:54;3
23;266;388;39.59090909090909;44;65:2,5:42;3
24;2007;304;41.608695652173914;69;72:2,9:67;3
25;1615;732;86.66666666666667;3;79:3;3
26;3218;386;89.03571428571429;28;37:28;3
26;371;390;73.04807692307692;104;11:104;3
27;133;434;90.16981132075472;53;20:53;3
28;875;228;31.352941176470587;34;24:32,46:2;3
29;2088;166;22.91304347826087;23;26:23;3
30;611;435;51.1578947368421;19;59:19;3
31;2346;379;61.97222222222222;36;17:36;3
32;1844;240;37.48;25;26:25;3
33;1611;208;66.96428571428571;28;37:28;3
33;2661;200;35.05263157894737;38;29:38;3
34;1482;330;57.56603773584906;53;20:53;3
35;274;511;121.0;2;66:2;3
36;697;290;77.50847457627118;59;34:18,45:2,23:39;3
37;1232;314;79.73202614379085;153;25:39,59:19,49:30,7:65;3
