stop_I;lat;lon;name
1;44.769703;-0.641292;Granet
2;44.775474;-0.575073;Brignon
3;44.834906;-0.512627;Verts Coteaux
4;44.815884;-0.565617;Bertin
5;44.829073;-0.663634;Chemin Long
6;44.815337;-0.691634;Clos des Bruyères
7;44.904876;-0.668992;Mairie du Taillan Médoc
8;44.900524;-0.732244;Chateaubriand
9;44.88028;-0.685284;Ste Christine
10;44.858065;-0.678173;La Morandière (av de Magudas)
11;44.841092;-0.580139;Gambetta
12;44.79899;-0.587253;Franklin
13;44.833764;-0.627587;Churchill
14;44.796945;-0.579984;Pacaris
15;44.803493;-0.666675;Monbalon 2
16;44.783007;-0.593231;Bobet
17;44.896636;-0.721865;Gare Routière (av du Gal de Gaulle)
18;44.828015;-0.669745;Château Rouquey
19;44.864356;-0.519502;Place des 2 Villes (vers Buttinière)
20;44.828613;-0.518389;Russel
21;44.853854;-0.5538;Grands Moulins
22;44.818485;-0.615255;Fraternité
23;44.888348;-0.660748;Les Cares
24;44.766464;-0.595324;Les Airelles
25;45.025068;-0.566758;Mirambeau
26;44.811334;-0.582344;Chemin de Suzon
27;44.79087;-0.656447;Clavé
28;44.836653;-0.511508;Martouret
29;44.874558;-0.697723;Roux
30;44.880008;-0.647957;Breteil
31;44.769895;-0.641204;Granet
32;44.878253;-0.677925;Bernède
33;44.79943;-0.544168;Durcy
34;44.780201;-0.651198;Perrin
35;44.846575;-0.54214;Piscine Galin
36;44.855053;-0.530068;Nouaux
37;44.861858;-0.592945;Poincaré
38;44.863067;-0.484117;Verdot
39;44.860702;-0.637832;Violettes
40;44.757632;-0.582527;Rigaillou
41;44.912278;-0.517969;Square Prévert
42;44.820839;-0.531856;La Jacquotte
43;44.845265;-0.585447;Turenne
44;44.874125;-0.692574;Orion
45;44.872779;-0.687808;Capella
46;44.761636;-0.570449;Pierre Curie
47;44.757345;-0.736578;Lou Licot
48;44.844285;-0.586753;Capdeville
49;44.838738;-0.624881;Monrabeau
50;44.828341;-0.561329;Peyronnet (côté Pl Meunier)
51;44.79555;-0.604665;La Paillère
52;44.85293;-0.588103;Godard
53;44.793488;-0.584042;Racine
54;44.787624;-0.580883;INRA
55;44.864538;-0.579455;Berthelot
56;44.80518;-0.616715;Rond-Point
57;44.929974;-0.474028;La Grave d'Ambarès
58;44.824001;-0.480034;Marronniers
59;44.776801;-0.70125;Combelongue
60;44.793959;-0.669888;France-Les Castors
61;44.789722;-0.687571;Picardie
62;44.763281;-0.556563;Coin
63;44.886488;-0.74139;Cerema
64;44.824522;-0.628269;Berlioz
65;44.87016;-0.517509;Lycée Elie Faure
66;44.830749;-0.620857;Maurian
67;44.793016;-0.613565;Village 5
68;44.911159;-0.517176;Les Coteaux
69;45.021846;-0.57588;Le Mayne
70;44.863546;-0.590353;Sadi Carnot
71;44.831765;-0.615945;Epernay
72;44.859919;-0.497948;Fauvettes
73;44.866389;-0.623233;Pins-Francs
74;44.897705;-0.497731;Victor Hugo
75;44.82346;-0.566275;Rue de Bègles
76;44.882291;-0.521476;Maison de Convalescence
77;44.818588;-0.629203;Avenue Gambetta
78;44.826445;-0.59691;Campeyraut
79;44.81206;-0.640544;André Eustache
80;44.838296;-0.521389;Delacroix
81;44.850319;-0.625971;Virginia
82;44.82612;-0.481723;Erables
83;44.814308;-0.501654;Avenue du Coteau (vers Berliquet)
84;44.847404;-0.626391;Murat
85;44.838584;-0.621578;Mac Carthy
86;44.900673;-0.732621;Chateaubriand
87;44.845745;-0.598716;Pasteur
88;44.841588;-0.562512;Gare d'Orléans
89;44.903403;-0.711953;Lycée Sud Médoc
90;44.805477;-0.615595;Rond-Point
91;44.852191;-0.513494;Rubens
92;44.780151;-0.648334;Parc Industriel
93;44.901415;-0.617646;Les 4 Ponts
94;44.864318;-0.620679;Clemenceau
95;44.839827;-0.638683;Mendès France
96;44.840967;-0.642659;Rostand
97;44.832484;-0.514236;Versant
98;45.025498;-0.575834;Port Lopès
99;44.822649;-0.60529;Mahéla
100;44.781011;-0.655603;Europarc
101;44.841614;-0.546223;Boulevard Trarieux
102;44.957413;-0.605153;Villa
103;44.818512;-0.545777;Voltaire
104;44.78048;-0.614948;Route de Canéjan
105;44.885724;-0.67579;La Sablière
106;44.954244;-0.606726;Rue de Macau
107;44.844877;-0.521308;Côte de Monrepos
108;44.833229;-0.529102;Laffargue
109;44.794151;-0.670609;France-Les Castors
110;44.898261;-0.746449;Puyo
111;44.822664;-0.60481;Mahéla
112;44.778535;-0.697353;Les Chênes
113;44.821568;-0.572411;Tillet
114;44.849265;-0.561985;Hortense
115;44.818019;-0.603828;E. Vaillant
116;44.85063;-0.533135;Victor Hugo
117;44.819721;-0.612156;Rue du Stand
118;44.821067;-0.513345;Pont de Bouliac
119;44.835017;-0.609897;Seguineau
120;44.9082;-0.638947;Montesquieu
121;44.829744;-0.589927;Livran
122;44.834477;-0.55156;Pont St Jean
123;44.880824;-0.640417;Blanc
124;44.870011;-0.597789;Rue des Ecus
125;44.907532;-0.696816;Germignan
126;44.861257;-0.562683;Leybardie
127;44.864953;-0.578037;Berthelot
128;44.879883;-0.679325;Turenne
129;44.856743;-0.548294;Lajaunie
130;44.900741;-0.722024;Les Escarrets
131;44.860548;-0.612186;Verdun
132;44.85241;-0.619644;Lestonnat
133;44.787128;-0.654875;Hopital Haut Leveque
134;44.845327;-0.593001;Gabriel Delaunay
135;44.824958;-0.683654;Lucassot
136;44.772025;-0.564353;Soors
137;44.869899;-0.497823;Grand Veneur
138;44.804044;-0.571967;Farvarque
139;44.840751;-0.507888;Les Plateaux
140;44.808542;-0.573912;Bagatelle
141;44.883786;-0.647924;Dumont
142;44.899399;-0.639898;Parc de Majolan
143;44.814136;-0.700076;Pagneau
144;44.874026;-0.524354;Collège Lapierre
145;44.799494;-0.544134;Durcy
146;44.855861;-0.626;Domion
147;44.879992;-0.679585;Turenne
148;44.875157;-0.53582;Quai Numa Sensine
149;44.772267;-0.621619;Route de Pessac
150;44.855777;-0.626096;Domion
151;45.000691;-0.500011;Lacone
152;44.816201;-0.634101;Brémontier
153;44.889676;-0.74282;Gelès
154;44.790797;-0.65648;Clavé
155;44.82659;-0.591309;Lespiault
156;44.817838;-0.632573;Montaigne
157;44.82425;-0.610636;Jacquet
158;44.836492;-0.511764;Martouret
