from_stop_I;to_stop_I;d;duration_avg;n_vehicles;route_I_counts
5120;5122;552;120.0;232;85:232
5121;5119;380;80.0;232;85:232
5122;5124;427;147.95238095238096;210;85:210
5122;5231;334;60.0;22;85:22
5123;5121;552;142.67241379310346;232;85:232
5124;5175;481;133.97619047619048;210;85:210
5125;5127;289;95.85714285714286;245;83:245
5126;5073;397;97.08163265306122;245;83:245
5127;5129;393;100.0;245;83:245
5128;5126;281;90.0;245;83:245
5129;5131;409;85.0;245;83:245
5130;5128;394;99.36734693877551;245;83:245
5131;5133;549;114.0204081632653;245;83:245
5132;5130;518;105.0;245;83:245
5133;5135;476;85.0;206;83:206
5134;5132;448;89.0;245;83:245
5135;5145;364;65.0;206;83:206
5136;5134;468;104.07766990291262;206;83:206
5137;5052;370;79.36363636363636;220;83:220
5138;5051;290;69.27083333333333;192;83:192
5139;5046;426;104.32291666666667;96;83:96
5140;5143;501;120.0;96;83:96
5141;5139;405;80.0;96;83:96
5142;5141;508;115.0;96;83:96
5143;5144;547;80.0;96;83:96
5144;5142;556;90.0;96;83:96
5145;5147;453;75.0;206;83:206
5146;5136;362;68.85922330097087;206;83:206
5147;5149;450;79.07766990291262;206;83:206
5148;5146;454;70.0;206;83:206
5149;5151;768;159.6601941747573;206;83:206
5150;5148;450;75.0;206;83:206
5151;5153;460;90.0;206;83:206
5152;5150;770;165.0;206;83:206
5153;5155;486;100.0;206;83:206
5154;5152;469;93.88349514563107;206;83:206
5155;5157;329;99.1504854368932;206;83:206
5156;5154;479;95.0;206;83:206
5157;5160;715;120.0;206;83:206
5158;5156;334;90.0;206;83:206
5159;5158;726;119.12621359223301;206;83:206
5160;5220;474;100.0;206;83:206
5161;5075;432;80.0;201;84:201
5162;5161;695;125.0;100;84:100
5163;5164;472;100.0;100;84:100
5164;5162;479;95.0;100;84:100
5165;5112;575;176.4354066985646;209;84:209
5166;5168;469;80.0;209;84:209
5167;5165;470;80.0;209;84:209
5168;5170;484;74.06698564593302;209;84:209
5169;5167;485;80.0;209;84:209
5170;5172;418;70.0;209;84:209
5171;5169;418;70.0;209;84:209
5172;5174;539;75.0;209;84:209
5173;5171;541;100.0;209;84:209
5174;5202;749;180.0;103;84:103
5175;5177;427;100.0;210;85:210
5176;5185;482;162.42857142857142;210;85:210
5177;5179;306;65.0;210;85:210
5178;5176;424;99.11904761904762;210;85:210
5179;5181;443;80.0;210;85:210
5180;5178;307;80.0;210;85:210
5181;5183;408;80.0;210;85:210
5182;5180;445;90.0;210;85:210
5183;5186;535;85.0;210;85:210
5184;5182;406;79.11904761904762;210;85:210
5185;5123;422;119.11904761904762;210;85:210
5186;5229;435;60.0;210;85:210
5187;5184;536;85.0;210;85:210
5188;5211;626;120.0;113;85:113
5189;5230;375;108.99122807017544;114;85:114
5190;5192;526;119.20258620689656;232;85:232
5191;5113;525;131.05603448275863;232;85:232
5192;5232;321;100.0;28;85:28
5192;5193;327;100.0;204;85:204
5193;5196;504;120.0;204;85:204
5194;5191;330;100.0;204;85:204
5195;5194;510;125.0;204;85:204
5196;5233;471;80.0;204;85:204
5197;5200;260;95.0;96;83:96
5198;5201;446;110.88541666666667;96;83:96
5199;5198;264;99.53125;96;83:96
5200;5210;797;115.0;96;83:96
5201;5037;364;70.88541666666667;96;83:96
5202;5204;487;120.0;103;84:103
5203;5173;743;180.0;103;84:103
5204;5206;415;75.0;103;84:103
5205;5203;513;117.52427184466019;103;84:103
5206;5208;403;75.0;103;84:103
5207;5205;396;78.39805825242719;103;84:103
5208;5213;877;105.0;103;84:103
5209;5207;404;78.39805825242719;103;84:103
5210;5199;802;119.375;96;83:96
5211;5214;451;90.0;113;85:113
5212;5189;616;130.0;114;85:114
5213;5209;880;119.12621359223301;103;84:103
5214;5216;736;125.0;113;85:113
5215;5212;457;90.0;114;85:114
5216;5218;462;95.0;113;85:113
5217;5215;731;125.0;114;85:114
5219;5217;459;100.0;114;85:114
5220;5222;548;130.0;104;83:104
