from_stop_I;to_stop_I;d;duration_avg;n_vehicles;route_I_counts
1;2000;452;220.0;54;295:54
1;795;410;161.78571428571428;56;385:27,389:25,391:4
2;10841;4101;864.0;5;765:5
2;3;696;370.4347826086956;69;8:69
2;1038;789;262.5882352941176;85;120:20,122:23,148:17,146:25
3;12676;144;0.0;69;8:69
4;462;396;28.0;15;243:15
5;506;457;75.65217391304348;23;253:23
6;9685;2780;345.0;4;222:4
7;9693;299;60.0;5;222:5
8;9725;310;52.5;16;222:16
9;800;431;60.0;12;243:12
10;10458;220;60.0;6;275:6
11;9759;167;60.0;15;222:15
12;11;195;16.0;15;222:15
13;10371;339;66.66666666666667;18;222:18
14;1038;643;140.0;72;81:72
15;13;200;53.333333333333336;18;222:18
16;26;269;72.63157894736842;19;381:12,383:7
17;10291;287;51.42857142857143;28;242:10,222:18
17;10510;1043;141.1764705882353;17;229:17
18;11097;1430;340.0;6;370:6
18;670;759;148.42105263157896;19;21:12,383:7
19;2914;51;0.0;19;21:12,383:7
19;1013;225;0.0;9;370:9
20;10130;245;33.25301204819277;83;785:5,261:73,781:5
21;10144;575;72.85714285714286;84;785:5,261:73,781:6
22;222;706;114.54545454545455;22;253:22
23;1038;651;143.2258064516129;93;66:93
24;22;213;16.363636363636363;22;253:22
25;24;461;111.81818181818181;22;253:22
26;673;337;0.0;19;381:12,383:7
26;126;281;22.90909090909091;55;799:1,383:7,374:29,795:2,797:4,381:12
27;10624;882;127.05882352941177;17;352:15,366:2
28;2312;326;54.78260869565217;23;277:13,279:10
29;2674;181;36.0;20;106:17,747:3
30;128;181;60.0;58;168:28,174:30
31;10442;528;120.0;6;283:6
32;800;736;96.70588235294117;85;777:8,247:77
32;9;308;45.0;12;243:12
33;717;3295;720.0;7;104:3,749:4
33;1038;673;141.8181818181818;33;102:33
34;10487;813;127.05882352941177;17;273:17
35;36;280;38.91891891891892;37;370:15,27:10,21:12
36;1014;158;30.81081081081081;37;370:15,27:10,21:12
