from_stop_I;to_stop_I;d;duration_avg;n_vehicles;route_I_counts
8982;8984;996;300.0;1;833:1
8982;8981;5409;900.0;20;833:20
8982;8983;398;175.0;24;833:24
9353;8602;1381;240.0;57;848:57
9353;8621;1662;360.0;57;729:57
8983;8984;701;300.0;23;833:23
8983;8981;5494;600.0;1;833:1
8983;8982;398;171.42857142857142;21;833:21
5282;8854;1992;300.0;59;729:59
5282;9398;349;240.0;60;848:60
9358;8619;1368;540.0;57;729:57
9358;8606;459;240.0;58;848:58
8981;8982;5409;878.1818181818181;22;833:22
8981;8983;5494;1200.0;1;833:1
8854;5282;1992;300.0;57;848:57
9367;8604;1753;240.0;57;729:57
8984;8982;996;300.0;1;833:1
8984;8983;701;300.0;20;833:20
8602;9353;1381;240.0;57;729:57
8602;8603;1129;240.0;57;848:57
8603;8602;1129;240.0;57;729:57
8603;8604;273;180.0;57;848:57
8604;8603;273;180.0;57;729:57
8604;9367;1753;240.0;57;848:57
8605;9358;493;180.0;57;729:57
8606;8621;376;180.0;57;848:57
8607;8608;451;240.0;36;842:36
8607;8622;805;300.0;36;731:36
8608;8609;1296;480.0;36;842:36
8608;8607;451;240.0;36;731:36
8609;8608;1296;480.0;36;731:36
8609;8620;406;297.5;96;842:36,679:60
8610;8611;930;660.0;36;842:36
8610;8620;425;300.0;96;843:60,731:36
8611;8618;403;240.0;36;842:36
8611;8610;930;660.0;36;731:36
8612;8617;1102;240.0;64;729:64
8612;8618;300;180.0;61;848:61
8613;8617;1182;300.0;57;848:57
8613;8619;2256;900.0;4;848:4
8613;8614;1176;290.90909090909093;66;729:66
8614;8616;301;270.63829787234044;141;729:69,844:72
8614;8613;1176;300.0;61;848:61
8615;8617;314;299.11764705882354;68;730:68
8616;9398;1935;660.0;59;729:59
8616;8614;301;272.72727272727275;132;848:60,844:72
8617;8612;1102;240.0;60;848:60
8617;8613;1182;309.375;64;729:64
8617;8615;314;299.11764705882354;68;730:68
8618;8611;403;240.0;36;731:36
8618;8612;300;180.0;64;729:64
8618;8619;1379;480.0;61;848:61
8619;8618;1379;480.0;64;729:64
8619;9358;1368;540.0;58;848:58
8620;8609;406;300.0;96;843:60,731:36
8620;8610;425;302.5;96;842:36,679:60
8621;9353;1662;360.0;57;848:57
8621;8605;344;240.0;57;729:57
8621;8607;825;300.0;36;842:36
9398;8616;1935;660.0;57;848:57
9398;5282;349;240.0;59;729:59
9398;8614;1649;660.0;3;848:3
