stop_I;lat;lon;name
1;-27.467834;153.019079;Herschel Street Stop 1 near North Quay
2;-27.468003;153.02397;Ann Street Stop 10 at King George Square
3;-27.473751;153.026745;Parliament Stop 94A Margaret St
4;-27.339069;153.043907;Handford Rd at Songbird Way
5;-27.344106;153.024982;Balcara Ave near Allira Cr
6;-27.372728;153.098237;Nudgee Rd at Golf Course, stop 35/32
7;-27.372787;153.098416;Nudgee Rd at Golf Course, stop 32/35
8;-27.382612;153.090391;Approach Rd near Mellifont St, stop 31
9;-27.339592;153.042985;Handford Rd at Songbird Way
10;-27.402593;153.007388;Redwood St at Farrant Street
11;-27.385924;153.062459;Ridge St at St Vincents, stop 19
12;-27.387328;153.063647;Ridge St at Scott Street, stop 18
13;-27.386816;153.063368;Ridge St at Scott Street, stop 18
14;-27.470552;153.024575;Queen Street, 1E
15;-27.385663;153.061812;Saint Vincents Rd near Ridge St, stop 19
16;-27.535123;152.949066;Goggs Rd near Seventeen Mile Rocks Rd
17;-27.398972;153.059158;Sandgate Rd at Nundah, stop 3
18;-27.554283;152.945914;Bellwood St near Glen Ross Rd, stop 54a
19;-27.554201;152.945855;Bellwood St near Glen Ross Rd, stop 54a
20;-27.352058;153.004353;Ridley Rd at Ridley Road South
21;-27.351409;153.004346;Ridley Rd at Ridley Road South
22;-27.345541;153.022563;Dorville Rd at Dorville North
23;-27.470675;153.024755;Queen Street, 1F
24;-27.344441;153.024334;Balcara Ave near Allira Cr
25;-27.347847;153.027001;Balcara Ave at Beams - Balcara
26;-27.532714;152.949326;Sinnamon Rd at Windermere
27;-27.524412;152.949985;Kenmore Rd at Norman Street
28;-27.335588;152.952962;Queen Elizabeth Dr at Hero
29;-27.520257;153.071782;Elgar St at Rowton Street, stop 47
30;-27.481829;153.04623;Heidelberg St near Mowbray Tce, stop 14
31;-27.417726;152.979364;Taylors Rd near Mitcham St
32;-27.341952;153.041359;Handford Rd at Handford - Roghan
33;-27.470652;153.024996;Queen Street, 1G
34;-27.381369;153.0011;Hamilton Rd at Trouts Rd, stop 46
35;-27.547352;152.943421;Avondale Rd at Avondale - Glen Ross, stop 61
36;-27.54525;152.944985;Avondale Rd at Avondale - Northbrook, stop 60
37;-27.470526;153.025195;Queen Street, 1H
38;-27.542069;153.032086;Tarragindi Rd at Sharon Street, stop 41
39;-27.33751;152.950051;Queen Elizabeth Dr at Corso Street
40;-27.54203;153.032237;Tarragindi Rd at Sharon Street, stop 41
41;-27.55125;152.942862;Glen Ross Rd at St Amand Street, stop 53
42;-27.549;152.943339;Glen Ross Rd at Wanata Street, stop 54
43;-27.598757;152.987852;Blunder Rd near Rosella St, stop 60A
44;-27.606422;152.985126;Wallaroo Way near Brushtail Cr, stop 61
45;-27.335962;152.952169;Queen Elizabeth Dr at Hero Street
46;-27.605895;152.987748;Blunder Rd at Doolandella North, stop 61a
47;-27.590417;152.968959;Azalea St at Barberry St, stop 65
48;-27.581266;152.974839;Rosemary St at Rosemary - Fir, stop 73
49;-27.584504;152.975612;Rosemary St at Holly St, stop 74
50;-27.585864;152.975937;Rosemary St at Inala School, stop 75
51;-27.424844;153.007958;Days Rd at Yarradale Street, stop 2A
52;-27.425459;153.011306;Days Rd at Wilston Road, stop 1A
53;-27.369999;153.018788;Gympie Rd at Aspley South, stop 41
54;-27.366169;153.017008;Gympie Rd near Albany Creek Rd, stop 42
55;-27.470372;153.025416;Queen Street, 1I
56;-27.362386;153.016959;Gympie Rd near Gayford St
57;-27.359794;153.01665;Gympie Rd at Gayford Street, stop 44
58;-27.357899;153.016768;Gympie Rd at Brickfield Street, stop 45
59;-27.337395;152.94997;Queen Elizabeth Dr at Corso Street
60;-27.358884;153.017047;Gympie Rd at Brickfield Street, stop 45/44
61;-27.541173;153.031658;Tarragindi Rd at Davey Street, stop 40
62;-27.361745;153.017316;Gympie Rd at Aspley Shops, stop 43
63;-27.362485;153.017317;Gympie Rd at Aspley
64;-27.557877;152.974401;Englefield Rd at Idriess Street
65;-27.334101;152.955919;Queen Elizabeth Dr at Eatons Hill
66;-27.557644;152.974913;Englefield Rd at Idriess Street
67;-27.558152;152.972385;Englefield Rd at Lucock Street
68;-27.558746;152.970057;Englefield Rd at Englefield West
69;-27.461167;153.00916;Dowse St near Charlotte St, stop 5
70;-27.461278;153.009262;Dowse St near Charlotte St, stop 5
71;-27.437667;153.007261;Enoggera Rd at Newmarket, stop 20
72;-27.466129;153.015439;Roma St at Upper Roma Street, stop 3
73;-27.477055;153.011924;Mollison St near Melbourne St, stop 5
74;-27.470357;153.025136;Queen Street, 3B
75;-27.420314;152.991869;Enoggera interchange, platform B1
76;-27.420473;152.99223;Enoggera interchange, platform C
77;-27.480461;153.019665;Ernest St at Brisbane State High, stop 3
78;-27.470371;153.024839;Queen Street, 3A
79;-27.359747;153.002629;Albany Creek Rd at Bangalow Street
80;-27.558645;152.969912;Englefield Rd at Englefield West
81;-27.434366;153.166299;Tingal Rd at Wynnum North State School, stop 10/5
82;-27.459064;153.176892;Manly Rd near Preston Rd
83;-27.43482;153.166316;Tingal Rd at Wynnum North State School, stop 10/5
84;-27.458586;153.177174;Manly Rd near Fisher St Stop 70
86;-27.470161;153.02477;Queen Street, 2A
87;-27.387543;153.041435;Hamilton Rd at Unmack Street, stop 50
88;-27.399706;152.986175;Old Northern Rd at Everton Junction near
90;-27.387041;153.038887;Hamilton Rd at Corrie Street, stop 51
91;-27.436634;153.070864;Nudgee Rd near Allen St, stop 29
92;-27.40267;152.979171;Osborne Rd at Osborne North, stop 51
93;-27.460225;153.177578;Whites Rd at Curtis Street, stop 71
94;-27.460666;153.177886;Whites Rd at Curtis Street, stop 71
95;-27.47007;153.02489;Queen Street, 2B
