from_stop_I;to_stop_I;d;duration_avg;n_vehicles;route_I_counts
11776;11772;891;120.0;45;816:1,824:2,818:1,836:5,838:1,822:1,680:4,682:16,840:2,685:8,687:4
11777;11780;2593;180.0;82;656:1,814:34,812:1,725:8,646:9,727:2,636:4,652:22,654:1
11778;11782;2579;180.0;3;652:1,636:1,654:1
11778;11775;1581;178.3783783783784;37;840:26,834:9,836:1,838:1
11779;11776;1598;180.0;45;816:1,824:2,818:1,836:5,838:1,822:1,680:4,682:16,840:2,685:8,687:4
11780;11784;3411;240.0;46;656:1,814:34,646:9,727:2
11780;11786;3817;240.0;36;652:22,636:4,725:8,654:1,812:1
11781;11778;2584;180.0;37;840:26,834:9,836:1,838:1
11781;11779;2576;180.0;8;840:2,836:5,838:1
11782;11786;3829;240.0;11;652:3,642:2,636:5,654:1
11783;11779;2565;180.0;37;816:1,824:2,818:1,822:1,680:4,682:16,685:8,687:4
11783;11763;7350;600.0;11;680:6,816:2,682:2,685:1
11784;11645;7592;360.0;46;656:1,814:34,646:9,727:2
11785;11781;3408;240.0;45;840:28,834:9,836:6,838:2
11786;11788;1522;180.0;47;642:2,725:8,812:1,636:9,652:25,654:2
11787;11783;3813;300.0;48;816:3,824:2,818:1,822:1,680:10,682:18,685:9,687:4
11788;11791;1926;120.0;47;642:2,725:8,812:1,636:9,652:25,654:2
11789;11787;1549;120.0;47;816:3,824:2,818:1,822:1,680:10,682:18,685:9,687:3
11790;11789;1936;180.0;47;816:3,824:2,818:1,822:1,680:10,682:18,685:9,687:3
11791;11792;2986;240.0;47;642:2,725:8,812:1,636:9,652:25,654:2
11792;11795;2217;180.0;47;642:2,725:8,812:1,636:9,652:25,654:2
11793;11790;3011;240.0;46;816:3,824:2,818:1,822:1,680:10,682:18,685:8,687:3
11794;11793;2185;180.0;46;816:3,824:2,818:1,822:1,680:10,682:18,685:8,687:3
11795;11796;1674;180.0;47;642:2,725:8,812:1,636:9,652:25,654:2
11796;11798;1383;120.0;47;642:2,725:8,812:1,636:9,652:25,654:2
11797;11794;1685;120.0;46;816:3,824:2,818:1,822:1,680:10,682:18,685:8,687:3
11798;11800;1766;120.0;47;642:2,725:8,812:1,636:9,652:25,654:2
11799;11797;1385;120.0;46;816:3,824:2,818:1,822:1,680:10,682:18,685:8,687:3
11800;11802;1500;120.0;47;642:2,725:8,812:1,636:9,652:25,654:2
11801;11799;1768;120.0;46;816:3,824:2,818:1,822:1,680:10,682:18,685:8,687:3
