from_stop_I;to_stop_I;d;duration_avg;n_vehicles;route_I_counts
1;2;626;72.0;5;149:5
2;1475;4372;600.0;5;149:5
4;237;181;6.666666666666667;27;72:27
5;1408;290;25.454545454545453;33;6:33
6;8;392;0.0;56;89:47,276:9
7;9;368;54.642857142857146;56;89:47,276:9
8;11;387;60.0;56;89:47,276:9
9;1833;577;80.6896551724138;29;89:24,276:5
9;1834;504;120.0;27;89:23,276:4
10;7;398;85.71428571428571;56;89:47,276:9
11;10;22;0.0;56;89:47,276:9
12;2137;302;52.131147540983605;61;98:24,203:10,206:3,95:24
13;2225;1984;317.910447761194;67;98:26,203:9,206:8,95:24
15;62;1739;369.5238095238095;63;285:3,140:25,189:11,143:24
15;567;595;105.0;32;282:3,134:29
16;19;169;0.0;59;285:3,140:24,189:9,143:23
16;20;345;51.724137931034484;29;282:3,134:26
17;533;316;60.0;32;282:3,134:29
18;15;201;16.19047619047619;63;285:3,140:25,189:11,143:24
19;67;410;60.0;59;285:3,140:24,189:9,143:23
20;22;241;8.275862068965518;29;282:3,134:26
21;15;350;60.0;32;282:3,134:29
22;24;333;0.0;29;282:3,134:26
23;21;258;45.0;32;282:3,134:29
24;26;209;51.724137931034484;29;282:3,134:26
25;23;284;16.875;32;282:3,134:29
26;448;462;60.0;29;282:3,134:26
27;25;233;60.0;32;282:3,134:29
28;88;284;60.0;32;189:9,143:23
28;81;392;66.42857142857143;28;140:25,285:3
28;90;233;66.66666666666667;27;140:24,285:3
28;29;283;65.14285714285714;35;189:11,143:24
29;83;227;37.714285714285715;35;189:11,143:24
30;28;328;60.0;32;189:9,143:23
31;34;298;26.25;32;189:9,143:23
32;564;88;0.0;35;189:11,143:24
33;32;295;60.0;35;189:11,143:24
34;35;549;60.0;32;189:9,143:23
35;97;1007;135.0;32;189:9,143:23
36;33;423;60.0;35;189:11,143:24
37;40;359;29.142857142857142;35;189:11,143:24
38;93;832;91.875;32;189:9,143:23
39;38;330;39.375;32;189:9,143:23
40;42;214;42.857142857142854;35;189:11,143:24
41;39;246;48.75;32;189:9,143:23
42;610;304;60.0;35;189:11,143:24
43;54;311;60.0;33;51:20,236:13
44;1171;1364;95.67567567567568;37;51:20,236:17
45;612;236;32.432432432432435;37;51:20,236:17
45;47;217;35.55555555555556;27;137:27
46;60;621;166.66666666666666;27;137:27
46;1183;1088;225.45454545454547;33;51:20,236:13
47;49;332;20.0;27;137:27
48;46;210;60.0;27;137:27
49;51;219;40.0;27;137:27
50;48;330;55.55555555555556;27;137:27
51;56;211;0.0;37;51:20,236:17
51;229;325;0.0;27;137:27
52;50;223;4.444444444444445;27;137:27
52;558;328;60.0;33;51:20,236:13
53;44;218;27.56756756756757;37;51:20,236:17
54;55;208;0.0;33;51:20,236:13
55;52;224;60.0;33;51:20,236:13
56;53;350;32.432432432432435;37;51:20,236:17
57;64;295;32.857142857142854;84;128:17,285:3,183:8,140:24,189:9,143:23
57;58;299;38.13084112149533;107;282:3,177:2,131:24,134:26,119:24,122:24,186:1,174:3
57;283;456;137.74647887323943;71;48:24,137:27,51:20
57;606;509;120.0;3;243:3
57;607;465;143.07692307692307;26;233:13,236:13
58;387;845;138.46153846153845;26;177:2,122:24
58;356;1016;104.44444444444444;27;174:3,119:24
58;414;794;140.0;54;186:1,131:24,282:3,134:26
59;283;510;120.0;112;282:3,177:3,131:24,134:29,119:23,122:25,186:2,174:3
60;57;473;86.25;64;48:24,137:27,233:13
61;169;2711;305.0;36;48:19,233:17
61;45;708;66.66666666666667;27;137:27
62;65;356;74.8314606741573;89;128:16,285:3,183:10,140:25,189:11,143:24
63;16;1746;207.85714285714286;56;140:24,189:9,143:23
63;412;2210;261.6;25;128:17,183:8
64;16;2013;240.0;3;285:3
