stop_I;lat;lon;name
1;-35.28751;149.068329;Arboretum Car Park
2;-35.291889;149.063995;Arboretum Stop 3
4;-35.347042;149.047943;Fremantle Dr after McKail Cr
5;-35.273621;149.140823;Donaldson St after Ainslie Primary School
6;-35.216084;149.002975;MacFarlane Burnet Av after DeGruchy Pl
7;-35.212837;149.004196;MacFarlane Burnet Av after Eccles Cct
8;-35.212666;149.004013;MacFarlane Burnet Av before Eccles Cct
9;-35.216072;149.003357;MacFarlane Burnet Av after Hallows Cct
10;-35.209343;149.00322;MacFarlane Burnet Av after Constance Stone St
11;-35.209293;149.002975;MacFarlane Burnet Av before Constance Stone St
12;-35.192123;149.085968;O'Hanlon Pl after Gold Creek Rd
13;-35.192142;149.086075;O'Hanlon Pl before Gold Creek Rd
15;-35.426113;149.091614;Drumston St opp MacKillop College
16;-35.425972;149.091705;Drumston St MacKillop after Isabella Dr
17;-35.418968;149.120026;Hambidge Cr after Truganini Pl
18;-35.42786;149.091034;Ellerston Av opp Isabella Plains Shops
19;-35.427479;149.091415;Ellerston Av Isabella Plains Shops
20;-35.425655;149.09549;Ellerston Av after Drumston St
21;-35.425766;149.095459;Ellerston Av 2nd after Collyburl Cr
22;-35.426369;149.098007;Ellerston Av 2nd after Drumston St
23;-35.426601;149.098114;Ellerston Av after Collyburl Cr
24;-35.428486;149.100616;Ellerston Av after Abercorn Cr
25;-35.428391;149.100357;Ellerston Av after Groveland Cr
26;-35.428791;149.10289;Ellerston Av after 2nd Abercorn Cr
27;-35.428921;149.102844;Ellerston Av after Ashley Dr
28;-35.435093;149.113739;Webber Cr Calwell Shops
29;-35.436661;149.111282;Casey Cr after Roope Cl
30;-35.436859;149.11084;Casey Cr after Downard St
31;-35.439865;149.098618;Duggan St after Downard St
32;-35.439835;149.09848;Duggan St after Beckett St
33;-35.441601;149.100906;Duggan St after Tharwa Dr
34;-35.441601;149.10112;Duggan St after Andrew Cr
35;-35.444824;149.105713;Tharwa Dr after Fidge St overpass
36;-35.444454;149.103989;Tharwa Dr after Fidge St overpass
37;-35.447277;149.124619;Lawrence Wackett Cr opp Theodore Primary School
38;-35.447346;149.124481;Lawrence Wackett Cr Theodore PS
39;-35.449867;149.122559;Lawrence Wackett Cr after Burdett Cr
40;-35.450001;149.122498;Lawrence Wackett Cr after Latchford St
41;-35.450821;149.120102;Chippindall Cct after Louis Loder St
42;-35.450718;149.1203;Chippindall Cct after Latchford St
43;-35.434803;149.086151;Hurtle Av after Noarlunga Cr
44;-35.434727;149.085968;Hurtle Av 2nd after Bardolph St
45;-35.426731;149.074173;Barr Smith Av after Salas St
46;-35.426899;149.074188;Barr Smith Av after Don Dunstan Dr
47;-35.428455;149.075302;Coombe St after Barr Smith Av
48;-35.428543;149.075333;Coombe St after Kneebone St
49;-35.430763;149.077621;Kingscote Cr after Marquet Rt
50;-35.430836;149.077652;Kingscote Cr after Kneebone St
51;-35.431099;149.080002;Barr Smith Av after Kingscote Cr
