from_stop_I;to_stop_I;d;d_walk
1;2;627;887
4;992;263;276
4;897;665;839
4;994;614;674
4;995;617;687
4;996;705;863
4;997;764;939
4;1075;672;859
4;993;251;277
4;232;708;873
4;233;275;367
4;234;283;378
4;235;116;119
4;812;692;862
4;237;182;186
4;238;42;188
4;813;679;841
4;1073;824;984
4;1006;552;981
4;236;96;260
4;1007;564;997
5;1408;291;301
5;1409;102;144
5;1410;126;175
5;1411;300;377
5;1412;290;365
5;1290;580;663
5;2123;574;666
5;2124;586;706
5;1293;554;634
5;2126;848;960
5;2125;871;973
5;1496;484;673
5;1497;492;736
5;1498;515;866
5;1499;522;861
5;1500;399;478
5;1501;408;484
5;1248;689;925
5;1250;557;782
5;1251;596;830
5;1252;383;507
5;1253;441;583
5;1403;659;794
5;1404;635;764
5;1405;543;592
5;1406;477;487
5;1407;270;281
6;11;756;819
6;7;379;393
6;1832;599;885
6;9;35;171
6;10;751;826
6;1835;568;719
6;1836;836;968
6;1837;824;971
6;1870;616;855
6;1869;705;921
6;8;393;401
6;1833;598;860
6;1871;627;849
6;1834;536;658
7;8;26;228
7;9;369;375
7;10;399;582
7;11;410;596
7;1869;676;888
7;1870;451;605
7;1871;463;607
7;1872;624;749
7;1873;596;705
7;1874;875;999
7;1875;793;923
7;1834;694;964
8;1872;634;795
8;1873;607;752
8;1875;801;969
8;9;384;419
8;10;377;424
8;11;388;417
8;1869;700;939
8;1870;471;656
8;1871;484;658
9;11;756;815
9;1832;580;883
9;1833;578;859
9;10;750;821
9;1835;537;717
9;1836;804;960
9;1837;793;964
9;1870;584;829
9;1869;670;906
9;1871;595;823
9;1834;505;651
10;1872;700;970
10;1873;692;926
10;11;23;366
10;1870;715;882
10;1871;725;884
11;1873;715;960
11;1870;735;896
11;1871;745;898
12;2137;303;312
12;2138;212;220
12;13;10;13
13;2137;312;321
13;2138;221;230
15;66;570;672
15;67;541;642
15;68;662;819
15;69;654;823
15;567;596;652
15;566;861;958
15;16;18;21
15;568;589;635
15;18;202;252
15;19;154;201
15;20;356;392
15;565;882;978
15;22;581;638
15;23;593;674
15;24;859;973
15;25;833;954
15;21;351;410
16;66;588;675
16;67;559;646
16;68;679;823
16;69;672;826
16;567;586;643
16;566;854;949
16;568;578;626
16;18;219;255
16;19;170;204
16;20;346;395
16;565;874;969
16;22;574;641
16;23;586;677
16;24;856;977
16;25;830;958
16;21;342;413
17;514;601;860
17;515;609;847
17;516;640;939
17;517;637;961
17;460;624;898
17;461;602;881
17;462;411;544
17;463;438;588
17;131;626;865
17;532;296;384
17;533;317;395
17;132;625;875
17;423;8;7
17;499;313;602
17;500;296;619
17;501;297;809
17;502;277;832
17;505;657;699
17;506;671;725
17;508;494;558
17;509;487;562
17;510;524;867
17;511;527;848
18;66;384;434
18;67;357;404
18;68;463;581
18;69;455;585
18;70;467;921
18;71;435;877
18;567;757;886
18;19;55;67
18;20;473;523
18;21;465;542
18;22;654;769
18;23;658;805
18;568;752;869
19;66;439;487
19;67;411;457
19;68;516;634
19;69;508;638
19;70;501;974
19;71;471;930
19;567;728;835
19;20;422;472
19;21;414;491
19;22;611;718
19;23;616;754
19;568;722;818
20;66;849;944
20;67;824;914
20;21;13;30
20;22;242;258
20;23;261;294
20;24;562;593
20;25;537;574
20;26;757;822
20;27;760;812
21;66;839;962
21;67;814;932
21;22;241;260
21;23;259;296
21;24;558;595
21;25;532;576
21;26;754;824
21;27;757;814
22;23;28;36
22;24;334;335
22;25;311;316
22;26;519;564
22;27;523;554
23;24;310;321
23;25;285;302
23;26;498;550
23;27;501;540
24;448;519;850
24;449;507;821
24;25;26;34
24;26;210;232
24;27;208;223
25;448;525;881
25;449;514;851
25;26;235;263
25;27;234;254
26;448;463;630
26;449;447;600
26;450;470;914
26;451;463;926
26;27;16;19
27;448;478;637
27;449;462;607
27;450;483;921
27;451;475;934
28;547;742;917
28;93;874;987
28;105;472;679
28;106;463;663
28;107;660;895
28;108;675;894
28;78;830;866
28;79;816;858
28;80;391;418
28;81;393;422
28;82;506;677
28;83;492;672
28;86;551;785
28;87;544;790
28;88;285;376
28;89;700;824
28;90;234;384
28;91;812;967
28;92;865;979
28;29;284;365
28;30;329;412
29;106;744;999
29;78;603;747
29;79;589;738
29;80;201;299
29;81;196;302
29;82;242;315
29;83;228;310
29;86;411;618
29;87;408;623
29;88;353;456
29;89;651;911
29;90;402;491
29;30;46;51
30;547;734;961
30;78;567;794
30;79;552;785
30;80;185;346
30;81;179;350
30;82;210;272
30;83;196;267
30;86;410;575
30;87;408;580
30;88;377;504
30;89;662;868
30;90;437;539
31;32;13;16
31;33;284;304
31;34;299;318
31;35;848;936
31;36;706;818
31;72;749;839
31;73;767;849
31;74;458;562
31;75;466;825
31;76;539;875
31;77;528;874
31;563;102;109
31;564;96;104
31;534;381;393
31;535;388;398
32;33;296;311
32;34;310;325
32;35;860;943
32;36;717;825
32;72;740;832
32;73;759;842
32;74;455;555
32;75;462;818
32;76;544;868
32;77;533;868
32;563;96;102
32;564;89;98
32;534;375;386
32;535;382;392
33;563;376;404
33;34;20;25
33;35;565;644
33;36;424;525
33;534;634;688
33;535;644;693
33;564;373;399
33;74;683;856
34;35;550;624
34;36;411;505
34;534;643;701
34;535;653;707
34;564;386;413
34;74;689;870
34;563;389;418
35;99;821;988
35;36;162;187
36;564;797;913
36;563;799;918
37;38;15;19
37;39;344;416
37;40;360;417
37;41;569;706
37;42;548;685
37;92;846;911
37;93;832;895
37;556;541;589
38;39;331;405
38;40;346;406
38;41;555;695
38;42;534;673
38;92;848;916
38;93;833;901
38;556;545;594
39;97;705;839
39;98;717;843
39;103;473;776
39;40;16;17
39;41;247;306
39;42;226;284
39;556;804;991
39;610;508;647
39;104;487;776
40;97;711;835
40;98;723;840
40;104;480;773
40;41;236;303
40;42;215;281
40;103;465;773
40;556;819;992
40;610;494;644
41;97;651;911
41;98;662;915
41;42;22;27
41;103;246;482
41;610;286;353
41;104;259;482
41;102;532;848
41;101;543;855
42;97;649;889
42;98;661;894
42;103;263;498
42;610;305;368
42;104;276;498
42;102;541;863
42;101;551;871
43;230;749;906
43;66;524;726
43;68;431;611
43;69;440;615
43;70;651;952
43;71;639;928
43;169;787;949
43;170;767;958
43;44;19;27
43;51;694;867
43;52;679;877
43;53;237;263
43;54;312;349
43;55;459;549
43;56;513;626
43;229;760;907
44;230;734;887
44;66;522;718
44;67;553;993
44;68;434;603
44;69;443;607
44;70;661;943
44;71;649;919
44;169;795;975
44;170;776;984
44;51;676;863
44;52;660;872
44;53;219;258
44;54;294;345
44;55;441;545
44;56;495;622
44;229;744;887
45;611;257;283
45;612;237;255
45;587;652;725
45;588;478;509
45;46;19;158
45;47;218;259
45;48;228;264
45;49;548;654
45;50;556;665
45;51;719;994
45;52;735;979
45;558;652;714
45;559;482;517
45;60;607;749
45;61;709;841
45;62;464;669
45;63;482;679
46;611;238;252
46;612;218;242
46;587;634;706
46;588;459;490
46;558;634;695
46;47;201;246
46;48;211;252
46;49;532;642
46;50;540;653
46;51;705;982
46;52;722;967
46;559;463;498
46;60;622;765
46;61;724;857
46;62;483;707
46;63;501;717
47;611;90;127
47;612;65;98
47;229;627;782
47;230;643;796
47;587;437;547
47;588;279;352
47;559;289;360
47;48;11;11
47;49;333;401
47;50;341;412
47;51;519;741
47;52;534;726
47;558;438;536
47;55;756;944
47;56;716;875
47;60;820;996
47;62;678;916
47;63;695;926
48;611;86;132
48;612;62;104
48;229;624;780
48;230;639;795
48;587;426;546
48;588;270;358
48;49;323;399
48;50;331;410
48;51;511;740
48;52;526;724
48;558;428;534
48;55;748;942
48;56;709;873
48;559;280;366
48;62;688;922
48;63;705;932
49;611;338;522
49;612;341;493
49;229;470;629
49;230;482;644
49;587;175;200
49;588;233;394
49;50;9;11
49;51;220;340
49;52;229;324
49;53;677;927
49;54;595;866
49;55;452;654
49;56;431;585
49;559;254;410
49;558;186;189
50;611;345;533
50;612;349;504
50;229;472;634
50;230;483;649
50;587;169;206
50;588;235;400
50;51;216;337
50;52;224;321
50;53;670;924
50;54;587;863
50;55;446;651
50;56;427;582
50;559;256;416
50;558;180;194
51;587;315;357
51;612;542;829
51;229;326;343
51;230;332;358
51;588;448;573
51;611;544;807
51;52;20;25
51;53;492;624
51;54;411;542
51;55;239;330
51;56;212;260
51;559;468;589
51;558;330;368
52;611;557;791
52;587;314;341
52;612;556;814
52;229;337;352
52;230;343;367
52;588;454;558
52;53;474;634
52;54;393;551
52;55;225;339
52;56;204;270
52;559;475;574
52;558;329;352
53;230;632;745
53;66;610;751
53;587;665;839
53;68;568;637
53;69;577;640
53;70;845;977
53;71;827;953
53;558;675;850
53;54;83;106
53;55;280;306
53;56;351;383
53;229;638;746
54;66;621;852
54;587;586;883
54;68;597;737
54;69;607;741
54;230;572;662
54;558;598;894
54;55;209;224
54;56;283;301
54;229;577;663
55;66;566;861
55;587;500;671
55;68;593;746
55;69;602;750
55;230;368;450
55;588;669;887
55;558;514;682
55;56;77;89
55;559;688;903
55;229;372;451
56;66;546;938
56;68;592;823
56;69;600;827
56;587;506;601
56;588;657;818
56;559;678;834
56;611;750;996
56;612;746;967
56;229;296;382
56;230;292;381
56;558;520;613
57;64;296;406
57;65;304;429
57;59;297;307
57;357;321;461
57;2630;249;301
57;604;482;720
57;1183;164;164
57;605;520;760
57;607;466;969
57;606;510;923
57;2295;547;789
57;58;300;300
57;283;457;681
57;60;474;559
57;61;369;442
57;62;638;784
57;63;626;763
58;64;282;381
58;65;302;404
58;386;930;998
58;387;846;910
58;2630;544;600
58;385;660;752
