from_stop_I;to_stop_I;d;duration_avg;n_vehicles;route_I_counts
4873;4784;10362;980.0;9;129:1,132:6,137:2
4873;4741;3774;274.6478873239437;71;129:71
4715;4717;1839;180.0;73;129:73
4715;4719;1058;120.0;1;133:1
4716;4720;1059;120.0;72;129:72
4716;4718;1836;180.0;2;133:2
4717;4715;1839;120.0;1;133:1
4717;4773;1692;195.6164383561644;73;129:73
4718;4716;1836;120.0;72;129:72
4718;4773;1695;210.0;2;133:2
4719;4722;1116;60.0;1;133:1
4719;4715;1058;120.0;73;129:73
4720;4721;1107;105.0;72;129:72
4720;4716;1059;120.0;2;133:2
4721;4720;1107;60.0;2;133:2
4721;4724;1202;105.83333333333333;72;129:72
4722;4723;1188;60.0;1;133:1
4722;4719;1116;60.0;73;129:73
4723;4722;1188;60.0;73;129:73
4723;4727;624;60.0;1;133:1
4724;4721;1202;60.0;2;133:2
4724;4725;610;60.0;72;129:72
4725;4792;1186;141.42857142857142;42;129:42
4725;4723;612;60.0;73;129:73
4725;4773;7438;800.0;3;135:3
4725;4766;1343;120.0;30;129:30
4726;4724;627;60.0;2;133:2
4726;4773;7447;664.6153846153846;13;133:13
4727;4765;1316;120.0;4;133:4
4727;4791;2852;201.8181818181818;11;132:1,133:10
4730;4807;2792;265.7142857142857;42;129:42
4731;4812;1384;120.0;42;129:42
4732;4811;4213;255.0;4;140:4
4732;4764;4207;247.5;16;136:16
4732;4805;11486;1020.0;1;140:1
4732;4827;3961;285.0;20;136:17,140:3
4733;4763;4200;257.14285714285717;7;143:7
4734;4827;4047;285.0;8;145:8
4735;4795;2220;147.69230769230768;39;130:28,131:2,139:1,134:8
4736;4789;933;61.395348837209305;43;137:2,130:28,131:1,134:12
4737;4786;525;60.0;1;139:1
4737;4773;842;157.5;128;145:11,129:77,130:19,133:19,137:2
4737;4774;843;260.0;6;132:6
4738;4787;513;92.4087591240876;137;129:75,130:21,131:2,133:16,135:5,141:5,143:13
4739;4745;1036;75.0;76;129:76
4739;4755;2956;240.0;1;139:1
4739;4799;1851;140.0;3;137:2,132:1
4740;4756;2953;240.0;5;135:5
4740;4758;1589;120.0;75;129:75
4741;4809;2149;120.0;71;129:71
4742;4874;3798;336.85714285714283;70;129:70
4743;4755;981;105.78947368421052;76;129:76
4744;4754;959;117.6;75;129:75
4745;4799;815;75.0;76;129:76
4746;4740;1025;62.4;75;129:75
4749;4751;795;108.16901408450704;71;129:71
4750;4777;1451;120.0;70;129:70
4751;4784;950;169.01408450704224;71;129:71
4752;4750;779;62.57142857142857;70;129:70
4753;4743;963;105.0;76;129:76
4754;4785;1154;124.0;75;129:75
4755;4784;3030;300.0;1;139:1
4755;4739;2956;260.0;3;137:2,132:1
4755;4757;1362;105.78947368421052;76;129:76
4755;4799;4793;440.0;3;129:1,132:2
4756;4744;984;117.6;75;129:75
4756;4785;3042;252.0;5;135:5
4757;4739;1609;120.0;76;129:76
4758;4756;1378;117.6;75;129:75
4759;4788;1778;155.3846153846154;39;130:28,131:2,139:1,134:8
4760;4770;1349;122.79069767441861;43;137:2,130:28,131:1,134:12
4761;4811;1760;180.0;28;136:17,145:8,140:3
4761;4805;5634;633.0;20;136:16,140:4
4761;4827;9705;600.0;2;145:2
4762;4783;8617;950.7692307692307;13;143:13
4763;4762;1768;180.0;7;143:7
4764;4761;1764;183.75;16;136:16
4764;4805;7365;780.0;1;136:1
4765;4725;1344;120.0;30;129:30
4765;4791;1601;156.0;5;132:1,133:4
4766;4725;1343;120.0;1;135:1
4766;4726;1315;120.0;5;133:5
4766;4791;1605;172.0;30;129:30
4767;4769;2258;181.5;40;130:29,131:2,139:1,134:8
4767;4779;12757;924.0;5;134:5
4767;4774;12201;1170.0;2;134:2
4767;4783;11156;660.0;1;130:1
4768;4824;4217;270.0;2;137:2
4768;4775;1268;185.71428571428572;21;134:21
4768;4823;4221;289.6551724137931;29;130:28,131:1
4769;4783;8904;660.0;1;130:1
4769;4759;1332;120.0;39;130:28,131:2,139:1,134:8
4770;4768;2265;124.18604651162791;43;137:2,130:28,131:1,134:12
4771;4767;1272;200.0;24;134:24
4772;4738;764;120.0;13;143:13
4773;4798;16053;960.0;1;133:1
4773;4737;842;120.0;1;139:1
4773;4738;835;118.16326530612245;98;129:75,131:2,133:16,135:5
4773;4718;1695;229.16666666666666;72;129:72
4773;4727;7440;604.6153846153846;13;133:13
4773;4794;12425;1012.5;8;133:8
4773;4717;1692;180.0;1;133:1
4773;4782;1368;227.69230769230768;39;145:11,130:28
4773;4783;1364;210.0;2;137:2
4774;4738;836;94.61538461538461;26;130:21,141:5
4774;4783;1360;210.0;2;131:2
4774;4765;8542;660.0;1;132:1
4774;4727;7440;660.0;1;132:1
4775;4854;3721;300.0;21;134:21
4776;4749;1441;120.0;71;129:71
4777;4810;2313;237.42857142857142;70;129:70
4778;4796;4648;370.0;12;134:12
4782;4761;8632;992.7272727272727;11;145:11
4782;4796;2873;252.85714285714286;28;130:28
4782;4773;1368;330.0;4;131:3,139:1
4782;4774;1364;300.0;1;134:1
4783;4772;1409;240.0;13;143:13
4783;4796;2872;260.0;3;137:2,131:1
4783;4774;1360;294.0;30;130:30
4784;4753;1143;105.0;76;129:76
4784;4786;9313;940.0;3;132:3
4784;4755;3030;270.0;6;129:1,132:3,137:2
4784;4873;10362;1020.0;1;139:1
4785;4752;942;122.57142857142857;70;129:70
4785;4874;10378;1104.0;10;141:5,135:5
4786;4737;525;80.59701492537313;134;129:77,130:19,132:6,133:19,145:11,137:2
4786;4803;863;120.0;1;139:1
4787;4800;1749;240.0;1;135:1
4787;4785;9334;828.0;5;141:5
4787;4804;875;82.82608695652173;92;129:75,143:13,135:4
4788;4735;912;96.92307692307692;39;130:28,131:2,139:1,134:8
