from_stop_I;to_stop_I;d;duration_avg;n_vehicles;route_I_counts
5120;5122;596;95.0;105;149:105
5121;5115;844;137.04901960784315;102;149:102
5122;5124;646;103.0;105;149:105
5123;5121;591;95.49019607843137;102;149:102
5124;5126;592;94.0;105;149:105
5125;5123;631;102.49019607843137;102;149:102
5126;5128;995;159.0;105;149:105
5127;5125;591;95.67647058823529;102;149:102
5128;5130;859;137.0;105;149:105
5129;5127;995;161.42156862745097;102;149:102
5130;5132;1181;172.0;105;149:105
5131;5129;858;139.04901960784315;102;149:102
5132;5134;841;124.0;105;149:105
5133;5131;1184;173.0;102;149:102
5134;5137;437;64.0;105;149:105
5135;5133;842;123.0;102;149:102
5136;5135;440;64.0;102;149:102
5138;5140;560;130.0;110;150:110
5139;5145;902;207.43478260869566;115;150:115
5140;5142;350;82.0;110;150:110
5141;5139;558;128.0608695652174;115;150:115
5143;5145;1323;360.0;1;150:1
5143;5141;357;81.37391304347825;115;150:115
5144;5188;4475;660.0;1;150:1
5144;5138;897;208.0;110;150:110
5144;5172;1538;220.0;104;150:104
5145;5147;802;103.1151832460733;191;150:191
5146;5144;801;106.0;189;150:189
5147;5149;1479;195.0;183;150:183
5148;5146;1486;194.0;189;150:189
5149;5151;2052;341.1968085106383;188;150:188
5150;5148;2047;344.85714285714283;189;150:189
5151;5153;724;120.17021276595744;188;150:188
5152;5150;725;122.55555555555556;189;150:189
5153;5155;695;115.40425531914893;188;150:188
5154;5152;694;116.61904761904762;189;150:189
5155;5157;628;104.65425531914893;188;150:188
5156;5154;627;105.61904761904762;189;150:189
5157;5159;334;56.18617021276596;188;150:188
5158;5156;335;56.80952380952381;189;150:189
5159;5161;411;67.95212765957447;188;150:188
5160;5158;411;68.80952380952381;189;150:189
5161;5163;670;112.40425531914893;188;150:188
5162;5160;670;112.61904761904762;189;150:189
5163;5165;313;52.202127659574465;188;150:188
5164;5162;312;52.80952380952381;189;150:189
5165;5167;370;61.202127659574465;188;150:188
5166;5164;379;63.80952380952381;189;150:189
5167;5169;554;92.67021276595744;188;150:188
5168;5166;550;91.68253968253968;189;150:189
5169;5171;353;102.59574468085107;188;150:188
5170;5168;348;94.42857142857143;189;150:189
5171;5177;594;173.7340425531915;188;150:188
5172;5174;751;107.0;104;150:104
5173;5145;1536;221.0;110;150:110
5174;5184;894;129.0;104;150:104
5175;5173;751;107.0;110;150:110
5176;5170;594;159.53968253968253;189;150:189
5177;5179;297;87.30851063829788;188;150:188
5178;5176;295;80.04232804232804;189;150:189
5179;5181;563;163.9787234042553;188;150:188
5180;5178;564;151.60846560846562;189;150:189
5181;5183;461;135.5744680851064;188;150:188
5182;5180;462;123.9047619047619;189;150:189
5183;5191;493;190.49468085106383;188;150:188
5184;5186;557;79.0;104;150:104
5185;5175;898;129.0;110;150:110
5186;5188;867;125.0;104;150:104
5187;5185;553;79.0;110;150:110
5189;5187;868;124.0;110;150:110
5190;5182;489;163.88888888888889;189;150:189
5191;5193;133;65.41558441558442;77;150:77
5191;5195;274;86.01801801801801;111;150:111
5192;5190;141;53.0;77;150:77
5194;5190;277;83.0;112;150:112
5195;5197;287;90.92792792792793;111;150:111
5196;5194;287;87.0;112;150:112
5197;5199;410;129.66666666666666;111;150:111
5198;5196;410;123.0;112;150:112
5199;5201;530;168.07207207207207;111;150:111
5200;5198;530;159.0;112;150:112
5095;5097;626;86.0;181;149:181
5096;5094;618;107.6;180;149:180
5097;5099;433;60.0;181;149:181
5098;5096;436;76.13333333333334;180;149:180
5099;5101;522;72.0;181;149:181
5100;5098;523;90.93333333333334;180;149:180
5101;5102;588;82.0;181;149:181
5102;5104;510;74.55801104972376;181;149:181
5103;5100;588;101.33333333333333;180;149:180
5104;5106;756;110.42541436464089;181;149:181
5105;5103;511;75.44444444444444;180;149:180
5106;5108;884;130.24861878453038;181;149:181
5107;5105;757;111.22222222222223;180;149:180
5108;5110;1104;162.11602209944752;181;149:181
5109;5107;884;129.11111111111111;180;149:180
5110;5112;902;133.0;181;149:181
5111;5109;1100;160.88888888888889;180;149:180
5112;5116;908;135.0;181;149:181
5113;5111;902;118.0;180;149:180
5114;5120;832;132.0;105;149:105
5115;5119;428;55.0;180;149:180
5116;5118;996;148.0;181;149:181
5117;5113;903;117.0;180;149:180
5118;5114;428;64.0;181;149:181
5119;5117;998;130.0;180;149:180
