from_stop_I;to_stop_I;d;duration_avg;n_vehicles;route_I_counts
1212;1210;430;60.0;148;39:148
1195;1198;330;60.0;89;36:89
470;468;468;120.0;195;34:179,39:16
1196;475;599;180.0;86;36:86
1208;1206;478;120.0;148;39:148
429;475;504;120.0;192;34:173,36:3,39:16
1228;1226;834;120.0;148;39:148
1198;1194;334;60.0;89;36:89
1199;1201;482;120.0;136;39:136
1201;1203;660;60.0;136;39:136
1202;1200;483;120.0;149;39:149
1229;1231;872;120.0;149;39:149
1203;1205;585;120.0;136;39:136
1225;1227;831;120.40268456375838;149;39:149
1204;1202;659;60.0;149;39:149
1226;1224;817;120.0;148;39:148
1209;1211;428;60.0;149;39:149
318;320;308;60.0;237;32:237
319;441;535;120.0;237;32:237
320;322;359;60.0;237;32:237
321;319;312;60.0;237;32:237
322;323;445;120.0;237;32:237
323;1156;614;120.0;237;32:237
324;1155;455;116.70886075949367;237;32:237
325;324;616;120.0;237;32:237
326;1189;321;120.0;237;32:237
327;325;298;60.0;237;32:237
328;329;334;180.0;237;32:237
329;436;261;97.9746835443038;474;32:237,33:237
330;1164;238;120.0;237;33:237
330;1157;329;120.0;237;32:237
331;437;386;120.0;474;32:237,33:237
332;440;394;120.0;474;32:237,33:237
333;439;241;30.0;474;32:237,33:237
334;336;634;127.84810126582279;237;32:237
335;333;527;120.0;237;32:237
336;338;348;60.0;237;32:237
337;335;650;120.0;237;32:237
338;339;578;120.0;237;32:237
339;1161;629;60.25316455696203;237;32:237
340;431;547;120.0;237;33:237
341;1167;512;66.58227848101266;237;33:237
342;450;517;87.32394366197182;426;33:237,34:171,36:3,39:15
343;1174;524;101.25874125874125;429;33:237,34:173,36:3,39:16
344;435;217;120.0;228;32:228
345;347;406;60.0;250;32:250
346;344;406;60.0;231;32:231
347;349;491;120.0;250;32:250
348;346;493;120.0;231;32:231
349;351;362;60.0;250;32:250
350;348;350;120.0;231;32:231
351;434;322;60.0;250;32:250
352;433;472;60.0;231;32:231
353;355;346;60.0;250;32:250
354;352;348;60.0;231;32:231
355;357;382;119.76;250;32:250
356;354;384;60.0;231;32:231
357;358;500;60.24;250;32:250
359;442;430;60.0;237;33:237
360;333;345;184.81012658227849;237;33:237
1230;1228;735;120.0;148;39:148
364;1162;714;120.0;237;32:237
1213;1215;883;120.0;149;39:149
1214;1212;1229;180.0;148;39:148
1215;1217;650;120.0;149;39:149
1223;1225;800;120.0;149;39:149
1206;1204;586;120.0;149;39:149
1206;469;577;180.0;2;39:2
1216;1214;878;120.0;148;39:148
1155;321;345;84.55696202531645;237;32:237
1156;326;309;60.0;237;32:237
1157;1190;405;180.0;237;32:237
1158;334;544;120.0;237;32:237
1158;359;342;120.0;237;33:237
1159;337;347;60.0;237;32:237
1160;1159;579;120.0;237;32:237
1161;438;712;120.0;237;32:237
1162;1160;629;60.25316455696203;237;32:237
1163;329;234;134.43037974683546;237;33:237
1164;1165;262;60.0;237;33:237
1165;341;546;120.0;237;33:237
1166;340;512;114.9367088607595;237;33:237
1167;1169;323;120.0;237;33:237
1168;1166;326;120.0;237;33:237
1169;1171;391;60.0;237;33:237
1170;1168;396;60.0;237;33:237
1171;1173;975;180.0;237;33:237
1172;1170;973;180.0;237;33:237
1173;342;505;118.9873417721519;237;33:237
1174;1172;502;60.0;237;33:237
