from_stop_I;to_stop_I;d;d_walk
1;1089;256;310
1;1092;255;308
1;5;400;480
1;6;406;479
1;7;598;759
1;8;584;746
1;2318;0;6
1;2136;886;993
1;1668;255;309
1;2074;661;766
1;2075;791;821
1;1093;11;12
1;1072;621;726
1;2309;601;650
1;1063;885;992
1;1071;886;993
1;2224;406;479
1;2225;585;748
1;117;593;669
1;118;601;650
1;1080;661;766
1;1150;747;784
1;1151;791;821
2;640;171;234
2;641;7;8
2;642;214;252
2;2082;449;607
2;2298;0;4
2;2229;473;673
2;1856;177;235
2;2124;357;511
2;1741;559;825
2;1742;550;956
2;1167;769;965
2;1168;451;601
2;849;178;235
2;1170;192;269
2;1171;198;266
2;1166;775;991
2;89;458;983
2;1752;621;865
2;985;486;586
2;986;476;549
2;154;686;926
2;1829;531;839
2;1954;476;549
2;485;531;839
2;486;581;754
2;487;621;865
2;1169;449;607
2;489;559;825
2;1386;694;933
2;1939;198;266
2;179;550;956
2;2101;581;754
2;2282;769;965
2;698;648;860
2;699;577;756
2;700;519;837
2;637;609;882
2;638;381;538
2;639;358;512
3;1538;790;967
3;993;199;259
3;4;27;30
3;470;467;585
3;1673;775;882
3;1763;473;610
3;11;537;641
3;12;543;654
3;1666;751;908
3;1796;537;641
3;2065;0;2
3;1539;770;953
3;153;665;836
3;1761;353;450
3;924;772;935
3;157;747;905
3;159;656;826
3;160;643;800
3;1947;468;595
3;164;777;955
3;1189;794;981
3;1190;788;973
3;867;479;610
3;2290;556;710
3;1203;552;704
3;1204;556;710
3;1205;420;545
3;1206;425;547
3;1207;764;862
3;312;382;500
3;313;390;499
3;223;656;844
3;316;799;984
3;1853;636;841
3;1248;653;790
3;1739;740;752
3;1861;674;859
3;326;754;898
3;327;751;908
3;1036;483;640
3;331;805;944
3;332;800;949
3;994;173;228
3;2256;747;905
3;1208;768;875
3;466;564;701
3;467;565;711
3;468;183;235
3;469;187;244
3;726;431;488
3;727;450;523
3;1746;382;500
3;2307;777;955
3;471;468;595
3;861;679;690
3;862;740;752
3;863;273;288
3;864;246;254
3;865;329;398
3;866;355;450
3;1083;834;984
3;868;473;610
3;869;701;921
3;870;674;859
3;1900;187;244
3;874;794;860
3;875;768;860
3;876;650;840
3;877;636;841
3;878;452;594
3;1832;462;555
3;1394;605;773
3;1395;663;847
3;1396;672;798
3;1397;690;822
3;1784;793;981
3;315;787;955
3;1914;673;799
3;1898;173;228
3;1663;834;985
4;1538;801;988
4;1796;511;613
4;470;485;606
4;1739;764;773
4;1673;751;854
4;1763;464;581
4;11;511;613
4;12;517;626
4;1666;770;929
4;993;222;280
4;1083;814;956
4;1539;780;973
4;153;663;808
4;1761;339;422
4;924;747;907
4;157;722;877
4;1947;487;616
4;159;651;798
4;160;638;771
4;163;805;979
4;164;764;926
4;1190;798;994
4;1832;436;527
4;1208;744;846
4;2290;553;731
4;223;653;816
4;1203;549;725
4;436;831;995
4;1205;394;516
4;1206;399;519
4;1207;740;834
4;440;826;991
4;313;387;471
4;315;794;927
4;316;808;956
4;1853;662;862
4;1248;638;762
4;1204;553;731
4;1861;669;830
4;326;774;919
4;327;770;929
4;1036;506;661
4;331;782;915
4;332;777;921
4;994;197;248
4;2256;722;877
4;312;379;472
4;466;557;722
4;467;558;732
4;468;206;256
4;469;210;265
4;726;405;460
4;727;423;495
4;1746;379;471
4;471;487;616
4;861;703;711
4;862;764;773
4;863;298;309
4;864;272;275
4;865;311;370
4;866;340;421
4;867;470;582
4;868;464;581
4;869;693;893
4;870;669;830
4;2065;27;30
4;1900;210;265
4;874;819;881
4;875;794;881
4;876;676;861
4;877;662;862
4;878;473;614
4;1394;604;794
4;1395;663;868
4;1396;654;770
4;1397;672;794
4;2307;764;926
4;1914;655;771
4;1898;197;248
4;1663;814;957
5;1089;654;777
5;1092;652;775
5;1093;392;479
5;6;7;10
5;8;190;351
5;2318;400;480
5;2000;713;874
5;1668;654;777
5;2075;403;545
5;2309;224;374
5;2310;693;928
5;7;204;365
5;1389;701;866
5;1390;713;874
5;2224;7;10
5;2225;190;353
5;117;215;393
5;118;224;374
5;119;693;928
5;120;724;956
5;1150;363;508
5;1151;403;545
6;1089;660;777
6;1092;657;775
6;2310;690;921
6;8;185;344
6;2318;406;479
6;2000;707;874
6;1093;398;479
6;1668;659;776
6;2075;397;545
6;2309;218;374
6;7;199;358
6;1389;695;865
6;1390;707;874
6;2224;0;4
6;2225;186;346
6;117;209;393
6;118;218;374
6;119;690;921
6;120;722;949
6;1150;357;508
6;1151;397;545
7;2310;520;571
7;2309;179;243
7;8;14;17
7;2224;199;358
7;1389;532;689
7;1390;541;697
7;2000;541;697
7;2225;14;17
7;2318;598;759
7;117;175;246
7;118;179;243
7;119;520;571
7;120;553;623
7;1093;589;759
7;2075;267;444
7;1150;245;463
7;1151;267;444
8;2310;531;582
8;2309;174;254
8;2224;185;344
8;1389;542;701
8;1390;551;709
8;2000;551;709
8;2225;2;5
8;2318;584;746
8;117;170;257
8;118;174;254
8;119;531;582
8;120;565;634
8;1093;576;746
8;2075;273;455
8;1150;249;474
8;1151;273;455
9;2306;5;4
9;515;343;431
9;2195;113;439
9;2259;591;839
9;1927;74;585
9;1864;577;989
9;329;574;988
9;522;107;134
9;1163;588;826
9;524;106;117
9;1165;591;759
9;2317;424;531
9;2264;707;832
9;1164;592;839
9;2147;343;431
9;724;709;836
9;725;707;832
9;919;585;751
9;920;563;724
9;1242;69;593
9;1243;74;585
9;27;424;531
9;2109;591;759
9;365;5;4
9;431;585;760
9;2099;107;134
9;73;113;439
9;330;577;989
10;1409;889;970
10;1714;889;970
10;2131;482;883
10;2243;298;336
10;55;5;4
10;1756;5;4
10;186;236;792
10;187;482;883
10;188;456;854
10;1802;236;792
10;687;297;334
11;1669;567;650
11;1158;417;506
11;1918;579;682
11;1673;383;431
11;1763;594;634
11;12;16;19
11;955;579;682
11;1796;0;6
11;2065;537;641
11;1207;382;436
11;1893;541;695
11;153;833;912
11;1761;453;474
11;924;299;302
11;157;268;272
11;159;790;850
11;160;769;824
11;994;687;859
11;163;712;835
11;164;711;879
11;1832;77;122
11;1208;380;428
11;2256;268;272
11;2290;695;756
11;223;821;916
11;1203;695;768
11;436;729;848
11;437;485;728
11;1206;126;188
11;439;498;699
11;440;728;847
11;313;634;732
11;954;655;756
11;1083;502;624
11;956;530;719
11;957;541;695
11;1205;130;188
11;1248;592;715
11;1204;695;756
11;1861;788;883
11;1862;625;697
11;993;707;891
11;2120;819;882
11;2257;414;499
11;331;446;525
11;332;441;531
11;333;415;501
11;847;728;849
11;848;732;854
11;312;627;733
11;466;640;731
11;467;643;741
11;468;696;867
11;469;699;876
11;726;151;153
11;727;118;123
11;728;567;650
11;729;775;980
11;863;795;920
11;864;773;886
11;865;402;422
11;866;453;474
11;867;592;634
11;868;594;634
11;869;768;915
11;870;788;883
11;359;739;812
11;360;740;804
11;2281;774;901
11;1898;687;859
11;1900;699;876
11;1746;627;732
11;496;780;907
11;1394;770;839
11;1395;830;883
11;1396;530;700
11;1397;526;672
11;2307;711;879
11;1914;530;699
11;901;819;882
11;1663;503;625
12;901;814;867
12;1158;409;491
12;1673;394;445
12;1763;609;648
12;955;581;667
12;1796;16;19
12;2065;543;654
12;1207;393;450
12;1893;549;679
12;153;848;926
12;1761;467;488
12;924;285;286
12;157;253;256
12;1669;551;634
12;160;785;838
12;994;692;866
12;163;728;849
12;164;727;893
12;1832;87;136
12;1208;392;441
12;159;806;864
12;2290;688;740
12;223;837;930
12;1203;688;752
12;436;744;862
12;437;485;713
12;1206;127;195
12;439;498;683
12;440;743;861
12;313;648;746
12;954;656;741
12;1083;486;608
12;956;536;703
12;957;549;679
12;1205;131;196
12;1248;608;728
12;1204;688;740
12;1861;803;896
12;1862;636;710
12;993;711;879
12;2120;814;867
12;1396;545;713
12;2257;406;484
12;331;458;538
12;332;453;544
12;333;407;485
12;847;740;862
12;848;745;868
12;312;641;746
12;466;631;716
12;467;634;725
12;468;700;870
12;469;703;878
12;726;165;166
12;727;132;137
12;728;551;634
12;729;761;964
12;2256;253;256
12;863;799;934
12;864;778;900
12;865;416;436
12;866;467;487
12;867;607;648
12;868;609;648
12;869;784;928
12;870;803;896
12;359;735;796
12;360;735;788
12;2281;789;914
12;1898;692;866
12;1900;703;878
12;1746;641;746
12;496;795;921
12;1394;763;823
12;1395;822;868
12;464;815;996
12;1397;541;685
12;2307;727;893
12;1914;546;712
12;1918;581;667
12;1663;487;609
13;1104;721;757
13;1792;523;902
13;1094;25;31
13;2185;287;289
13;505;709;753
13;763;523;902
13;764;287;289
13;765;331;332
13;2302;2;2
13;1855;709;753
14;1408;547;647
14;1664;425;569
14;1515;737;874
14;2070;561;700
14;1991;311;320
14;648;32;43
14;1516;441;600
14;74;621;625
14;75;556;558
14;22;639;997
14;23;707;949
14;612;497;625
14;602;483;588
14;1175;675;938
14;609;483;590
14;354;556;691
14;355;562;701
14;356;430;579
14;357;425;569
14;358;678;944
14;615;817;891
14;1948;621;625
14;618;823;929
14;43;311;320
14;44;276;280
14;1517;440;622
14;1775;823;929
14;1520;737;878
14;2356;198;277
14;2360;737;874
14;1530;218;308
14;1531;199;278
14;1852;678;944
14;2314;0;6
14;1407;547;648
15;2050;435;567
15;643;639;846
15;1924;989;997
15;2119;343;527
15;647;638;838
15;713;684;687
15;714;658;661
15;1099;403;619
15;716;102;103
15;395;368;661
15;718;989;997
15;717;357;362
15;1178;548;963
15;18;649;655
15;1941;473;620
15;1176;435;567
15;1177;343;527
15;2202;786;962
15;604;786;962
15;698;672;927
15;1889;684;687
15;739;551;896
15;165;446;609
15;166;454;630
15;743;535;903
15;1768;535;903
15;156;652;657
15;2154;638;838
15;1834;371;429
15;2089;0;2
15;45;519;723
15;396;538;948
15;424;371;429
15;1749;454;630
15;51;453;747
15;52;413;729
15;54;473;620
15;425;378;428
15;1848;649;655
15;1018;450;569
15;1971;403;619
15;394;480;594
15;715;337;341
18;1971;760;952
18;2050;294;388
18;2027;623;774
18;1924;341;350
18;394;261;397
18;395;679;822
18;401;445;605
18;1176;294;388
18;1177;548;688
18;156;8;10
18;165;475;603
18;166;497;624
18;424;286;321
18;425;279;320
18;1834;286;321
18;45;500;672
18;815;731;897
18;816;726;898
18;51;590;741
18;52;666;842
18;1973;571;599
18;1848;0;8
18;698;408;472
18;699;356;586
18;700;677;860
18;829;558;697
18;831;551;704
18;715;313;320
18;2119;548;688
18;1099;760;952
18;716;749;757
18;717;293;298
18;718;341;350
18;719;571;599
18;720;604;633
18;1749;497;624
18;2262;440;618
18;1752;366;426
18;2010;727;897
18;1829;693;885
18;739;730;938
18;485;693;885
18;486;353;584
18;487;366;426
18;619;370;383
18;370;439;619
18;2089;649;655
18;2101;353;584
19;64;830;924
19;65;826;928
19;2178;882;928
19;451;601;607
19;1220;882;928
19;1221;519;558
19;1222;514;557
19;1223;93;137
19;1224;81;117
19;1225;872;928
19;1226;870;929
19;2316;402;409
19;2193;81;117
19;1219;882;927
19;1114;806;898
19;1115;804;902
19;1694;668;831
19;735;633;639
19;736;403;409
19;737;207;228
19;738;492;533
19;1253;682;840
19;1254;668;831
19;2344;679;830
19;1450;679;830
19;939;241;280
19;1711;832;925
19;2096;207;228
19;2097;492;533
19;1451;682;832
19;2334;514;557
19;1846;633;638
19;2143;870;929
19;1020;33;33
19;1021;370;376
19;1022;528;566
20;2240;477;567
20;449;319;481
20;450;307;404
20;2187;672;908
20;246;434;528
20;454;329;498
20;2311;400;559
20;1911;820;868
20;1026;41;42
20;1614;41;42
20;1615;2;1
20;1616;343;342
20;1617;347;346
20;1106;642;822
20;1619;839;895
20;1618;841;902
20;21;477;567
20;342;820;867
20;343;301;375
20;1883;311;445
20;830;344;346
20;1831;313;467
20;1964;642;822
20;1197;325;486
20;245;311;445
20;694;400;559
20;1719;307;404
20;1720;0;0
20;57;351;349
20;826;672;908
20;827;644;878
20;828;477;579
20;1174;821;874
20;693;400;553
21;2240;0;6
21;449;427;503
21;450;288;379
21;2187;339;347
21;694;703;944
21;454;426;520
21;775;609;645
21;1620;781;912
21;138;643;747
21;1911;452;599
21;1026;514;610
21;1614;515;610
21;1103;660;739
21;1616;192;260
21;1617;191;256
21;1618;438;550
21;1107;703;739
21;1621;788;928
21;342;451;598
21;343;291;379
21;1615;478;569
21;1949;839;993
21;830;190;262
21;1764;643;747
21;1831;427;489
21;1883;725;934
21;2311;703;944
21;1197;427;508
21;1619;444;560
21;245;725;934
21;246;764;904
21;1719;288;379
21;1720;477;567
21;57;190;252
21;826;339;347
21;827;307;316
21;828;14;17
21;1174;455;605
21;693;709;958
22;1408;512;602
22;1664;440;449
22;1922;283;283
22;2070;821;827
22;648;608;972
22;2314;639;997
22;1035;447;649
22;1937;463;662
22;1686;722;987
22;1175;63;73
22;24;722;987
22;612;696;704
22;26;283;283
22;602;752;782
22;609;753;783
22;354;823;836
22;355;822;828
22;356;438;440
22;357;440;449
22;358;63;65
22;1852;63;65
22;682;301;315
22;1516;429;435
22;1517;398;398
22;562;463;662
22;2356;510;760
22;23;81;98
22;1530;489;694
22;1531;511;761
22;60;726;979
22;1407;506;603
23;1408;588;675
23;1664;519;539
23;1922;206;217
23;648;675;919
23;2314;707;949
23;1035;379;563
23;1937;395;576
23;2070;900;912
23;1175;34;76
23;612;776;777
23;602;832;874
23;26;206;217
23;609;833;875
23;354;902;921
23;355;901;913
23;356;517;526
23;357;519;539
23;358;30;68
23;682;222;226
23;1516;508;508
23;1517;478;483
23;562;395;576
23;2356;587;853
23;1530;565;786
23;1531;588;854
23;1852;30;68
23;1407;582;676
24;1408;398;403
24;1664;525;576
24;1686;0;6
24;523;701;923
24;354;602;829
24;1531;748;811
24;610;751;869
24;1943;780;899
24;2138;408;525
24;1823;643;648
24;34;401;453
24;602;601;803
24;1702;401;453
24;40;643;648
24;1587;531;783
24;1586;518;758
24;611;408;525
24;2356;749;810
24;56;418;598
24;2100;761;937
24;60;15;149
24;1931;557;799
24;1098;395;445
24;1869;465;670
24;1744;701;923
24;355;595;821
24;356;520;569
24;2070;595;820
24;605;780;899
24;613;715;864
24;608;663;673
24;609;603;804
24;1122;557;799
24;1123;564;808
24;612;535;708
24;1062;761;939
24;357;525;576
24;617;713;843
24;1516;511;566
24;1517;522;604
24;626;433;442
24;627;721;950
24;1530;733;744
24;38;438;444
24;1407;398;404
25;2015;681;921
25;2113;647;662
25;834;318;367
25;835;304;332
25;1604;428;639
25;69;248;254
25;70;393;411
25;1607;497;747
25;2355;332;422
25;1605;439;609
25;2197;583;782
25;1045;332;422
25;918;918;929
25;151;720;731
25;152;696;719
25;155;686;721
25;28;674;886
25;549;936;951
25;2288;1;3
25;547;447;628
25;548;440;624
25;550;672;687
25;1126;618;808
25;551;25;36
25;680;644;840
25;1066;767;801
25;1127;583;782
25;1606;512;750
25;2158;627;879
25;2032;332;422
25;1779;440;624
25;1972;916;929
25;2238;555;696
25;2054;696;719
25;1851;318;367
25;1532;330;406
25;42;736;796
25;894;685;900
25;703;647;662
26;1408;793;883
26;1664;722;730
26;1922;0;0
26;1035;302;366
26;648;825;975
26;1516;711;716
26;1937;318;379
26;1175;222;228
26;612;979;985
26;29;792;883
26;30;808;901
26;356;720;722
26;357;722;730
26;358;221;223
26;1896;747;816
26;681;829;946
26;682;22;51
26;684;747;812
26;1517;681;679
26;562;318;379
26;1897;808;901
26;1530;746;975
26;1852;221;223
26;1407;787;885
27;2306;424;528
27;515;99;109
27;1927;411;475
27;906;690;826
27;1163;462;575
27;524;319;419
27;1165;277;322
27;2192;776;800
27;2195;527;927
27;73;527;927
27;919;249;272
27;920;220;246
27;921;472;731
27;922;753;957
27;1051;769;895
27;923;755;964
27;164;819;994
27;163;787;961
27;2317;0;8
27;2307;819;994
27;1961;555;674
27;431;271;323
27;905;537;723
27;2099;318;409
27;436;764;933
27;2102;769;895
27;329;616;737
27;440;767;936
27;2109;277;322
27;522;318;409
27;1864;619;739
27;1164;464;588
27;330;619;739
27;847;762;940
27;848;755;928
27;722;802;828
27;723;776;800
27;340;552;667
27;341;555;674
27;2264;333;349
27;1242;415;477
27;1243;411;475
27;1955;472;736
27;2147;99;109
27;2281;700;900
27;365;424;528
27;496;694;895
27;2259;464;588
27;2267;755;964
27;724;332;343
27;725;333;349
28;1795;276;391
28;2054;704;842
28;527;891;908
28;1044;428;627
28;1045;689;843
28;151;698;847
28;152;704;842
28;155;716;844
28;965;823;907
28;2209;622;631
28;547;230;259
28;548;237;267
28;966;505;518
28;678;276;391
28;551;657;860
28;680;52;72
28;967;238;252
28;1068;835;949
28;1709;420;430
28;48;636;645
28;2355;689;843
28;1851;528;675
28;833;420;429
28;834;528;675
28;835;629;774
28;964;807;877
28;69;599;789
28;70;585;808
28;1095;827;884
28;2126;256;269
28;1751;894;910
28;2319;428;627
28;2141;510;523
28;2015;90;102
28;2018;808;879
28;679;304;433
28;2288;675;887
28;2032;689;843
28;1779;237;267
28;758;510;523
28;759;256;269
28;760;420;430
28;761;622;631
28;762;894;910
28;1532;681;834
28;893;496;700
28;894;68;81
29;1922;792;883
29;523;742;935
29;68;378;487
29;1098;972;972
29;1035;492;527
29;1869;643;654
29;1897;19;42
29;1744;742;935
29;1937;477;514
29;1586;538;538
29;1896;52;73
29;1813;284;306
29;1988;378;487
29;30;19;42
29;31;283;305
29;34;882;900
29;1702;882;900
29;38;918;957
29;39;241;243
29;1960;936;946
29;681;38;88
29;682;777;861
29;2354;604;871
29;684;52;73
29;562;477;514
29;1587;529;540
29;626;930;960
29;627;699;934
29;628;597;820
29;2293;597;820
29;1590;717;730
29;1591;680;682
29;2361;615;727
29;1533;615;727
29;1534;603;870
30;1922;808;901
30;523;745;933
30;68;368;485
30;1098;981;989
30;1035;508;545
30;1869;652;653
30;1897;0;4
30;1744;745;933
30;1937;493;532
30;1586;547;555
30;1896;70;93
30;1813;275;276
30;1988;368;485
30;31;274;275
30;34;891;899
30;1702;891;899
30;38;927;957
30;39;232;282
30;1960;927;927
30;681;27;86
30;682;793;879
30;2354;585;870
30;684;70;91
30;562;493;532
30;1587;538;540
30;626;939;959
30;627;701;933
30;628;598;819
30;2293;598;819
30;1590;707;710
30;1591;671;682
30;2361;599;726
30;1533;599;726
30;1534;585;869
31;1937;559;804
31;68;552;738
31;1035;576;817
31;1869;925;925
31;1591;398;409
31;81;922;921
