stop_I;lat;lon;name
1;62.893025;27.6761;Torikulma I
2;62.893399;27.67666;Haapaniemenkatu E
3;62.892649;27.676809;Torikuja E
4;62.891996;27.677356;Kauppahalli P
5;62.893143;27.675906;Tullinkulma 1 L
6;62.89306;27.674469;Tullinkulma 2 L
7;62.894067;27.662708;Poliisiasema L
8;62.893176;27.659442;Mustinlammenkatu E
9;62.890739;27.654568;Umpikuja E
10;62.888562;27.653674;Tupatie E
11;62.886503;27.656421;Ruotsinkatu 14 E
12;62.885542;27.660353;Alavanpuisto I
13;62.885634;27.663698;Alavansairaala I
14;62.884956;27.668638;Keskuskenttä E
15;62.88243;27.671294;Veijaripuisto L
16;62.88238;27.674243;Veijaripuisto I
17;62.883516;27.67305;Aulis Rytkösen Katu I
18;62.882861;27.673153;Veijaripuisto P
19;62.884941;27.675403;Presidentinkatu E
20;62.884761;27.675537;Presidentinkatu P
21;62.887666;27.672574;Amiska E
22;62.887312;27.673373;Amiska P
23;62.889607;27.671911;Hovioikeus E
24;62.890495;27.672148;Hovioikeus P
25;62.893117;27.67746;Kaupungintalo 1 I
26;62.893183;27.678701;Kaupungintalo 2 I
27;62.893446;27.683703;Tullikuningas I
28;62.89357;27.684139;Tullikuningas L
29;62.894183;27.687301;Työnkulma P
30;62.894238;27.687007;Työnkulma E
31;62.895917;27.68681;Maljalahdenpuisto P
32;62.898018;27.69406;Pohjolankatu I
33;62.897865;27.692384;Pohjolankatu L
34;62.897775;27.69248;Pohjolankatu I
35;62.901368;27.704489;Mäntytori I
36;62.901566;27.702625;Mäntytori L
37;62.9013;27.709131;Lönnrotinkatu I
38;62.901393;27.708484;Lönnrotinkatu L
39;62.899964;27.712464;Tellervonkatu E
40;62.900035;27.712643;Tellervonkatu P
41;62.89871;27.715463;Sotilaspojankatu E
42;62.89879;27.715662;Sotilaspojankatu P
43;62.897938;27.720835;Kevama I
44;62.897904;27.720323;Kevama L
45;62.899736;27.725444;Itkonniemi
46;62.900466;27.690852;Gottlundinkatu P
47;62.900476;27.690675;Gottlundinkatu E
48;62.896458;27.686449;Minna Canthin puisto E
49;62.893395;27.664286;Poliisiasema I
50;62.892707;27.667516;Teatterikulma L
51;62.89259;27.667592;Teatterikulma I
52;62.898193;27.678364;Linja-autoasema P
53;62.897773;27.67802;Linja-autoasema E
54;62.898337;27.678328;Linja-autoasema P
55;62.905644;27.678241;Rastaantie P
56;62.905664;27.677848;Rastaantie E
57;62.908012;27.676623;Peipposenrinne P
58;62.907617;27.676633;Peipposenrinne E
59;62.916373;27.672012;Antikkala P
60;62.916769;27.671667;Antikkala E
61;62.916256;27.673939;Inkilänmäenkatu 32 P
62;62.916149;27.673798;Inkilänmäenkatu 32 E
