from_stop_I;to_stop_I;dep_time_ut;arr_time_ut;route_type;trip_I;seq;route_I
6;50;1481529300;1481529360;3;2;1;7
50;7;1481529360;1481529420;3;2;2;7
7;74;1481529420;1481529420;3;2;3;7
74;76;1481529420;1481529480;3;2;4;7
76;78;1481529480;1481529540;3;2;5;7
78;82;1481529540;1481529600;3;2;6;7
82;84;1481529600;1481529600;3;2;7;7
84;86;1481529600;1481529660;3;2;8;7
86;211;1481529660;1481529720;3;2;9;7
211;213;1481529720;1481529720;3;2;10;7
213;185;1481529720;1481529840;3;2;11;7
185;215;1481529840;1481529900;3;2;12;7
215;400;1481529900;1481529900;3;2;13;7
400;217;1481529900;1481529960;3;2;14;7
217;219;1481529960;1481530020;3;2;15;7
219;221;1481530020;1481530020;3;2;16;7
221;223;1481530020;1481530080;3;2;17;7
223;225;1481530080;1481530140;3;2;18;7
225;227;1481530140;1481530260;3;2;19;7
227;230;1481530260;1481530260;3;2;20;7
230;231;1481530260;1481530320;3;2;21;7
231;233;1481530320;1481530440;3;2;22;7
412;411;1481536200;1481536200;3;3;1;37
411;89;1481536200;1481536260;3;3;2;37
89;91;1481536260;1481536260;3;3;3;37
91;402;1481536260;1481536320;3;3;4;37
402;1320;1481536320;1481536320;3;3;5;37
1320;94;1481536320;1481536380;3;3;6;37
94;240;1481536380;1481536440;3;3;7;37
240;414;1481536440;1481536440;3;3;8;37
414;177;1481536440;1481536500;3;3;9;37
177;175;1481536500;1481536560;3;3;10;37
175;453;1481536560;1481536620;3;3;11;37
453;73;1481536620;1481536680;3;3;12;37
73;3;1481536680;1481537100;3;3;13;37
3;191;1481537100;1481537160;3;3;14;37
191;193;1481537160;1481537160;3;3;15;37
193;15;1481537160;1481537220;3;3;16;37
15;197;1481537220;1481537280;3;3;17;37
197;435;1481537280;1481537340;3;3;18;37
435;447;1481537340;1481537400;3;3;19;37
447;443;1481537400;1481537460;3;3;20;37
443;441;1481537460;1481537460;3;3;21;37
441;437;1481537460;1481537520;3;3;22;37
437;445;1481537520;1481537880;3;3;23;37
445;439;1481537880;1481537940;3;3;24;37
439;374;1481537940;1481537940;3;3;25;37
374;366;1481537940;1481538000;3;3;26;37
366;364;1481538000;1481538000;3;3;27;37
364;391;1481538000;1481538060;3;3;28;37
391;380;1481538060;1481538060;3;3;29;37
380;80;1481538060;1481538120;3;3;30;37
80;238;1481538120;1481538120;3;3;31;37
238;236;1481538120;1481538180;3;3;32;37
236;354;1481538180;1481538240;3;3;33;37
354;356;1481538240;1481538360;3;3;34;37
6;50;1481534100;1481534160;3;6;1;7
50;7;1481534160;1481534220;3;6;2;7
7;74;1481534220;1481534220;3;6;3;7
74;76;1481534220;1481534280;3;6;4;7
76;78;1481534280;1481534340;3;6;5;7
78;82;1481534340;1481534400;3;6;6;7
82;84;1481534400;1481534400;3;6;7;7
84;86;1481534400;1481534460;3;6;8;7
86;211;1481534460;1481534520;3;6;9;7
211;213;1481534520;1481534520;3;6;10;7
213;185;1481534520;1481534640;3;6;11;7
185;215;1481534640;1481534700;3;6;12;7
