from_stop_I;to_stop_I;d;d_walk
1;2;51;86
1;3;56;113
1;4;132;188
1;5;17;67
1;6;83;99
1;7;690;754
1;8;846;988
1;194;565;629
1;399;169;249
1;21;623;825
1;22;651;866
1;23;436;627
1;24;346;503
1;409;636;959
1;26;134;401
1;27;389;586
1;28;413;602
1;29;583;723
1;30;570;713
1;31;632;830
1;416;697;933
1;161;794;991
1;164;793;986
1;193;656;726
1;48;650;882
1;49;601;703
1;50;437;455
1;51;435;450
1;52;587;731
1;53;538;665
1;54;603;747
1;415;685;925
1;189;342;471
1;190;440;602
1;191;417;476
1;192;365;422
1;65;281;391
1;66;296;410
1;452;459;589
1;453;433;561
1;73;339;381
1;74;922;987
1;1354;343;477
1;25;70;83
2;192;400;409
2;66;245;338
2;3;84;100
2;4;161;175
2;5;48;79
2;6;118;152
2;7;712;820
2;73;300;309
2;1354;354;498
2;409;589;887
2;452;442;594
2;194;602;616
2;399;122;177
2;146;827;930
2;453;416;567
2;21;672;889
2;22;698;931
2;23;487;692
2;24;397;568
2;25;52;70
2;26;107;329
2;27;358;514
2;28;380;530
2;29;547;651
2;30;534;640
2;31;587;757
2;416;650;861
2;161;762;919
2;164;760;914
2;65;230;319
2;193;694;713
2;48;603;810
2;49;628;769
2;50;471;521
2;51;469;516
2;52;541;659
2;53;492;593
2;54;557;675
2;415;637;852
2;189;340;481
2;190;433;612
2;191;454;463
3;192;317;328
3;4;78;94
3;5;72;123
3;6;128;195
3;7;733;850
3;194;518;535
3;73;383;396
3;1354;394;573
3;409;668;973
3;452;514;681
3;66;318;425
3;399;176;264
3;453;488;654
3;21;595;808
3;22;620;850
3;23;421;611
3;24;337;487
3;25;62;85
3;26;113;416
3;27;361;601
3;28;386;616
3;29;559;738
3;30;547;727
3;31;625;844
3;416;729;947
3;65;302;406
3;193;610;632
3;48;648;897
3;49;641;799
3;50;472;551
3;51;468;545
3;52;623;745
3;53;574;680
3;54;638;762
3;415;717;939
3;189;396;566
3;190;495;698
3;191;370;383
4;192;241;252
4;452;590;755
4;5;148;197
4;6;189;269
4;7;778;924
4;194;443;459
4;393;919;980
4;1354;456;647
4;23;384;538
4;66;380;499
4;399;231;338
4;408;802;967
4;453;564;728
4;21;540;732
4;22;560;774
4;407;789;927
4;24;313;415
4;25;125;160
4;26;149;392
4;27;361;590
4;28;387;605
4;29;561;812
4;30;550;801
4;31;649;918
4;161;754;993
4;164;755;988
4;65;363;480
4;193;535;556
4;48;678;971
4;49;682;819
4;50;506;625
4;51;500;620
4;52;692;820
4;53;644;754
4;54;708;836
4;73;459;470
4;189;466;641
4;190;568;772
4;191;295;306
5;6;74;77
5;7;678;745
5;8;836;979
5;194;580;639
5;399;170;242
5;146;872;995
5;21;633;816
5;22;662;857
5;23;443;618
5;24;352;494
5;409;627;952
5;26;142;394
5;27;397;579
5;28;421;595
5;29;590;716
5;30;577;705
5;31;634;822
5;416;687;926
5;161;802;984
5;164;801;979
5;193;671;736
5;175;830;988
5;48;650;875
5;49;591;694
5;50;429;446
5;51;427;440
5;52;576;724
5;53;527;658
5;54;592;740
5;415;675;917
5;189;326;448
5;190;424;580
5;191;432;486
5;192;380;432
5;65;275;384
5;66;289;403
5;452;443;567
5;453;416;539
5;73;326;374
5;74;910;978
5;1354;328;458
5;25;79;93
6;192;395;501
