stop_I;lat;lon;name
1;38.767825;-9.128712;AEROPORTO
2;38.768962;-9.127978;AEROPORTO
3;38.709134;-9.199986;AJUDA
4;38.709408;-9.199933;AJUDA
5;38.736944;-9.133994;AL. D. AFONSO HENRIQUES
6;38.73602;-9.134077;AL. D. AFONSO HENRIQUES
7;38.736101;-9.13387;AL. D. AFONSO HENRIQUES
8;38.737184;-9.133993;AL. D. AFONSO HENRIQUES
9;38.736947;-9.13372;AL. D. AFONSO HENRIQUES
10;38.737296;-9.133673;AL. D. AFONSO HENRIQUES
11;38.736924;-9.136349;ALAMEDA D. A. HENRIQUES
12;38.736753;-9.136329;Alameda D. Afonso Henriques
13;38.733098;-9.10554;ALAMEDA DO BEATO
14;38.732752;-9.105924;ALAMEDA DO BEATO
15;38.714636;-9.229225;ALAMEDA FERNÃO LOPES - ESTAÇÃO
16;38.715005;-9.229437;ALAMEDA FERNÃO LOPES - ESTAÇÃO
17;38.713587;-9.200493;ALAMEDA UNIVERSIDADE TÉCNICA
18;38.706573;-9.173485;ALCÂNTARA
19;38.706636;-9.173295;ALCÂNTARA
20;38.706277;-9.173385;ALCÂNTARA
21;38.705883;-9.17271;ALCÂNTARA
22;38.704145;-9.173823;ALCÂNTARA - AV. 24 DE JULHO
23;38.704304;-9.173951;ALCÂNTARA - AV. 24 DE JULHO
24;38.7081;-9.173737;ALCÂNTARA - AV. DE CEUTA
25;38.707255;-9.173535;ALCÂNTARA - AV. DE CEUTA
26;38.707245;-9.178934;ALCÂNTARA - CÇ. DA TAPADA
27;38.706582;-9.178837;ALCÂNTARA - CÇ. DA TAPADA
28;38.702944;-9.173419;ALCÂNTARA MAR
29;38.702867;-9.173238;ALCÂNTARA MAR
30;38.703507;-9.174716;ALCÂNTARA MAR
31;38.705178;-9.17432;ALCÂNTARA MAR
32;38.703;-9.171745;ALCÂNTARA MAR (Museu Oriente)
33;38.709969;-9.128189;ALFÂNDEGA
34;38.709577;-9.129029;ALFÂNDEGA
35;38.738112;-9.212832;ALFRAGIDE
36;38.737675;-9.208033;ALFRAGIDE - DGA
37;38.737705;-9.208344;ALFRAGIDE - DGA
38;38.738514;-9.213948;ALFRAGIDE - FAP
39;38.738705;-9.214247;ALFRAGIDE - FAP
40;38.736523;-9.216383;ALFRAGIDE - NATO
41;38.736649;-9.215855;ALFRAGIDE - NATO
42;38.737204;-9.216103;ALFRAGIDE - NATO
43;38.73946;-9.22151;ALFRAGIDE NORTE
44;38.73332;-9.217133;ALFRAGIDE SUL
45;38.732891;-9.216962;ALFRAGIDE SUL
46;38.698568;-9.227241;ALGÉS
47;38.69877;-9.227479;ALGÉS
48;38.698495;-9.227593;ALGÉS
49;38.6989;-9.227125;ALGÉS
50;38.699208;-9.226949;ALGÉS
51;38.699257;-9.231461;ALGÉS
52;38.6995;-9.227799;ALGÉS
53;38.699417;-9.232097;ALGÉS - JARDIM
54;38.699548;-9.2321;ALGÉS - JARDIM
55;38.701126;-9.22801;ALGÉS - MERCADO
56;38.701501;-9.227351;ALGÉS - MERCADO
57;38.699497;-9.228493;ALGÉS - PRAÇA DOM MANUEL I
58;38.699403;-9.228571;ALGÉS - PRAÇA DOM MANUEL I
59;38.769864;-9.148551;ALTA DE LISBOA - QTA CONCHAS
60;38.768801;-9.149068;ALTA DE LISBOA - QTA CONCHAS
61;38.697506;-9.196012;ALTINHO
62;38.697367;-9.194168;ALTINHO
63;38.743514;-9.217448;ALTO DA DAMAIA
64;38.767651;-9.168581;ALTO DA FAIA
65;38.768149;-9.168071;ALTO DA FAIA
66;38.765221;-9.171667;ALTO DA FAIA SUL
67;38.765242;-9.171807;ALTO DA FAIA SUL
68;38.702359;-9.187987;ALTO DE SANTO AMARO
69;38.705114;-9.187655;ALTO DE SANTO AMARO
70;38.704933;-9.187422;ALTO DE SANTO AMARO
71;38.787673;-9.163587;ALTO DO CHAPELEIRO
72;38.766451;-9.152747;ALTO DO LUMIAR - PARQUE EUROPA
73;38.736337;-9.212601;ALTO DO ZAMBUJAL
74;38.736464;-9.212763;ALTO DO ZAMBUJAL
75;38.721733;-9.197113;ALTO DOS MOíNHOS
76;38.72208;-9.196783;ALTO DOS MOíNHOS
77;38.749355;-9.180237;ALTO DOS MOÍNHOS METRO
78;38.749255;-9.180101;ALTO DOS MOÍNHOS METRO
79;38.737559;-9.127728;ALTO PINA
80;38.737505;-9.127452;ALTO PINA
81;38.781877;-9.158665;AMEIXOEIRA
82;38.782077;-9.158748;AMEIXOEIRA
83;38.778831;-9.163392;AMEIXOEIRA - ESTRADA DO DESVIO
84;38.724375;-9.160904;AMOREIRAS
85;38.724091;-9.160724;AMOREIRAS
86;38.723867;-9.16058;AMOREIRAS
87;38.723824;-9.160918;AMOREIRAS
88;38.722721;-9.161118;AMOREIRAS
89;38.723341;-9.159414;AMOREIRAS
90;38.723216;-9.160121;AMOREIRAS
91;38.723715;-9.160708;AMOREIRAS (C. COMERCIAL)
92;38.699184;-9.23749;AQUÁRIO VASCO DA GAMA
93;38.699268;-9.237516;AQUÁRIO VASCO DA GAMA
94;38.724206;-9.165266;ARCO CARVALHÃO
95;38.724023;-9.165377;ARCO CARVALHÃO
96;38.73511;-9.142426;ARCO CEGO
97;38.73489;-9.141472;ARCO CEGO
98;38.734584;-9.141578;ARCO CEGO
99;38.737695;-9.142834;ARCO CEGO
100;38.742141;-9.134454;AREEIRO
101;38.742369;-9.134479;AREEIRO
102;38.741348;-9.128178;AREEIRO - CASAL VISTOSO
103;38.741877;-9.131817;AREEIRO / AV. AFONSO COSTA
104;38.74229;-9.131905;AREEIRO / AV. AFONSO COSTA
105;38.741885;-9.131944;AREEIRO / AV. AFONSO COSTA
106;38.743412;-9.132416;AREEIRO/AV. ALM. GAGO COUTINHO
107;38.743292;-9.132833;AREEIRO/AV. ALM. GAGO COUTINHO
108;38.743294;-9.132502;AREEIRO/AV. ALM. GAGO COUTINHO
109;38.711006;-9.153505;ASSEMBLEIA DA REPÚBLICA
110;38.71118;-9.153709;ASSEMBLEIA DA REPÚBLICA
111;38.727703;-9.119648;AV. AFONSO III
112;38.727485;-9.119609;AV. AFONSO III
113;38.7496;-9.13075;AV. ALM. GAGO COUTINHO
114;38.747994;-9.131192;AV. ALM. GAGO COUTINHO
115;38.755087;-9.130205;AV. ALM. GAGO COUTINHO
116;38.753794;-9.130617;AV. ALM. GAGO COUTINHO
117;38.745194;-9.131549;AV. ALM. GAGO COUTINHO
118;38.745694;-9.131128;AV. ALM. GAGO COUTINHO
119;38.728781;-9.134784;AV. ALM. REIS/MARQUES DA SILVA
120;38.726012;-9.134327;AV. ALM. REIS/RUA DE ANGOLA
121;38.726423;-9.135573;AV. ALM. REIS/RUA DE ANGOLA
122;38.725575;-9.134932;AV. ALM. REIS/RUA DE ANGOLA
123;38.725579;-9.135092;AV. ALM. REIS/RUA DE ANGOLA
124;38.738366;-9.217766;AV. ALMEIDA GARRET
