from_stop_I;to_stop_I;d;duration_avg;n_vehicles;route_I_counts
7867;4314;2956;222.10526315789474;57;971:34,956:23
7867;7908;768;104.66666666666667;135;953:29,961:37,974:57,959:12
7867;4325;2829;180.0;68;962:56,967:12
7885;7853;3286;180.0;34;971:34
7897;7857;3109;180.0;91;962:56,956:23,967:12
7897;7916;814;120.0;98;953:29,974:57,959:12
7898;7860;4388;224.55882352941177;68;968:23,969:32,963:1,967:12
7898;7909;2519;179.53846153846155;65;960:21,970:32,959:12
7853;7883;2071;155.52;125;962:56,971:34,956:23,967:12
7853;7885;3286;180.0;37;961:37
7853;7903;2899;192.55102040816325;98;953:29,974:57,959:12
7854;4314;2831;300.0;33;969:32,963:1
7855;7856;4865;270.0;33;957:33
7855;7866;2160;150.0;69;952:33,954:36
7855;7870;2564;240.0;33;973:33
7855;7911;1696;120.0;69;964:33,958:36
7856;7890;7835;450.0;33;957:33
7856;7866;2816;180.0;69;964:33,958:36
7856;7877;1952;120.0;69;952:33,954:36
7856;7855;4865;270.0;33;973:33
7857;7897;3109;210.0;98;953:29,974:57,959:12
7857;7884;1181;90.0;91;962:56,956:23,967:12
7858;7860;4169;180.0;53;960:21,970:32
7859;7886;3182;150.0;35;955:2,966:33
7859;7863;1996;90.0;35;972:1,965:34
7860;7898;4388;205.84615384615384;65;960:21,970:32,959:12
7860;7858;4169;180.0;56;968:23,969:32,963:1
7902;7908;850;90.0;125;962:56,971:34,956:23,967:12
7902;7861;2137;120.0;135;953:29,961:37,974:57,959:12
7863;7881;766;90.0;35;972:1,965:34
7863;7859;1996;120.0;35;955:2,966:33
7864;7865;1322;120.0;35;955:2,966:33
7865;7864;1322;120.0;35;972:1,965:34
7865;7881;1090;90.0;35;955:2,966:33
7866;7856;2816;180.0;69;952:33,954:36
7866;7855;2160;150.0;69;964:33,958:36
4319;4316;2664;180.0;74;553:23,555:51
4319;4318;2656;239.1891891891892;74;554:23,556:51
7868;7906;1368;129.23076923076923;65;960:21,970:32,959:12
7868;7909;3932;225.0;68;968:23,969:32,963:1,967:12
7869;7882;925;90.0;32;970:32
7869;7891;2391;158.46774193548387;124;968:23,969:32,962:56,963:1,967:12
7869;4324;2725;234.7826086956522;69;974:57,959:12
7869;7907;4056;360.0;21;960:21
7870;7855;2564;210.0;33;957:33
7870;7911;887;120.0;69;952:33,954:36
7861;7901;1734;120.0;135;953:29,961:37,974:57,959:12
7861;7902;2137;125.52;125;962:56,971:34,956:23,967:12
7872;7890;1596;150.0;69;973:33,958:36
7872;7894;1671;134.34782608695653;69;954:36,957:33
7874;7888;1046;90.0;69;973:33,958:36
7876;7892;1408;120.0;69;952:33,954:36
7876;7877;1944;135.65217391304347;69;964:33,958:36
7877;7856;1952;134.34782608695653;69;964:33,958:36
7877;7876;1944;150.0;69;952:33,954:36
4321;4322;8373;422.60869565217394;23;554:23
4321;4315;4923;300.0;23;553:23
7880;7912;1127;120.0;69;973:33,958:36
7880;7888;682;74.34782608695652;69;954:36,957:33
7881;7865;1090;90.0;35;972:1,965:34
7881;7863;766;90.0;35;955:2,966:33
7882;4324;2368;150.0;32;970:32
7882;7869;925;90.0;33;969:32,963:1
7883;7853;2071;152.66666666666666;135;953:29,961:37,974:57,959:12
7883;7887;1607;120.0;125;962:56,971:34,956:23,967:12
7884;7857;1181;90.0;98;953:29,974:57,959:12
7884;7903;1065;90.0;91;962:56,956:23,967:12
7906;7889;1977;140.30769230769232;65;960:21,970:32,959:12
7906;7868;1368;160.58823529411765;68;968:23,969:32,963:1,967:12
7886;7859;3182;150.0;35;972:1,965:34
7886;7895;3353;180.0;35;955:2,966:33
7887;7883;1607;120.0;135;953:29,961:37,974:57,959:12
7887;7901;917;90.0;125;962:56,971:34,956:23,967:12
7888;7880;682;90.0;69;973:33,958:36
7888;7874;1046;120.0;69;954:36,957:33
7889;7906;1977;144.7058823529412;68;968:23,969:32,963:1,967:12
7889;7891;1118;130.6153846153846;65;960:21,970:32,959:12
7890;7872;1596;120.0;69;954:36,957:33
7890;7856;7835;420.0;33;973:33
7890;7910;632;74.34782608695652;69;964:33,958:36
7909;7898;2519;183.97058823529412;68;968:23,969:32,963:1,967:12
7909;7868;3932;215.07692307692307;65;960:21,970:32,959:12
7892;7876;1408;104.34782608695652;69;964:33,958:36
7892;7910;2175;180.0;69;952:33,954:36
7894;7872;1671;120.0;69;973:33,958:36
7894;7913;1484;105.65217391304348;69;954:36,957:33
7895;4322;3620;180.0;35;955:2,966:33
7895;7886;3353;150.0;35;972:1,965:34
4324;7882;2368;210.0;33;969:32,963:1
4324;4317;1391;102.68571428571428;175;554:23,556:51,970:32,974:57,959:12
4324;7869;2725;240.0;68;962:56,967:12
4314;7905;3124;257.89473684210526;57;971:34,956:23
4314;4323;7422;480.0;74;554:23,556:51
4314;4325;839;120.0;107;553:23,555:51,963:1,969:32
4314;7867;2956;270.0;66;953:29,961:37
4314;7854;2831;420.0;32;970:32
4315;4321;4923;240.0;23;554:23
4315;4318;5189;300.0;73;553:23,555:50
4316;4323;4156;300.0;74;553:23,555:51
4316;4319;2664;180.0;74;554:23,556:51
