from_stop_I;to_stop_I;d;duration_avg;n_vehicles;route_I_counts
4256;4277;1328;120.0;160;543:160
4257;4264;593;54.0;200;541:200
4257;4265;458;38.0;200;540:200
4257;4300;1017;90.0;160;543:160
4257;4287;1014;80.0;160;542:160
4258;4292;690;72.0;174;537:174
4258;4261;1179;113.0;160;538:160
4259;4281;674;71.0;174;537:174
4259;4276;949;86.0;160;538:160
4260;4298;626;57.0;200;540:200
4260;4271;1420;190.0;200;541:200
4261;4296;887;84.0;160;538:160
4261;4258;1179;111.0;174;537:174
4262;4282;695;60.0;189;536:189
4262;4303;1272;155.0;189;535:189
4263;4265;649;60.0;200;541:200
4263;4279;420;33.0;200;540:200
4264;4257;593;54.0;200;540:200
4264;4298;936;109.0;200;541:200
4265;4257;458;38.0;200;541:200
4265;4263;649;60.0;200;540:200
4266;4297;432;46.0;174;537:174
4266;4283;832;66.0;160;538:160
4267;4305;728;79.0;174;537:174
4267;4299;445;45.0;200;541:200
4267;4270;703;82.0;200;540:200
4267;4297;661;65.0;160;538:160
4268;4274;857;78.0;160;542:160
4268;4287;942;83.0;160;543:160
4269;4288;624;71.0;160;543:160
4269;4289;723;79.0;160;542:160
4270;4267;703;82.0;200;541:200
4271;4304;712;73.0;200;541:200
4271;4275;976;116.68161434977578;223;536:189,544:34
4271;4260;1420;190.0;200;540:200
4271;4294;837;83.0;189;535:189
4272;4300;675;55.45739910313901;223;536:189,544:34
4272;4278;701;56.01793721973094;223;539:34,535:189
4273;4292;511;74.0;160;538:160
4273;4276;640;81.0;174;537:174
4274;4288;704;67.0;160;542:160
4274;4268;857;78.0;160;543:160
4275;4278;1070;111.46188340807174;223;536:189,544:34
4275;4271;976;116.68161434977578;223;539:34,535:189
4276;4273;640;90.0;160;538:160
4276;4259;949;84.0;174;537:174
4277;4256;1328;120.0;160;542:160
4277;4285;1070;100.0;160;543:160
4278;4272;701;56.01793721973094;223;536:189,544:34
4278;4275;1070;111.46188340807174;223;539:34,535:189
4279;4284;629;58.0;200;540:200
4279;4263;420;33.0;200;541:200
4280;4281;888;83.0;160;538:160
4280;4293;873;84.0;174;537:174
4281;4280;888;86.0;174;537:174
4281;4259;674;71.0;160;538:160
4282;4294;730;63.0;189;536:189
4282;4262;695;60.0;189;535:189
4283;4266;832;65.0;174;537:174
4283;4291;531;39.54260089686099;223;539:34,535:189
4283;4290;359;57.0;160;538:160
4283;4295;790;67.71300448430493;223;536:189,544:34
4284;4299;442;42.0;200;540:200
4284;4279;629;58.0;200;541:200
4285;4289;840;90.0;160;543:160
4285;4277;1070;100.0;160;542:160
4286;4303;865;89.0;189;536:189
4287;4257;1014;80.0;160;543:160
4287;4268;942;83.0;160;542:160
4288;4274;704;70.0;160;543:160
4288;4269;624;65.0;160;542:160
4289;4285;840;90.0;160;542:160
4289;4269;723;81.0;160;543:160
4290;4283;359;55.0;174;537:174
4290;4302;620;61.0;160;538:160
4291;4283;531;39.54260089686099;223;536:189,544:34
4291;4300;533;39.10313901345292;223;539:34,535:189
4292;4273;511;74.0;174;537:174
4292;4258;690;69.0;160;538:160
4293;4280;873;85.0;160;538:160
4293;4302;644;70.0;174;537:174
4294;4282;730;63.0;189;535:189
4294;4271;837;83.0;189;536:189
4295;4283;790;67.71300448430493;223;539:34,535:189
4296;4261;887;84.0;174;537:174
4297;4266;432;46.0;160;538:160
4297;4267;661;64.0;174;537:174
4298;4264;936;109.0;200;540:200
4298;4260;626;57.0;200;541:200
4299;4267;445;45.0;200;540:200
4299;4284;442;42.0;200;541:200
4300;4272;675;55.45739910313901;223;539:34,535:189
4300;4257;1017;90.0;160;542:160
4300;4291;533;39.10313901345292;223;536:189,544:34
4300;4302;732;70.0;160;543:160
4301;4305;1184;130.0;160;538:160
4302;4290;620;61.0;174;537:174
4302;4300;732;89.0;160;542:160
4302;4293;644;74.0;160;538:160
4303;4262;1272;155.0;189;536:189
4303;4286;865;89.0;189;535:189
4304;4271;712;73.0;200;540:200
4305;4267;728;81.0;160;538:160
4305;4301;1184;130.0;174;537:174
