from_stop_I;to_stop_I;d;duration_avg;n_vehicles;route_I_counts
2048;2040;270;60.0;46;113:46
2048;123;727;285.6521739130435;46;113:46
2050;712;863;60.0;18;135:18
2050;2041;547;60.0;110;105:20,193:18,46:54,135:18
2050;2044;626;60.0;93;105:20,46:53,193:20
3;36;453;0.0;18;186:18
3;709;1090;120.0;19;186:19
4;522;1410;166.66666666666666;45;64:9,138:16,139:19,230:1
4;2186;1638;180.0;10;64:10
4;853;1442;120.0;13;137:11,230:2
4;2439;792;60.0;38;138:14,139:21,230:3
2053;93;896;60.0;34;148:34
2054;2024;258;60.0;93;13:41,14:52
2054;1990;315;70.2127659574468;94;13:42,14:52
2055;2057;482;60.0;47;146:47
2055;802;1155;180.0;48;146:48
2056;2087;270;60.0;96;19:44,188:52
2056;1399;206;60.0;92;19:41,188:51
2057;2055;482;60.0;48;146:48
2057;263;1159;60.0;47;146:47
2058;2089;194;60.0;94;13:42,14:52
2058;1990;181;60.0;93;13:41,14:52
11;1160;433;60.0;41;145:41
11;444;226;60.0;41;145:41
2060;1993;314;60.0;16;190:16
2061;2083;385;120.0;67;152:67
2061;2023;272;48.75;64;152:64
2062;2059;357;120.0;8;190:8
2062;2030;286;60.0;96;19:44,188:52
2062;2087;296;60.0;92;19:41,188:51
2063;1984;306;60.0;176;148:34,146:48,52:34,302:39,263:21
2063;1402;779;282.85714285714283;70;251:13,197:20,318:37
2063;2030;402;60.0;7;190:7
2063;2014;341;50.23809523809524;252;318:36,146:47,302:37,148:34,197:19,263:22,52:35,251:14,190:8
2064;1979;474;0.0;57;50:7,142:32,135:18
2064;1981;488;60.0;57;50:7,142:32,135:18
2349;2347;478;60.0;45;91:45
2051;2042;220;60.0;32;225:32
2051;2038;246;60.0;35;225:35
21;19;603;60.0;37;302:37
2070;1000;6267;360.0;2;240:2
2070;2077;335;60.0;24;203:24
2070;2071;269;60.0;20;203:20
2071;891;826;120.0;20;203:20
2071;2070;269;60.0;24;203:24
2073;314;1671;120.0;24;203:24
2073;2077;303;60.0;20;203:20
2077;2073;303;60.0;24;203:24
2077;2070;335;60.0;20;203:20
30;588;257;46.56716417910448;67;152:67
30;594;295;49.787234042553195;94;13:42,14:52
30;596;532;108.75;64;155:64
