from_stop_I;to_stop_I;d;duration_avg;n_vehicles;route_I_counts;route_type
3;36;453;0.0;18;186:18;3
3;709;1090;120.0;19;186:19;3
4;522;1410;166.66666666666666;45;64:9,138:16,139:19,230:1;3
4;2439;792;60.0;38;138:14,139:21,230:3;3
4;2186;1638;180.0;10;64:10;3
4;853;1442;120.0;13;137:11,230:2;3
11;1160;433;60.0;41;145:41;3
11;444;226;60.0;41;145:41;3
19;21;603;60.0;38;302:38;3
19;23;228;60.0;37;302:37;3
21;19;603;60.0;37;302:37;3
23;19;228;60.0;38;302:38;3
23;2415;1961;180.0;37;302:37;3
25;2145;1432;120.0;25;211:25;3
25;685;1131;120.0;25;211:25;3
29;32;429;60.0;14;251:14;3
29;1516;344;60.0;12;251:12;3
30;596;532;108.75;64;155:64;3
30;594;295;49.787234042553195;94;13:42,14:52;3
30;588;257;46.56716417910448;67;152:67;3
30;1438;332;120.0;369;19:44,190:12,152:64,155:66,188:51,13:42,14:52,95:38;3
31;601;275;60.0;94;154:45,23:49;3
31;1350;493;169.14893617021278;94;154:47,23:47;3
32;34;181;60.0;25;211:25;3
32;131;2168;240.0;25;211:25;3
32;29;429;60.0;12;251:12;3
32;134;2032;240.0;14;251:14;3
33;1033;767;98.06896551724138;145;182:92,46:53;3
33;599;432;116.8141592920354;113;115:84,174:29;3
33;581;442;72.09677419354838;248;115:85,182:92,46:54,111:17;3
33;1350;1497;220.17857142857142;112;193:19,35:9,135:18,105:20,186:19,174:27;3
33;1055;1953;250.58823529411765;102;193:20,35:9,135:18,105:20,186:18,111:17;3
34;32;181;60.0;25;211:25;3
34;891;723;60.0;25;211:25;3
35;585;477;120.0;47;23:47;3
35;580;283;60.0;49;23:49;3
36;3;453;60.0;19;186:19;3
36;37;294;60.0;18;186:18;3
37;2298;2364;240.0;18;186:18;3
37;36;294;60.0;19;186:19;3
43;84;1350;120.0;96;81:32,93:5,269:59;3
45;113;788;120.0;38;171:1,77:37;2
45;67;1257;121.53846153846153;39;217:1,243:1,77:37;2
46;603;318;108.75;64;152:64;3
46;61;275;60.0;67;152:67;3
47;2313;473;68.76623376623377;308;128:55,81:32,194:32,91:45,85:14,70:7,27:36,86:36,93:5,79:46;3
47;50;490;120.0;189;81:32,194:32,86:36,27:37,93:5,79:47;3
47;83;487;237.77777777777777;54;128:54;3
47;68;215;61.77777777777778;135;17:52,91:45,29:16,70:7,85:15;3
47;233;213;82.22222222222223;81;17:51,29:30;3
48;1393;579;236.50485436893203;206;17:52,113:46,181:58,7:50;3
48;1402;514;208.69565217391303;23;29:16,70:7;3
48;58;286;60.0;153;113:46,181:56,7:51;3
48;47;631;107.36842105263158;133;17:51,91:45,29:30,70:7;3
49;1888;4517;180.0;38;191:19,183:19;2
49;1393;1101;129.1304347826087;46;120:6,130:19,229:20,317:1;2
49;2406;341;86.21848739495799;119;94:119;3
49;2262;9342;360.0;12;264:1,305:10,90:1;2
49;2313;371;195.609756097561;123;94:123;3
50;83;604;168.13186813186815;91;100:91;3
50;588;677;70.15873015873017;189;81:32,194:32,86:36,27:37,93:5,79:47;3
50;1350;1250;120.0;4;319:4;3
50;1438;1073;300.0;91;100:91;3
50;47;490;130.2673796791444;187;81:32,194:32,86:36,27:36,93:5,79:46;3
53;2234;1057;120.0;8;97:8;3
54;1242;2569;180.0;20;228:20;3
54;1613;948;60.0;21;228:21;3
55;1682;1810;120.0;35;184:19,106:13,279:3;3
55;434;1958;120.0;35;184:15,106:16,279:4;3
56;1216;3212;240.0;21;228:21;3
56;1332;1537;60.0;20;228:20;3
57;67;519;60.0;98;81:32,93:5,269:61;3
57;60;321;60.0;96;81:32,93:5,269:59;3
57;101;228;60.0;2;310:2;3
57;119;652;60.0;3;310:3;3
58;48;286;56.103896103896105;154;113:46,181:58,7:50;3
58;71;335;112.54901960784314;153;113:46,181:56,7:51;3
59;429;220;0.0;13;84:13;3
59;86;411;60.0;14;84:14;3
60;57;321;54.48979591836735;98;81:32,93:5,269:61;3
60;119;331;31.875;96;81:32,93:5,269:59;3
61;69;183;0.0;67;152:67;3
61;46;275;60.0;64;152:64;3
62;83;353;55.490196078431374;306;128:55,113:46,152:64,100:91,7:50;3
62;76;208;60.0;89;113:41,7:48;3
62;325;275;120.0;47;154:47;3
62;341;475;120.0;67;152:67;3
63;118;158;60.0;14;84:14;3
63;86;345;60.0;13;84:13;3
64;113;244;33.75;48;272:35,84:13;3
64;463;671;60.0;48;272:34,84:14;3
66;1572;865;60.0;159;81:32,268:60,93:5,310:3,269:59;3
66;119;361;60.0;161;81:32,268:61,93:5,310:2,269:61;3
67;57;519;60.0;96;81:32,93:5,269:59;3
67;84;251;37.3469387755102;98;81:32,93:5,269:61;3
67;45;1257;120.0;38;171:1,77:37;2
68;48;499;61.6;75;17:52,29:16,70:7;3
68;1402;1009;357.14285714285717;63;91:45,85:15,310:3;3
68;58;222;24.155844155844157;154;113:46,181:58,7:50;3
69;73;223;60.0;67;152:67;3
71;83;423;108.24742268041237;97;113:46,7:51;3
71;341;1219;173.57142857142858;56;181:56;3
73;83;386;120.0;67;152:67;3
73;61;353;120.0;64;152:64;3
76;78;50;60.0;83;113:41,7:42;3
78;62;158;54.41860465116279;86;113:41,7:45;3
81;82;675;60.0;68;26:15,186:18,6:35;3
81;383;1086;120.0;33;26:14,186:19;3
81;2495;2505;288.0;35;6:35;3
82;81;675;60.0;68;26:14,186:19,6:35;3
82;900;1185;60.0;68;26:15,186:18,6:35;3
83;73;386;120.0;64;152:64;3
83;50;604;120.0;91;100:91;3
83;68;531;113.75;96;113:46,7:50;3
83;62;353;45.63106796116505;309;128:54,113:46,152:67,100:91,7:51;3
83;47;487;120.0;55;128:55;3
84;43;1350;120.0;98;81:32,93:5,269:61;3
84;67;251;60.0;96;81:32,93:5,269:59;3
86;59;411;60.0;13;84:13;3
86;63;345;60.0;14;84:14;3
87;2216;249;60.0;14;28:14;3
87;2217;363;60.0;14;28:14;3
91;118;138;9.397590361445783;83;272:35,84:13,6:35;3
91;103;460;60.0;83;272:34,84:14,6:35;3
93;2053;896;180.0;34;148:34;3
93;94;631;60.0;34;148:34;3
94;93;631;60.0;34;148:34;3
94;1495;1155;180.0;34;148:34;3
97;99;197;60.0;12;208:12;3
98;100;414;0.0;25;297:16,292:9;3
99;97;197;60.0;10;208:10;3
99;174;3156;240.0;12;208:12;3
100;2337;389;60.0;35;6:35;3
100;98;414;0.0;26;297:15,292:11;3
100;1566;163;60.0;25;297:16,292:9;3
100;113;672;108.0;35;6:35;3
101;104;409;60.0;72;272:35,310:2,6:35;3
101;57;228;60.0;3;310:3;3
101;116;301;60.0;69;272:34,6:35;3
102;1572;767;120.0;47;79:47;3
102;2461;434;60.0;107;268:61,79:46;3
102;111;504;53.0;60;268:60;3
103;113;413;60.0;83;272:34,84:14,6:35;3
103;91;460;60.0;83;272:35,84:13,6:35;3
104;2464;709;60.0;2;310:2;3
104;2466;294;60.0;70;272:35,6:35;3
104;101;409;2.5;72;272:34,310:3,6:35;3
107;316;1386;180.0;19;283:1,53:7,206:11;3
107;2548;2422;240.0;7;53:7;3
107;109;451;60.0;14;283:1,206:13;3
109;2208;1598;180.0;14;283:1,206:13;3
109;107;451;60.0;12;283:1,206:11;3
111;102;504;60.0;61;268:61;3
111;119;310;113.0;60;268:60;3
113;64;244;42.5;48;272:34,84:14;3
113;103;413;60.0;83;272:35,84:13,6:35;3
113;100;672;108.0;35;6:35;3
113;45;788;61.53846153846154;39;217:1,243:1,77:37;2
113;463;911;120.0;38;171:1,77:37;2
116;101;301;0.0;70;272:35,6:35;3
116;118;387;60.0;69;272:34,6:35;3
118;91;138;10.120481927710843;83;272:34,84:14,6:35;3
118;116;387;60.0;70;272:35,6:35;3
118;63;158;60.0;13;84:13;3
119;57;652;60.0;2;310:2;3
119;66;361;60.0;159;81:32,268:60,93:5,310:3,269:59;3
119;60;331;37.3469387755102;98;81:32,93:5,269:61;3
119;111;310;51.14754098360656;61;268:61;3
120;121;268;0.0;46;113:46;3
120;124;380;60.0;46;113:46;3
121;2040;280;60.0;92;113:92;3
121;120;268;58.69565217391305;46;113:46;3
122;786;332;60.0;46;113:46;3
122;124;343;120.0;46;113:46;3
123;121;374;67.82608695652173;46;113:46;3
124;120;380;60.0;46;113:46;3
124;122;343;60.0;46;113:46;3
129;164;451;89.55223880597015;67;218:34,318:33;3
129;2303;1110;91.34328358208955;67;218:32,318:35;3
130;1120;243;84.0;75;210:30,211:25,252:2,218:16,318:2;3
130;131;316;10.985915492957746;71;210:33,211:25,252:2,251:11;3
131;1000;8494;660.0;33;210:33;3
131;32;2168;240.0;36;211:25,251:11;3
131;130;316;33.68421052631579;57;210:30,211:25,252:2;3
131;2091;16957;1560.0;2;252:2;3
132;155;333;118.23529411764706;34;252:1,318:33;3
134;1000;8329;660.0;25;242:20,236:5;3
134;130;459;120.0;14;251:14;3
134;164;1058;240.0;1;242:1;3
134;2462;1431;120.0;24;240:1,242:17,236:6;3
134;2070;2085;300.0;2;240:2;3
144;155;241;60.0;35;252:2,318:33;3
144;164;849;98.87323943661971;71;32:14,203:23,252:1,318:33;3
144;159;629;32.903225806451616;31;32:14,203:17;3
147;1542;500;60.0;20;197:20;3
147;734;3702;300.0;19;197:19;3
154;157;360;60.0;154;146:47,251:14,52:35,318:36,263:22;3
154;1542;417;60.0;153;146:48,251:13,52:34,318:37,263:21;3
155;144;241;60.0;34;252:1,318:33;3
155;132;333;123.42857142857143;35;252:2,318:33;3
157;1904;2114;180.0;47;146:47;3
157;154;360;60.0;153;146:48,251:13,52:34,318:37,263:21;3
157;186;2097;132.33644859813083;107;251:14,52:35,318:36,263:22;3
159;144;629;60.0;37;32:14,203:23;3
159;302;1186;120.0;31;32:14,203:17;3
163;1769;1985;120.0;57;320:14,266:9,330:34;3
163;1126;986;120.0;10;266:10;3
163;641;1718;120.0;32;330:32;3
164;1120;475;60.0;78;210:33,211:25,252:2,218:18;3
164;129;451;91.34328358208955;67;218:32,318:35;3
