from_stop_I;to_stop_I;d;duration_avg;n_vehicles;route_I_counts
1601;1616;306;61.5;40;172:34,68:5,311:1
1601;1618;932;61.53846153846154;39;172:34,68:4,311:1
1730;2529;3602;180.0;40;104:19,220:1,12:1,158:19
1730;1066;10221;420.0;21;200:2,49:19
1730;1393;16928;840.0;17;185:9,47:8
67;45;1257;120.0;38;171:1,77:37
2180;698;4829;247.5;32;8:11,101:9,159:12
2180;703;3074;238.28571428571428;35;8:10,96:11,51:1,224:13
2097;1375;2252;180.0;39;217:1,243:1,77:37
1888;49;4517;240.0;39;130:19,229:20
1888;2262;4847;240.0;38;191:19,183:19
200;778;793;110.0;6;122:1,119:5
200;2316;2814;240.0;6;119:6
2220;1393;6456;513.8028169014085;71;248:2,244:24,311:1,119:2,200:2,171:1,77:37,312:2
2220;268;3696;240.8695652173913;69;312:4,243:1,244:24,311:1,248:1,217:1,77:37
778;200;793;120.0;6;119:6
778;1173;1977;180.0;6;122:1,119:5
268;1592;2888;181.53846153846155;39;172:34,68:4,311:1
268;1393;9635;713.5714285714286;56;116:7,170:3,315:8,68:5,69:33
268;2220;3696;204.50704225352112;71;248:2,244:24,311:1,119:2,200:2,171:1,77:37,312:2
268;2316;3848;240.0;69;312:4,243:1,244:24,248:1,217:1,122:1,77:37
45;113;788;120.0;38;171:1,77:37
45;67;1257;121.53846153846153;39;217:1,243:1,77:37
590;2267;2569;300.0;33;202:33
719;360;2240;128.88888888888889;27;8:7,96:8,51:1,200:1,224:10
719;703;1064;65.0;24;8:9,101:6,159:9
1616;1592;1078;115.5;40;172:34,68:5,311:1
1616;1601;306;60.0;39;172:34,68:4,311:1
2200;1640;3257;185.2173913043478;23;129:20,147:2,285:1
2200;1393;10312;1200.0;2;322:1,150:1
2200;1770;4632;240.0;25;129:20,147:4,166:1
2200;1195;5658;420.0;19;150:19
1426;2267;2244;180.0;68;312:4,243:1,244:24,248:1,217:1,77:37
1426;2316;2931;238.23529411764707;68;248:2,244:24,200:2,171:1,77:37,312:2
1290;1770;4181;240.0;23;129:20,147:2,285:1
724;1393;2580;300.0;22;129:20,147:2
724;1195;3428;242.4;25;129:20,147:4,166:1
1173;778;1977;120.0;6;119:6
463;113;911;65.5813953488372;43;312:4,217:1,243:1,77:37
463;2267;2876;265.45454545454544;66;200:2,312:2,171:1,244:24,77:37
407;1618;1727;180.0;39;172:34,68:4,311:1
1944;805;3123;180.0;39;130:19,229:20
1944;2262;5469;240.0;7;120:6,317:1
1944;1375;3282;180.0;50;264:1,305:10,90:1,191:19,183:19
49;1888;4517;180.0;38;191:19,183:19
49;1393;1101;129.1304347826087;46;120:6,130:19,229:20,317:1
49;2262;9342;360.0;12;264:1,305:10,90:1
2267;1426;2244;180.0;68;248:2,244:24,200:2,171:1,77:37,312:2
2267;590;2569;300.0;33;202:33
2267;463;2876;240.0;67;312:4,217:1,243:1,244:24,77:37
1375;1944;3282;121.30434782608695;46;120:6,130:19,229:20,317:1
1375;1393;19106;840.0;1;120:1
1375;2097;2252;180.0;38;171:1,77:37
2262;1888;4847;240.0;39;130:19,229:20
2262;49;9342;411.42857142857144;7;120:6,317:1
2262;1944;5469;240.0;12;264:1,305:10,90:1
2262;805;2616;180.0;38;191:19,183:19
2529;1730;3602;240.0;41;104:19,12:3,158:19
2529;2540;2788;180.0;40;104:19,220:1,12:1,158:19
805;1944;3123;180.0;38;191:19,183:19
805;2262;2616;180.0;39;130:19,229:20
113;45;788;61.53846153846154;39;217:1,243:1,77:37
113;463;911;120.0;38;171:1,77:37
360;1393;5509;323.3333333333333;36;8:10,96:11,51:1,200:1,224:13
360;703;3177;232.5;8;8:2,101:3,159:3
360;719;2240;173.07692307692307;26;8:9,173:2,101:6,159:9
1640;2200;3257;223.44827586206895;29;129:20,147:4,166:1,150:4
1640;1393;9007;1080.0;1;285:1
1640;1195;3817;300.0;22;129:20,147:2
1066;953;3151;237.0;60;104:19,49:19,12:1,200:2,158:19
1066;1730;10221;480.0;18;49:16,173:2
1066;2351;1502;120.0;41;104:19,12:3,158:19
1195;1640;3817;283.44827586206895;29;129:20,147:4,166:1,150:4
1195;1393;5193;536.8421052631579;19;150:19
1195;2200;5658;360.0;14;150:14
1195;724;3428;240.0;22;129:20,147:2
2540;2529;2788;180.0;41;104:19,12:3,158:19
2540;2351;2593;178.46153846153845;39;104:19,12:1,158:19
2540;953;7232;360.0;1;220:1
1618;1601;932;61.5;40;172:34,68:5,311:1
1618;407;1727;180.0;39;172:34,68:4,311:1
2351;1066;1502;120.0;39;104:19,12:1,158:19
2351;2540;2593;124.39024390243902;41;104:19,12:3,158:19
1393;49;1101;122.4;50;264:1,305:10,90:1,191:19,183:19
1393;1730;16928;840.0;15;185:7,276:8
1393;724;2580;240.0;25;129:20,147:4,166:1
1393;953;3650;323.2258064516129;62;49:16,104:19,185:3,12:3,173:2,158:19
1393;360;5509;300.0;35;8:11,173:3,101:9,159:12
1393;268;9635;655.7894736842105;57;304:6,273:37,68:4,196:3,25:5,59:2
1393;2200;10312;720.0;1;150:1
1393;1195;5193;476.6666666666667;18;150:18
1393;2220;6456;480.0;69;312:4,243:1,244:24,311:1,248:1,217:1,77:37
2316;200;2814;180.0;6;122:1,119:5
2316;1426;2931;180.0;68;312:4,243:1,244:24,248:1,217:1,77:37
2316;268;3848;240.0;70;248:2,244:24,119:2,200:2,171:1,77:37,312:2
1592;1616;1078;118.46153846153847;39;172:34,68:4,311:1
1592;268;2888;243.0;40;172:34,68:5,311:1
953;1393;3650;359.0163934426229;61;49:19,104:19,220:1,12:1,200:2,158:19
953;1066;3151;180.0;59;104:19,49:16,12:3,173:2,158:19
953;1730;13340;480.0;3;185:3
698;2180;4829;185.14285714285714;35;8:10,96:11,51:1,224:13
698;719;8687;420.0;1;200:1
1770;2200;4632;295.2;25;129:20,147:2,285:1,150:2
1770;1290;4181;187.2;25;129:20,147:4,166:1
703;360;3177;186.66666666666666;9;8:3,96:3,224:3
703;2180;3074;219.375;32;8:11,101:9,159:12
703;719;1064;115.38461538461539;26;8:7,96:8,51:1,224:10
