from_stop_I;to_stop_I;d;d_walk
3;36;454;464
3;37;742;804
4;2439;793;809
11;1160;434;455
11;1168;831;861
11;450;278;294
11;444;227;247
19;21;604;607
19;23;229;385
21;23;800;993
29;32;430;442
29;34;474;618
29;1516;345;356
30;256;798;829
30;576;707;969
30;1430;680;809
30;1350;340;538
30;1351;761;876
30;585;929;1000
30;588;258;358
30;1358;751;952
30;1359;698;895
30;336;648;801
30;1361;228;257
30;594;296;329
30;596;533;588
30;597;384;487
30;598;573;612
30;601;677;929
30;603;491;571
30;1437;795;932
30;1438;333;363
30;31;505;809
30;1435;835;998
30;1444;418;491
30;1895;659;846
30;1415;487;636
30;46;721;912
30;1397;539;764
30;1334;542;651
30;1336;796;910
30;1338;614;810
30;1339;791;962
30;1468;368;512
30;61;729;845
31;256;771;950
31;576;209;406
31;1444;770;953
31;1415;715;811
31;581;566;681
31;1350;494;573
31;1895;215;374
31;585;672;836
31;331;573;978
31;336;430;616
31;1361;640;894
31;594;493;960
31;1939;460;687
31;1940;633;941
31;1438;722;915
31;598;594;812
31;601;276;285
31;596;386;631
31;602;570;579
31;1468;260;332
32;34;182;182
32;891;905;948
32;1516;773;799
33;576;808;836
33;578;505;678
33;580;532;757
33;581;443;457
33;1352;399;617
33;1033;768;785
33;599;433;489
33;1058;775;897
33;1965;521;895
33;585;707;939
33;601;782;978
33;602;574;813
33;604;312;383
34;891;724;767
34;1516;811;974
35;256;785;849
35;578;550;744
35;580;284;363
35;581;638;866
35;585;478;555
35;586;694;888
35;587;335;401
35;589;575;599
35;339;739;977
35;596;867;944
35;329;246;355
35;601;793;811
35;602;498;515
35;604;505;749
35;255;655;999
36;37;295;340
43;720;702;869
45;113;789;932
45;59;306;439
45;118;592;675
45;86;224;290
45;103;547;985
45;91;536;761
45;429;526;663
45;63;517;583
46;256;485;632
46;588;533;714
46;68;693;988
46;325;715;847
46;71;538;693
46;73;489;625
46;586;638;772
46;332;301;346
46;589;695;788
46;50;493;623
46;83;576;811
46;594;506;652
46;597;350;494
46;598;452;686
46;1432;721;938
46;596;663;909
46;603;319;416
46;61;276;302
46;69;269;414
47;2305;850;990
47;2306;616;727
47;68;216;271
47;69;564;737
47;71;306;429
47;73;343;478
47;2318;833;963
47;209;682;864
47;83;488;684
47;214;889;976
47;1432;825;991
47;2313;474;512
47;2328;835;996
47;2409;473;561
47;2403;781;907
47;2406;652;779
47;233;214;320
47;234;651;750
47;48;632;732
47;49;332;439
47;50;491;530
47;2422;843;885
