from_stop_I;to_stop_I;d;duration_avg;n_vehicles;route_I_counts;route_type
1083;1204;259;54.32432432432432;74;8:74;3
1084;2001;233;60.0;78;23:78;3
1085;2872;254;53.84615384615385;78;23:78;3
1086;3493;803;91.57894736842105;38;44:38;3
1087;3147;566;24.615384615384617;39;44:39;3
1088;2535;354;96.83168316831683;101;41:72,94:29;3
1089;2232;339;60.0;104;41:75,94:28,47:1;3
1090;2184;374;120.0;366;2:200,3:166;0
1091;3503;318;59.83516483516483;364;2:194,3:170;0
1092;1648;187;0.0;41;33:41;3
1093;2890;254;60.0;41;33:41;3
1094;2743;284;60.0;103;99:52,21:51;3
1095;2755;2015;240.0;51;21:51;3
1095;2116;7535;1114.6153846153845;52;99:52;3
1096;2332;352;60.0;26;46:26;3
1096;2742;330;120.0;17;21:17;3
1097;1110;330;60.0;47;21:18,46:29;3
1098;1109;340;57.2093023255814;43;21:17,46:26;3
1099;1390;311;49.787234042553195;47;21:18,46:29;3
1100;1914;383;82.97872340425532;47;10:47;3
1101;3431;304;71.12903225806451;124;10:46,23:78;3
1102;1865;269;60.0;178;92:100,23:78;3
1103;3101;250;0.0;3;20:3;3
1104;1422;983;120.0;3;20:3;3
1105;3057;940;240.0;1;79:1;3
1105;2682;366;60.0;1;79:1;3
1107;2682;262;60.46511627906977;129;59:1,22:50,23:78;3
1108;1105;53;0.0;1;79:1;3
1108;3307;242;24.48;125;22:47,23:78;3
1109;1096;419;60.0;43;21:17,46:26;3
1110;1099;531;62.5531914893617;47;21:18,46:29;3
1111;3199;462;60.0;81;73:2,34:44,38:35;3
1112;1332;174;36.86746987951807;83;73:2,34:43,77:1,38:37;3
1113;3007;396;60.0;95;16:48,32:47;3
1114;2857;345;50.4;50;32:50;3
1114;2946;6521;704.0;15;97:15;3
1115;2933;366;75.0;48;16:48;3
1115;2406;4136;396.0;15;97:15;3
1116;2826;241;60.0;41;33:41;3
1117;1129;158;0.0;44;33:41,84:3;3
1118;3065;133;60.0;1;60:1;3
1119;1194;219;60.0;2;60:2;3
1120;2524;511;62.44897959183673;49;82:1,28:46,79:2;3
1121;2488;480;60.0;45;75:1,28:43,79:1;3
1121;3125;419;60.0;1;71:1;3
1122;3219;456;95.8659217877095;179;88:126,7:53;3
1123;3183;286;60.0;183;88:129,7:54;3
1124;1961;299;60.0;39;29:39;3
1125;3548;473;60.0;39;29:39;3
1126;1163;556;120.0;15;25:15;3
1126;2036;495;60.0;65;57:2,37:63;3
1127;3252;344;55.38461538461539;78;25:12,51:1,37:64,57:1;3
1128;1116;300;11.707317073170731;41;33:41;3
1129;2493;279;10.0;42;33:41,84:1;3
1130;1195;411;66.3157894736842;57;40:56,59:1;3
1131;1291;369;50.526315789473685;57;40:55,86:1,71:1;3
1132;3245;284;60.0;46;42:46;3
1133;3333;266;60.0;47;42:47;3
1134;1140;268;15.849056603773585;53;43:53;3
1135;3198;301;33.46153846153846;52;43:52;3
1136;3429;160;26.142857142857142;140;24:40,92:100;3
1137;1397;3345;600.0;1;54:1;3
1137;2959;263;42.302158273381295;139;24:39,92:100;3
1138;2539;241;31.813953488372093;215;24:38,9:60,35:45,41:72;3
1139;1319;259;60.0;218;24:39,9:59,35:45,41:75;3
1140;1769;323;60.0;53;43:53;3
1141;1135;274;60.0;52;43:52;3
1142;3026;240;16.097560975609756;41;24:39,53:2;3
1143;2342;437;129.0;40;24:38,53:2;3
1144;2714;302;60.0;45;22:45;3
1144;2711;319;60.0;75;41:75;3
1145;1570;274;0.0;72;41:72;3
1145;1571;200;20.869565217391305;46;22:46;3
1146;1475;308;60.0;63;36:62,62:1;3
1146;1423;231;52.38095238095238;63;36:62,62:1;3
1148;3019;67;0.0;3;69:3;3
1149;2828;186;30.0;2;80:1,69:1;3
1150;3490;425;60.0;13;31:13;3
1150;1254;588;108.0;10;31:10;3
1153;2816;113;0.0;29;37:29;3
1154;3169;710;60.0;39;44:39;3
1155;3010;480;60.0;6;15:6;3
1156;3161;191;7.5;32;14:32;3
1157;1270;493;60.0;47;22:47;3
1158;3390;238;21.6;50;22:50;3
1159;1963;950;120.0;2;20:2;3
1160;2616;295;60.0;1;20:1;3
1161;1590;779;100.8;50;22:50;3
1162;2680;404;60.0;47;22:47;3
1163;1127;575;180.0;12;25:12;3
1164;3364;460;108.15126050420169;238;88:126,9:59,7:53;3
1165;1394;317;60.0;243;88:129,9:60,7:54;3
1166;2500;412;69.58579881656804;169;2:3,3:166;0
1167;1680;439;120.0;170;3:170;0
1168;2564;358;60.0;26;46:26;3
1169;2504;556;80.6896551724138;29;46:29;3
