stop_I;lat;lon;name
1083;47.2201573;-1.60339246;Abel Durand
1084;47.229731;-1.58942059;Avenue Blanche
1085;47.2295603;-1.58914361;Avenue Blanche
1086;47.26977722;-1.57185211;Angle Chaillou
1087;47.26976827;-1.5721161;Angle Chaillou
1088;47.21410125;-1.72337459;Audubon
1089;47.21401606;-1.72323592;Audubon
1090;47.20917256;-1.55024277;Aimé Delrue
1091;47.20908271;-1.55023624;Aimé Delrue
1092;47.25326073;-1.59670445;Avenue des Pins
1093;47.25367844;-1.59766118;Avenue des Pins
1094;47.15935541;-1.59825918;Aéroclub
1095;47.15936441;-1.59799574;Aéroclub
1096;47.15770237;-1.59655315;Aéroport
1097;47.15770687;-1.59642144;Aéroport
1098;47.16078877;-1.58793208;Aérospatiale
1099;47.16144912;-1.58705607;Aérospatiale
1100;47.22377294;-1.57126714;Anatole France
1101;47.22376399;-1.57153091;Anatole France
1102;47.22393027;-1.57193969;Anatole France
1103;47.14054089;-1.45576884;L'Angebert
1104;47.14072927;-1.45551818;L'Angebert
1105;47.24529886;-1.61093247;Angevinière
1107;47.24515933;-1.6123771;Angevinière
1108;47.24509659;-1.61157887;Angevinière
1109;47.15869537;-1.59121199;Airbus
1110;47.15812483;-1.5920945;Airbus
1111;47.25447241;-1.49652294;Aiguillon
1112;47.25445925;-1.49691883;Aiguillon
1113;47.17541044;-1.62387641;Allende
1114;47.17525341;-1.62320432;Allende
1115;47.17484419;-1.62462708;Allende
1116;47.27685201;-1.63893833;Aulne
1117;47.27633116;-1.6383702;Aulne
1118;47.20185599;-1.60389522;Allouettes
1119;47.20157324;-1.60162773;Allouettes
1120;47.2585914;-1.64869359;Armoricaine
1121;47.25827307;-1.64747915;Armoricaine
1122;47.23612591;-1.5682026;Américains
1123;47.23577547;-1.56791254;Américains
1124;47.22801889;-1.62367286;Ar Mor
1125;47.22836466;-1.62409514;Ar Mor
1126;47.26077064;-1.55320077;Ampère
1127;47.26076174;-1.55346472;Ampère
1128;47.27477771;-1.63640188;Les Anges
1129;47.27520418;-1.63709529;Les Anges
1130;47.25768995;-1.62256356;Antons
1131;47.25784698;-1.62323668;Antons
1132;47.22565984;-1.64769437;Apave
1133;47.22539488;-1.64754241;Apave
1134;47.30227711;-1.50789738;Ampère
1135;47.30209741;-1.50788445;Ampère
1136;47.22889385;-1.6086639;Ambroise Paré
1137;47.22907805;-1.60854526;Ambroise Paré
1138;47.20985471;-1.61492638;Aquitaine
1139;47.20976939;-1.6147879;Aquitaine
1140;47.30346079;-1.50480495;Arago
1141;47.30354624;-1.5049435;Arago
1142;47.25853899;-1.58187869;Arbois
1143;47.25844018;-1.58213604;Arbois
1144;47.21179426;-1.65274239;Arcades
1145;47.21203639;-1.65355356;Arcades
1146;47.30242198;-1.48182549;Argonautes
1148;47.27148504;-1.44494779;Armorique
1149;47.27147205;-1.44534382;Armorique
1150;47.28171763;-1.45970027;Antarès
1152;47.30821266;-1.54314964;La Chapelle Aulnay
1153;47.30838347;-1.54342688;La Chapelle Aulnay
1154;47.30814501;-1.54248265;La Chapelle Aulnay
1155;47.16804829;-1.52507017;L'Aufrère
1156;47.19496578;-1.51736648;Augé
1157;47.23365905;-1.62990901;Aveneaux
1158;47.23291762;-1.63051521;Aveneaux
1159;47.15958402;-1.4818092;Barbinière
1160;47.1597681;-1.48169027;Barbinière
1161;47.24354485;-1.62006132;Bagatelle
1162;47.24345501;-1.62005467;Bagatelle
1163;47.25920497;-1.54620749;Babinière
1164;47.22578752;-1.55964729;Bel Air
1165;47.22544151;-1.55922545;Bel Air
1166;47.18608369;-1.55385088;Balinière
1167;47.18607923;-1.55398268;Balinière
1168;47.18462388;-1.55440535;Balinière
1169;47.18453403;-1.55439882;Balinière
1170;47.24723416;-1.49481369;Bois des Anses
1171;47.24705446;-1.49480082;Bois des Anses
1172;47.24660522;-1.49476863;Bois des Anses
1173;47.24669068;-1.49490701;Bois des Anses
1174;47.30844177;-1.38295034;La Barre
1175;47.30881395;-1.38257905;La Barre
1176;47.17938648;-1.59722149;Bastille
1177;47.1790361;-1.59693154;Bastille
1180;47.25552751;-1.52966934;Batignolles
1181;47.25560851;-1.52993977;Batignolles
1182;47.20427473;-1.51909416;Baugerie
1183;47.20417165;-1.5194832;Baugerie
1184;47.20251306;-1.51791001;Baugerie
1185;47.20111517;-1.51661998;Baugerie
1186;47.22049657;-1.65894412;Basse Orévière
1187;47.22040673;-1.65893741;Basse Orévière
1188;47.22227709;-1.60725043;Bd Charles Gautier
1189;47.22182336;-1.60734919;Bd Charles Gautier
1190;47.22151772;-1.60838431;Bd Charles Gautier
1191;47.28686058;-1.50837641;Boisbonne
1192;47.28685178;-1.50864049;Boisbonne
1193;47.20042803;-1.5982396;Boucardière
1194;47.20067055;-1.59905036;Boucardière
1195;47.26113484;-1.62453869;Bois Cesbron
1196;47.26096422;-1.62426144;Bois Cesbron
1197;47.24101394;-1.50851837;Basse Chênaie
1198;47.24148518;-1.50789102;Basse Chênaie
1199;47.24100954;-1.5086503;Basse Chênaie
1200;47.24181377;-1.50884038;Basse Chênaie
1201;47.21782589;-1.60308856;Branchoire
1202;47.2180864;-1.60337214;Branchoire
1203;47.21861645;-1.60367558;Branchoire
1204;47.21787967;-1.6041501;Branchoire
1205;47.17166881;-1.54329386;Blanchet
1206;47.17131385;-1.54313606;Blanchet
1207;47.22644702;-1.58270091;Bd des Anglais
1208;47.2264246;-1.58336035;Bd des Anglais
1209;47.22670758;-1.58298444;Bd des Anglais
1210;47.22615955;-1.58320871;Bd des Anglais
1211;47.23365711;-1.59314693;Baudelaire
1212;47.23394912;-1.5925072;Baudelaire
1213;47.20978665;-1.64307564;Bodinières
1214;47.20979576;-1.64281196;Bodinières
1215;47.21000731;-1.64190242;Bodinières
1216;47.21028138;-1.64179062;Bodinières
1217;47.26744242;-1.5822668;Bout des Landes
1218;47.20555361;-1.57998111;Bourdonnais
1219;47.20646998;-1.57951951;Bourdonnais
1220;47.22441834;-1.52001726;Bd de Doulon
1222;47.22440951;-1.52028103;Bd de Doulon
1223;47.22397351;-1.51985298;Bd de Doulon
1224;47.25278405;-1.5762979;Bout des Pavés
1225;47.25269421;-1.57629132;Bout des Pavés
1226;47.25332759;-1.5762054;Bout des Pavés
1227;47.20663194;-1.59592025;Bourderies
1228;47.2065511;-1.59564997;Bourderies
1229;47.16589107;-1.46812862;Bd des Sports
1230;47.16559974;-1.46876821;Bd des Sports
1231;47.20246519;-1.54883051;Bourgault-Ducoudray
1232;47.15329989;-1.63557761;Bel Endroit
1233;47.15470661;-1.63396536;Bel Endroit
1234;47.23429829;-1.55299443;Beauger
1235;47.23420845;-1.5529879;Beauger
1236;47.1977697;-1.79257748;Béhinière
1237;47.19701789;-1.79093353;Béhinière
1238;47.24956252;-1.60741126;Beillevaire
1239;47.24947719;-1.60727269;Beillevaire
1240;47.26472929;-1.51035666;Bêle
1241;47.26464384;-1.51021821;Bêle
1242;47.23461282;-1.540984;Belges-Montbazon
1243;47.23445975;-1.5401795;Belges-Montbazon
1244;47.23587954;-1.54081137;Belges Montbazon
1245;47.23560113;-1.54105566;Belges-Montbazon
1246;47.20394287;-1.53704358;Beaulieu
1248;47.20347912;-1.53476335;Beaulieu
1249;47.20368096;-1.53411717;Beaulieu
1250;47.20374088;-1.61460707;Belloc
1251;47.20310746;-1.61469247;Belloc
1252;47.2147993;-1.71377698;Bessonneau
