from_stop_I;to_stop_I;d;duration_avg;n_vehicles;route_I_counts
2560;1611;567;120.0;285;1:285
2560;1637;424;116.71532846715328;274;1:274
2668;3330;511;120.27522935779817;218;2:218
3330;2667;501;120.0;224;2:224
3330;2830;398;87.79816513761467;218;2:218
2817;1336;478;120.0;173;3:173
2817;3304;439;109.70414201183432;169;3:169
1850;3533;521;60.0;285;1:285
2829;3330;407;62.67857142857143;224;2:224
1294;2147;447;60.0;167;1:167
2063;1611;465;60.0;274;1:274
2063;1779;664;119.15789473684211;285;1:285
3345;2947;604;60.0;293;1:293
3346;2364;671;105.39923954372624;263;1:263
2285;1335;336;120.0;169;3:169
2069;1258;358;60.0;231;4:231
2069;1246;545;104.15584415584415;231;4:231
2326;2268;443;118.62857142857143;175;1:175
2327;3224;418;60.0;181;1:181
2575;3529;275;60.0;366;2:200,3:166
2575;2941;636;180.16483516483515;364;2:194,3:170
2338;3145;660;60.0;188;2:188
2338;2806;786;73.91752577319588;194;2:194
1316;3223;268;60.0;175;1:175
1317;3186;377;116.353591160221;181;1:181
2086;2942;598;120.0;165;2:165
2599;3300;421;120.0;218;2:218
3369;2450;443;60.0;169;3:169
3370;3242;466;99.53757225433526;173;3:173
1837;3233;393;127.11340206185567;194;2:194
1837;1885;438;60.0;218;2:218
2184;1644;363;130.0763358778626;393;2:224,3:169
1749;2260;444;60.0;225;4:225
3507;2995;380;109.3491124260355;169;3:169
3113;2693;637;60.0;225;4:225
2185;1091;388;95.93406593406593;364;2:194,3:170
1336;2286;330;60.0;173;3:173
1849;1779;545;60.0;274;1:274
3130;2137;814;120.0;96;1:96
2364;3345;672;97.26962457337883;293;1:293
2364;2548;639;62.28136882129277;263;1:263
2111;2639;397;92.4087591240876;274;1:274
2112;1775;402;126.3157894736842;285;1:285
1090;2184;374;120.0;366;2:200,3:166
1347;1637;328;117.47368421052632;285;1:285
1347;1775;434;66.56934306569343;274;1:274
1349;1359;504;113.81443298969072;194;2:194
1350;3233;540;120.0;188;2:188
3144;2338;664;120.0;194;2:194
3145;1518;382;120.0;188;2:188
1611;2560;567;120.0;274;1:274
1611;2063;465;60.0;285;1:285
2639;2669;329;60.0;274;1:274
2640;2112;397;60.0;285;1:285
3043;2500;360;60.0;170;3:170
2830;1688;364;60.0;218;2:218
3414;2784;537;60.66298342541437;181;1:181
3414;3186;330;60.0;175;1:175
2137;2147;976;178.71657754010695;187;1:187
2137;2947;640;73.00380228136882;263;1:263
2137;3130;814;66.79245283018868;106;1:106
1627;2021;511;60.0;169;2:3,3:166
1628;2753;607;94.23529411764706;170;3:170
1885;1837;438;66.42857142857143;224;2:224
1885;2663;475;120.0;218;2:218
2147;2137;976;120.0;167;1:167
2147;1294;447;116.14973262032086;187;1:187
1637;2560;424;102.94736842105263;285;1:285
1637;1347;328;120.0;274;1:274
2663;1885;475;118.125;224;2:224
2663;2599;712;63.85321100917431;218;2:218
2154;1220;495;120.0;274;1:274
2154;2669;675;118.23529411764706;272;1:272
2667;3299;440;113.83928571428571;224;2:224
1644;2185;358;120.0;391;2:218,3:173
1644;1687;279;71.51785714285714;224;2:224
1644;1391;353;108.28402366863905;169;3:169
2669;2640;327;60.0;285;1:285
2669;2154;675;118.24817518248175;274;1:274
3438;3289;369;60.0;175;1:175
3439;1929;428;63.97790055248619;181;1:181
1392;1644;344;129.364161849711;173;3:173
3186;1316;382;120.0;175;1:175
3186;3414;330;60.0;181;1:181
1908;3059;340;60.0;173;3:173
1908;2285;492;60.0;169;3:169
2678;3305;583;60.0;173;3:173
1912;3241;402;60.0;169;3:169
1913;2996;439;74.91329479768787;173;3:173
1402;2450;488;120.0;173;3:173
1402;3059;397;60.0;169;3:169
3451;2208;304;88.83116883116882;231;4:231
2941;3043;636;112.1608040201005;199;2:29,3:170
2941;2086;590;146.1818181818182;165;2:165
2942;2575;638;120.0;366;2:200,3:166
3457;1787;579;60.0;169;2:3,3:166
3457;2021;767;120.0;170;3:170
2947;2137;640;120.0;293;1:293
2947;3346;602;60.0;263;1:263
2693;1749;491;60.0;225;4:225
2694;3113;644;60.0;231;4:231
1729;1258;335;60.0;225;4:225
1729;2739;537;60.0;231;4:231
1928;3438;419;60.0;175;1:175
1687;2829;351;98.83928571428571;224;2:224
1166;2500;412;69.58579881656804;169;2:3,3:166
1679;1166;458;120.0;169;2:3,3:166
1680;1787;240;60.0;170;3:170
1688;1644;281;117.5229357798165;218;2:218
2450;3370;449;60.0;173;3:173
2450;1402;488;88.04733727810651;169;3:169
1091;3503;318;59.83516483516483;364;2:194,3:170
2286;1908;488;60.0;173;3:173
3223;2326;418;60.0;175;1:175
3224;1317;259;78.23204419889503;181;1:181
1220;2154;495;114.9809885931559;263;1:263
1220;2548;286;60.0;293;1:293
1391;2257;212;60.0;169;3:169
1949;2784;540;60.0;175;1:175
1950;3290;590;60.66298342541437;181;1:181
2207;3450;331;60.0;231;4:231
2208;1246;268;69.35064935064935;231;4:231
3233;1349;543;75.4639175257732;194;2:194
3233;1837;393;103.72340425531915;188;2:188
3241;3369;473;99.40828402366864;169;3:169
3242;1913;408;60.0;173;3:173
1523;1777;323;120.0;231;4:231
2739;1343;460;120.0;231;4:231
3503;3529;318;60.0;364;2:194,3:170
3503;1090;327;60.0;366;2:200,3:166
2224;3533;573;60.0;99;1:99
2738;1729;541;60.0;225;4:225
3059;1402;397;62.08092485549133;173;3:173
3059;1908;340;60.0;169;3:169
2996;3508;380;69.71098265895954;173;3:173
3253;1517;449;113.81443298969072;194;2:194
3253;1359;510;114.25531914893617;188;2:188
1524;3451;671;69.0909090909091;231;4:231
3508;2258;357;109.94219653179191;173;3:173
3450;1523;671;79.22077922077922;231;4:231
