from_stop_I;to_stop_I;d;d_walk
1;2;519;524
1;3;520;530
1;4;585;610
1;5;338;343
1;6;336;342
1;8;12;12
1;9;602;632
1;10;710;718
1;2001;417;438
1;2002;404;425
1;2003;827;861
1;2004;789;822
1;2005;715;722
2;706;659;742
2;3;5;5
2;708;706;891
2;5;183;183
2;6;185;186
2;705;642;693
2;8;530;534
2;10;192;193
2;2001;934;961
2;2002;922;947
2;2005;197;197
2;857;716;933
2;736;776;989
2;1059;577;762
2;1060;612;806
2;1198;722;924
2;1967;750;749
2;1968;773;775
2;1970;977;980
2;1144;566;572
2;1145;522;521
2;570;755;971
2;571;740;953
2;572;478;602
2;573;452;606
3;708;706;893
3;5;185;189
3;6;187;192
3;705;640;695
3;8;531;540
3;10;191;195
3;706;658;744
3;2001;936;967
3;2002;923;953
3;2005;196;199
3;857;716;935
3;736;776;991
3;1059;572;764
3;1060;607;808
3;1198;722;926
3;1967;748;751
3;1968;771;778
3;1970;975;982
3;1144;564;574
3;1145;521;523
3;570;750;973
3;571;735;955
3;572;474;604
3;573;448;608
4;5;920;952
4;6;917;951
4;8;573;598
4;9;21;23
4;2001;169;174
4;2002;183;189
4;2003;243;252
4;1364;454;577
4;1365;406;474
4;1368;680;827
4;2004;205;213
4;1446;673;947
4;1639;693;881
4;1448;375;531
4;1449;375;550
4;1451;666;944
4;1452;527;771
4;1453;536;789
4;568;859;935
4;569;622;692
4;574;878;956
4;575;699;772
5;6;5;5
5;705;824;876
5;8;349;353
5;9;938;973
5;10;374;376
5;706;839;925
5;1967;932;932
5;1968;956;959
5;2001;753;780
5;2002;740;766
5;1059;700;945
5;2005;380;380
5;1145;705;705
5;1144;749;755
5;1060;727;989
5;572;630;785
5;573;615;789
6;705;826;879
6;8;346;352
6;9;936;972
6;10;377;380
6;706;842;929
6;1967;934;935
6;1968;958;962
6;2001;750;778
6;2002;738;765
6;1059;698;948
6;2005;382;383
6;1145;707;708
6;1144;751;758
6;1060;726;992
6;572;629;788
6;573;615;792
7;128;679;843
7;129;787;995
7;984;522;647
7;577;525;699
7;1097;255;291
7;1098;365;477
7;1239;447;722
7;332;175;233
7;333;423;544
7;462;647;806
7;463;645;796
7;464;792;974
7;977;750;885
7;978;792;929
7;468;67;92
7;334;277;380
7;2121;697;911
7;471;194;234
7;576;486;737
7;36;500;698
7;37;343;438
7;1745;316;460
7;1192;621;750
7;1962;725;948
7;363;352;468
7;1972;797;976
7;574;583;828
7;1782;538;646
7;1783;397;485
7;568;607;851
7;59;66;118
7;1240;439;715
7;61;215;281
7;62;401;467
8;9;591;620
8;10;721;728
8;2001;405;426
8;2002;393;412
8;2003;816;849
8;2004;778;810
8;2005;726;732
9;2001;186;195
9;2002;200;211
9;2003;225;235
9;1364;443;559
9;1365;394;457
9;1368;676;810
9;2004;188;196
9;1446;656;929
9;1639;688;864
9;1448;355;513
9;1449;354;532
9;1451;650;926
9;1452;509;753
9;1453;518;772
9;568;841;917
9;569;604;674
9;574;860;938
9;575;680;754
10;704;722;912
10;708;530;701
10;705;450;503
10;706;470;553
10;1400;709;956
10;2005;7;7
10;857;544;743
10;709;768;966
10;736;605;800
10;418;697;944
10;1059;499;688
10;1060;542;732
10;1198;558;734
10;1967;558;559
10;1968;582;586
10;1969;961;973
10;1970;786;790
10;1144;375;382
10;1145;331;332
10;570;711;914
10;571;694;896
10;572;362;525
10;573;313;448
10;127;775;997
11;1668;898;924
11;1669;893;914
11;2135;153;237
11;1932;280;295
11;1933;416;430
11;1937;417;435
11;659;559;823
11;1172;744;920
11;661;602;900
11;1174;612;628
11;791;245;358
11;2136;108;180
11;794;303;426
11;539;538;816
11;2077;175;177
11;1065;605;935
11;810;469;670
11;556;515;531
11;813;376;602
11;814;383;573
11;1821;68;71
11;1715;198;272
11;1717;670;819
11;1718;280;390
11;1719;300;417
11;1721;194;273
11;1722;473;617
11;1723;466;608
11;1724;689;837
11;1355;782;801
11;1356;770;801
11;2138;131;219
11;1495;803;979
11;1496;825;994
11;1497;471;828
11;1498;475;822
11;1116;451;629
11;1504;600;844
11;1505;629;867
11;1641;728;877
11;1002;648;855
11;1003;632;833
11;2069;481;621
11;1001;441;629
11;2068;491;618
11;1173;610;640
12;2080;652;809
12;496;354;977
12;1331;500;609
12;1935;518;614
12;368;764;959
12;113;566;629
12;210;806;845
12;115;192;197
12;1332;409;636
12;1337;254;835
12;1338;236;895
12;2079;607;984
13;1793;241;499
13;1550;264;348
13;22;331;334
13;211;620;990
13;2016;405;519
13;203;566;900
13;1037;773;845
13;1038;786;864
13;1549;246;367
13;16;939;942
13;1586;624;625
13;212;617;993
13;21;372;373
13;598;562;967
13;1687;262;351
13;1688;852;986
13;25;135;140
13;26;800;801
13;27;806;809
13;2012;439;440
13;1693;812;940
13;30;178;180
13;1695;596;719
13;1696;186;222
13;2017;910;912
13;1186;796;941
13;2020;831;837
13;2021;124;126
13;1513;766;977
13;2013;291;295
13;1580;733;734
13;1261;568;907
13;750;558;967
13;1583;373;373
13;1584;441;445
13;689;761;978
13;2034;627;631
13;2035;606;608
13;1694;577;703
13;1587;584;586
13;1581;44;46
13;1790;291;549
13;725;610;736
14;1696;861;917
14;2017;128;132
14;2020;207;215
14;2021;914;916
14;1160;571;623
14;1161;563;613
14;1162;250;302
14;1163;239;286
14;1580;305;306
14;1582;21;25
14;2013;747;752
14;1584;597;601
14;2034;412;417
14;2035;433;436
14;1583;665;667
14;1660;839;890
14;1661;844;897
15;1025;532;708
15;23;285;287
15;435;495;738
15;2029;917;924
15;274;601;806
15;19;113;116
15;20;171;178
15;277;537;770
15;279;424;638
15;24;348;356
15;28;821;823
15;285;501;739
15;166;739;939
15;1195;715;916
15;1196;584;756
15;434;608;885
15;29;797;801
15;1585;105;112
15;1458;404;516
15;819;679;825
15;1588;205;208
15;437;641;931
15;442;395;462
15;1589;303;309
15;1603;601;764
15;1735;323;574
15;328;311;591
15;329;396;622
15;330;359;699
15;1995;472;475
15;1997;743;749
15;1744;740;998
15;1746;652;893
15;87;529;653
15;1499;503;511
15;1888;556;771
15;1889;529;728
15;2018;451;457
15;2019;700;703
15;1892;457;612
15;1893;440;587
15;614;636;872
15;818;821;969
15;18;95;98
15;2030;648;653
15;2032;552;554
15;2033;807;814
15;276;439;657
15;1275;639;888
15;1916;585;665
16;1934;161;290
16;1025;601;730
16;2033;269;276
16;598;788;956
16;2030;428;433
16;1166;288;441
16;18;981;982
16;1939;834;989
16;21;568;570
16;22;608;612
16;25;804;809
16;26;140;142
16;27;134;138
16;28;254;256
16;30;761;764
16;1797;737;813
16;2080;853;875
16;1186;173;244
16;1585;971;976
16;168;671;881
16;1820;501;599
16;554;380;401
16;1581;895;897
16;689;252;379
16;818;461;569
16;819;556;716
16;1588;871;873
16;1589;773;777
16;1824;121;142
16;1995;603;605
16;1349;374;445
16;1350;569;724
16;203;630;770
16;1037;183;246
16;211;476;622
16;212;481;624
16;1038;179;265
16;1494;401;607
