from_stop_I;to_stop_I;d;duration_avg;n_vehicles;route_I_counts
136;2015;443;120.0;29;84:29
146;147;366;60.0;321;104:54,148:5,74:106,100:101,79:55
147;1880;802;112.46511627906976;215;104:54,148:5,100:101,79:55
147;1819;1005;180.0;106;74:106
151;927;247;120.0;36;45:36
153;3147;321;60.0;35;191:35
153;950;484;60.0;207;108:124,155:9,92:37,45:37
156;926;321;60.0;242;168:1,92:36,155:9,108:123,45:38,191:35
162;163;410;60.0;279;148:4,74:109,100:107,79:59
162;2357;1157;174.54545454545453;55;104:55
163;2986;547;60.0;4;148:4
163;189;577;115.41818181818182;275;74:109,100:107,79:59
172;2024;211;60.0;29;84:29
189;1816;267;175.2;275;74:109,100:107,79:59
220;436;387;113.79310344827586;232;66:232
234;235;377;60.0;120;110:120
235;236;227;60.0;120;110:120
236;2439;490;120.0;120;110:120
246;3216;468;240.0;27;195:27
273;3217;193;120.0;27;195:27
279;2266;294;106.76470588235294;136;98:118,155:9,150:9
288;289;143;60.0;121;110:121
289;290;344;60.0;121;110:121
290;2422;639;120.0;121;110:121
297;1361;117;60.0;454;80:60,58:51,118:240,70:103
311;1362;213;102.9023746701847;379;80:60,58:106,106:110,70:103
316;752;293;60.0;109;106:109
316;779;397;101.87050359712231;278;80:63,58:110,70:105
334;3009;298;60.0;9;151:9
339;340;383;60.0;4;158:2,367:2
340;400;256;60.0;4;158:2,367:2
346;3210;286;120.0;27;195:27
346;347;368;60.0;4;154:4
346;516;479;120.0;134;117:134
347;3010;500;120.0;18;156:9,151:9
347;1509;1021;120.0;4;154:4
357;516;242;60.0;18;156:9,151:9
357;358;361;60.0;4;154:4
358;1507;181;120.0;134;117:134
358;3223;149;60.0;27;195:27
358;3031;175;60.0;4;154:4
364;365;597;60.0;4;158:2,367:2
365;1724;604;90.0;4;158:2,367:2
370;3018;616;120.0;9;151:9
416;1256;498;60.0;58;55:58
429;1247;845;120.0;60;55:60
436;437;470;60.0;232;66:232
437;1548;887;180.0;232;66:232
444;445;482;113.79310344827586;232;66:232
445;1566;239;60.0;232;66:232
460;311;409;60.0;209;58:106,70:103
495;1052;950;232.8;125;48:125
510;511;366;112.89473684210526;152;156:9,117:134,151:9
511;347;224;60.0;18;156:9,151:9
511;358;478;115.07462686567165;134;117:134
516;517;242;60.0;152;156:9,117:134,151:9
517;2021;1147;180.0;18;156:9,151:9
517;2518;454;180.0;134;117:134
533;1331;364;120.0;4;147:4
558;1486;464;180.0;1;164:1
558;911;242;60.0;465;368:1,51:23,148:5,87:28,138:48,251:28,44:216,77:80,142:36
600;1364;572;103.03030303030303;297;112:88,58:106,70:103
604;1218;645;120.0;736;66:236,67:258,118:242
607;1563;402;101.88679245283019;742;66:232,67:256,118:254
611;2449;237;120.0;94;112:94
611;1346;250;60.0;215;58:110,70:105
648;2521;484;120.0;134;117:134
651;2519;301;120.0;134;117:134
657;1982;244;60.0;163;152:3,106:108,83:51,372:1
661;1979;341;60.0;169;106:110,83:59
661;1980;285;180.0;6;152:5,372:1
672;2220;460;120.0;5;148:5
672;2172;187;102.58064516129032;124;108:124
672;2173;465;60.0;9;155:9
672;2158;206;60.0;155;104:54,100:101
679;2400;372;60.0;133;155:9,108:124
679;2306;1373;156.86746987951807;166;104:55,148:4,100:107
704;763;420;99.64556962025317;395;111:111,97:64,99:111,69:55,39:54
731;1464;471;120.0;20;62:20
731;4440;869;120.0;60;271:60
731;732;4552;480.0;67;38:67
731;2319;649;179.58041958041957;143;370:1,100:107,366:1,191:34
732;733;368;60.0;296;155:9,108:49,54:171,38:67
733;734;457;60.0;125;155:9,108:49,38:67
733;735;1526;180.0;171;54:171
734;735;1178;120.0;125;155:9,108:49,38:67
735;736;526;120.0;296;155:9,108:49,54:171,38:67
736;737;331;65.27859237536657;341;229:12,38:67,54:171,155:9,108:49,182:33
737;738;286;60.0;329;155:9,108:49,54:171,38:67,182:33
737;3715;326;60.0;12;229:12
739;740;253;60.0;112;108:47,38:65
740;738;297;60.0;12;229:12
740;741;316;60.0;112;108:47,38:65
741;742;496;113.63013698630137;292;155:9,108:47,54:171,38:65
742;744;1435;180.0;171;54:171
742;743;1031;115.53719008264463;121;155:9,108:47,38:65
743;744;495;60.0;121;155:9,108:47,38:65
744;745;353;60.0;292;155:9,108:47,54:171,38:65
745;746;4596;600.0;65;38:65
745;2415;896;120.0;9;155:9
745;2412;256;60.0;47;108:47
745;1223;806;120.0;171;54:171
747;748;720;120.0;52;39:52
748;1905;832;120.0;60;80:60
748;749;418;60.0;261;58:106,70:103,39:52
748;1549;484;111.08433734939759;498;67:258,118:240
749;750;292;60.0;493;58:106,66:232,70:103,39:52
750;460;314;120.0;209;58:106,70:103
750;781;187;60.0;232;66:232
750;751;342;60.0;52;39:52
751;752;465;120.0;52;39:52
752;753;626;120.0;161;106:109,39:52
753;754;323;60.0;161;106:109,39:52
754;755;534;139.50920245398774;163;106:109,39:54
754;1550;503;113.96739130434783;736;66:236,67:258,118:242
755;756;440;60.0;164;106:110,39:54
756;757;263;60.0;164;106:110,39:54
757;758;387;60.0;164;106:110,39:54
758;1975;423;120.0;110;106:110
758;759;419;100.0;54;39:54
759;760;696;120.0;105;83:51,39:54
760;761;301;60.0;109;69:55,39:54
760;1986;452;60.0;51;83:51
761;2440;222;60.0;6;152:5,372:1
761;762;271;60.0;109;69:55,39:54
762;704;460;120.0;220;111:111,69:55,39:54
763;2234;440;120.0;286;97:64,99:111,111:111
763;764;422;120.0;38;69:22,39:16
763;783;464;123.28767123287672;73;137:2,69:33,39:38
765;1018;298;120.0;210;137:12,59:142,69:1,47:55
765;2298;266;60.0;3;154:3
765;766;271;120.0;108;69:56,39:52
766;767;455;60.0;402;111:111,97:69,99:114,69:56,39:52
767;768;478;131.19402985074626;402;111:111,97:69,99:114,69:56,39:52
767;787;488;120.0;1;137:1
768;2440;439;120.0;111;111:111
768;769;489;113.88888888888889;108;69:56,39:52
768;2276;686;120.0;114;99:114
768;2245;796;120.0;69;97:69
769;770;249;60.0;112;152:3,372:1,69:56,39:52
770;1986;176;0.0;4;152:3,372:1
770;771;373;60.0;108;69:56,39:52
771;1682;606;99.64285714285714;56;69:56
771;772;580;120.0;110;83:58,39:52
772;773;423;60.0;52;39:52
772;1975;364;120.0;58;83:58
773;774;364;60.0;160;106:108,39:52
774;775;347;60.0;160;106:108,39:52
775;776;479;60.0;160;106:108,39:52
776;777;392;99.75;160;106:108,39:52
777;778;468;113.33333333333333;162;106:110,39:52
777;1564;877;120.0;742;66:232,67:256,118:254
778;2395;529;60.0;110;106:110
778;779;551;120.0;52;39:52
779;780;383;120.0;267;58:110,70:105,39:52
779;1565;757;180.0;63;80:63
780;1348;243;113.86046511627907;215;58:110,70:105
780;781;579;60.0;52;39:52
781;444;809;120.0;232;66:232
781;782;196;120.0;52;39:52
783;784;228;60.0;272;137:11,59:135,47:52,69:36,39:38
784;785;320;60.0;38;39:38
784;1019;627;60.0;238;137:11,154:4,59:135,69:36,47:52
785;786;390;60.0;38;39:38
786;787;430;60.0;38;39:38
787;763;470;60.0;2;137:2
788;789;412;60.0;37;39:37
789;790;392;60.0;37;39:37
790;765;289;60.0;37;39:37
791;792;547;60.0;287;40:183,193:38,103:66
792;793;218;10.316742081447964;221;40:183,193:38
792;2356;556;60.0;66;103:66
793;794;453;90.9502262443439;221;40:183,193:38
794;795;479;120.0;183;40:183
794;837;671;120.0;38;193:38
795;1834;368;60.0;205;89:50,76:106,93:49
795;796;400;120.0;342;40:342
795;797;865;120.0;120;75:120
796;797;473;60.0;584;40:342,82:114,99:120,151:8
797;798;560;60.0;921;82:114,99:120,151:8,40:342,75:120,114:217
798;1952;429;120.0;451;82:114,99:120,114:217
798;799;656;60.0;470;40:342,75:120,151:8
799;800;599;60.0;470;40:342,75:120,151:8
800;801;306;60.0;350;40:342,151:8
800;1823;436;120.0;120;75:120
801;802;334;60.0;550;40:342,123:35,99:108,116:57,151:8
802;2465;546;60.0;8;151:8
802;803;583;120.0;377;40:342,123:35
802;822;426;60.0;165;99:108,116:57
803;2564;501;60.0;19;123:19
803;804;483;60.0;207;40:207
805;806;334;120.0;222;40:201,123:21
806;821;348;60.0;224;114:224
806;807;375;60.0;379;40:333,123:36,151:10
807;808;327;60.0;556;40:333,123:36,99:120,116:57,151:10
808;809;295;60.0;343;40:333,151:10
808;1047;1043;180.0;35;123:35
808;1823;250;60.0;177;99:120,116:57
809;810;624;60.25974025974026;462;40:333,75:118,151:11
810;811;711;60.0;462;40:333,75:118,151:11
811;812;622;119.26829268292683;902;82:108,99:108,151:11,40:333,75:118,114:224
812;820;834;120.0;342;114:224,75:118
812;813;487;60.0;560;40:333,82:108,99:108,151:11
813;3008;193;60.0;9;151:9
813;820;382;60.0;152;40:150,151:2
813;814;414;60.0;399;40:183,82:108,99:108
814;837;975;173.88888888888889;216;82:108,99:108
814;815;384;99.34426229508196;183;40:183
815;816;440;60.0;221;40:183,193:38
816;817;220;60.0;221;40:183,193:38
817;818;562;60.0;290;40:183,161:1,193:38,103:68
818;833;554;96.17647058823529;68;103:68
818;819;101;60.0;174;40:174
818;3185;402;180.0;38;193:38
821;822;477;60.0;224;114:224
822;823;360;60.0;397;114:224,99:108,116:57,151:8
823;1944;366;115.8433734939759;332;114:224,99:108
823;1953;242;95.07692307692308;65;116:57,151:8
824;825;1140;120.0;81;41:51,259:26,159:4
824;826;1823;180.0;96;249:59,260:37
825;826;683;60.0;81;41:51,259:26,159:4
826;4041;480;60.0;122;249:59,259:26,260:37
826;827;310;60.0;95;41:91,159:4
827;828;257;60.0;152;41:91,116:57,159:4
828;829;469;75.0;152;41:91,116:57,159:4
829;2509;1391;60.0;57;116:57
829;830;293;60.0;95;41:91,159:4
830;831;433;60.0;95;41:91,159:4
831;832;544;114.3157894736842;95;41:91,159:4
832;833;563;71.83098591549296;213;41:91,259:26,260:37,249:59
832;3046;548;60.0;4;159:4
833;834;350;60.0;185;41:91,259:26,103:68
833;836;894;227.27272727272728;99;249:62,260:37
834;1945;147;60.0;68;103:68
834;835;366;71.7948717948718;117;41:91,259:26
835;836;438;95.34482758620689;348;259:26,41:91,82:111,99:120
836;815;690;120.0;38;193:38
836;3182;1234;420.0;18;249:18
836;1951;1077;180.0;231;82:111,99:120
837;3180;364;120.0;38;193:38
837;838;628;100.91803278688525;305;41:89,82:108,99:108
838;1945;254;60.0;216;82:108,99:108
838;839;446;120.0;110;41:89,259:21
839;840;608;60.0;205;41:90,259:21,260:38,249:56
839;791;654;120.0;66;103:66
840;841;600;113.54838709677419;93;41:90,159:3
840;4043;778;60.0;115;249:56,259:21,260:38
841;842;432;60.0;93;41:90,159:3
842;843;266;60.0;93;41:90,159:3
843;844;269;60.0;150;41:90,116:57,159:3
844;826;592;120.0;37;41:37
844;845;479;60.0;113;41:53,116:57,159:3
845;2512;343;60.0;57;116:57
845;846;399;60.0;56;41:53,159:3
846;848;1728;180.0;94;249:56,260:38
846;847;549;60.0;77;41:53,259:21,159:3
847;848;1179;120.0;77;41:53,259:21,159:3
848;4044;517;60.0;115;249:56,259:21,260:38
849;850;1074;120.0;139;42:56,125:53,95:30
850;851;1710;279.64285714285717;56;42:56
850;1379;5864;576.7441860465116;129;59:129
850;1204;1214;219.8813056379822;337;112:108,113:108,147:4,53:117
850;3656;19040;1200.0;9;230:9
850;3162;8359;600.0;54;256:16,243:12,278:26
850;2618;1825;218.42105263157896;114;128:114
850;1435;3049;180.0;263;224:13,228:47,153:4,95:30,124:64,125:53,61:52
850;1437;5685;355.7142857142857;42;227:27,239:3,231:12
851;852;625;60.0;57;42:57
852;853;197;60.0;57;42:57
853;854;376;60.0;57;42:57
854;855;31;60.0;57;42:57
855;856;509;60.0;56;42:56
855;2548;542;60.0;30;121:30
856;857;299;60.0;56;42:56
857;858;931;60.0;56;42:56
858;859;1684;171.42857142857142;56;42:56
858;1204;698;186.16822429906543;107;94:107
859;2617;1228;120.0;294;128:114,224:12,227:27,228:50,230:7,243:13,231:15,256:17,239:3,147:4,278:28,153:4
859;860;991;120.0;732;112:109,113:110,125:56,53:106,42:56,59:137,124:74,61:53,95:31
861;862;575;60.0;109;43:109
862;863;343;120.0;109;43:109
863;864;354;60.0;332;112:109,113:110,43:109,147:4
864;865;502;113.11926605504587;218;112:109,43:109
864;2455;422;60.0;114;113:110,147:4
865;866;435;60.0;420;112:109,155:10,52:33,70:105,56:54,43:109
865;867;934;180.0;104;80:104
866;867;511;118.36065573770492;366;112:109,43:109,52:33,155:10,70:105
866;1300;458;110.94339622641509;53;56:53
867;1712;340;97.74480712166172;337;80:104,112:109,155:10,150:9,70:105
867;1156;369;101.81818181818181;33;52:33
867;868;385;99.08256880733946;109;43:109
868;869;472;60.0;130;50:21,43:109
868;870;1253;240.0;417;49:113,107:119,85:59,119:126
869;1696;816;116.78571428571429;168;112:94,155:9,69:65
869;1161;806;159.06976744186048;129;150:9,110:120
869;870;790;179.58904109589042;146;112:15,50:21,43:109,155:1
871;872;679;60.0;292;112:107,43:109,155:11,69:65
871;873;1354;175.36764705882354;272;80:107,85:54,70:111
872;873;693;117.117903930131;229;112:109,43:109,155:11
872;1075;646;60.0;9;150:9
872;1097;603;120.0;221;50:28,69:65,110:128
873;874;299;60.0;482;80:107,112:109,155:11,52:33,70:113,43:109
873;1290;1543;197.77777777777777;54;85:54
874;1289;910;120.0;107;80:107
874;875;484;60.0;375;112:109,43:109,52:33,155:11,70:113
875;1169;537;120.0;33;52:33
875;876;545;120.0;218;112:109,43:109
875;1289;436;60.0;177;56:53,155:11,70:113
876;877;435;60.0;332;112:109,113:110,43:109,147:4
877;878;345;112.95180722891567;332;112:109,113:110,43:109,147:4
878;2447;598;112.19730941704036;223;112:109,113:110,147:4
878;879;429;60.0;109;43:109
879;880;570;60.0;109;43:109
880;881;386;99.63302752293578;109;43:109
881;882;176;60.0;109;43:109
882;883;494;60.0;162;56:53,43:109
883;884;327;60.0;162;56:53,43:109
884;885;641;120.0;162;56:53,43:109
886;887;153;60.0;160;56:54,43:106
887;888;751;120.0;160;56:54,43:106
887;2619;803;98.42105263157895;114;128:114
888;889;347;60.0;160;56:54,43:106
889;890;444;60.0;160;56:54,43:106
890;891;268;60.0;106;43:106
890;1295;592;110.0;54;56:54
891;861;367;100.18867924528301;106;43:106
892;893;934;167.71812080536913;298;44:220,77:78
893;894;377;60.0;459;368:1,51:24,148:4,87:28,138:43,251:28,44:220,77:78,142:33
894;895;365;60.0;459;368:1,51:24,148:4,87:28,138:43,251:28,44:220,77:78,142:33
895;896;624;54.37908496732026;459;368:1,51:24,148:4,87:28,138:43,251:28,44:220,77:78,142:33
896;897;782;60.0;302;148:4,44:220,77:78
896;1123;372;120.0;85;51:24,142:33,87:28
896;2790;613;60.0;72;368:1,138:43,251:28
897;898;314;60.0;302;148:4,44:220,77:78
898;899;958;120.0;224;148:4,44:220
898;1846;888;120.0;78;77:78
899;900;439;60.0;224;148:4,44:220
900;901;352;60.0;328;148:4,143:10,44:220,77:80,87:14
901;2881;354;60.0;10;143:10
901;1845;249;60.0;80;77:80
901;902;351;60.0;231;148:4,44:213,87:14
902;904;385;120.0;13;87:13
902;2059;574;167.14285714285714;14;87:14
903;904;408;60.0;221;148:5,44:216
904;1848;323;60.0;102;143:11,77:78,87:13
904;905;375;60.0;221;148:5,44:216
905;906;466;60.0;221;148:5,44:216
906;907;898;119.00332225913621;301;148:5,44:216,77:80
907;908;285;60.0;301;148:5,44:216,77:80
908;909;741;60.0;301;148:5,44:216,77:80
909;910;542;53.69098712446352;466;368:1,51:23,148:5,87:28,164:1,138:48,251:28,44:216,77:80,142:36
910;558;610;60.0;466;368:1,51:23,148:5,87:28,164:1,138:48,251:28,44:216,77:80,142:36
911;912;847;167.3202614379085;459;51:23,87:28,138:48,251:28,44:216,77:80,142:36
911;2988;465;60.0;6;368:1,148:5
913;914;446;60.0;282;73:114,155:9,108:123,45:36
914;915;463;112.12765957446808;282;73:114,155:9,108:123,45:36
915;1225;1793;222.4561403508772;171;54:171
915;1795;1214;60.0;114;73:114
915;916;433;120.0;36;45:36
915;923;570;120.0;132;155:9,108:123
916;917;374;60.0;38;45:38
917;918;310;60.0;38;45:38
918;919;452;60.0;38;45:38
919;920;351;96.3157894736842;38;45:38
920;921;540;85.94594594594595;74;92:36,45:38
921;922;515;60.0;74;92:36,45:38
922;923;375;60.0;74;92:36,45:38
923;924;262;60.0;197;108:123,92:36,45:38
923;925;1035;193.33333333333334;9;155:9
