stop_I;lat;lon;name
1;50.068435;14.507169;Skalka
2;50.073336;14.490091;Strašnická
3;50.07854;14.474891;Želivského
4;50.078288;14.461886;Flora
5;50.077642;14.45004;Jiřího z Poděbrad
6;50.075398;14.439078;Náměstí Míru
7;50.079847;14.430577;Muzeum - A
8;50.083943;14.424149;Můstek - A
9;50.088454;14.417066;Staroměstská
10;50.092176;14.409101;Malostranská
11;50.097671;14.402535;Hradčanská
12;50.100481;14.392462;Dejvická
13;50.098319;14.36212;Bořislavka
14;50.09551;14.348419;Nádraží Veleslavín
15;50.086608;14.345018;Petřiny
16;50.087075;14.344858;Petřiny
17;50.096355;14.350112;Nádraží Veleslavín
18;50.098363;14.363545;Bořislavka
19;50.100464;14.393888;Dejvická
20;50.097214;14.403785;Hradčanská
21;50.091274;14.409325;Malostranská
22;50.087953;14.418276;Staroměstská
23;50.083119;14.424965;Můstek - A
24;50.079082;14.432009;Muzeum - A
25;50.075225;14.440483;Náměstí Míru
26;50.077802;14.451461;Jiřího z Poděbrad
27;50.078266;14.463298;Flora
28;50.078027;14.476067;Želivského
29;50.072806;14.490938;Strašnická
30;50.068425;14.508556;Skalka
31;50.074985;14.340497;Nemocnice Motol
32;50.075351;14.341707;Nemocnice Motol
33;50.076191;14.514925;Depo Hostivař
34;50.076132;14.515078;Depo Hostivař
35;50.052798;14.291152;Zličín
36;50.046716;14.307241;Stodůlky
37;50.045365;14.321854;Luka
38;50.044515;14.331143;Lužiny
39;50.050026;14.343495;Hůrka
40;50.050856;14.35285;Nové Butovice
41;50.054316;14.370614;Jinonice
42;50.057942;14.388403;Radlická
43;50.061797;14.409112;Smíchovské nádraží
44;50.07049;14.404878;Anděl
45;50.074808;14.417579;Karlovo náměstí
46;50.080209;14.420439;Národní třída
47;50.083609;14.423983;Můstek - B
48;50.088974;14.43128;Náměstí Republiky
49;50.090437;14.438362;Florenc - B
50;50.092627;14.452043;Křižíkova
51;50.096976;14.463824;Invalidovna
52;50.10417;14.475436;Palmovka
53;50.106302;14.492291;Českomoravská
54;50.110167;14.501728;Vysočanská
55;50.110331;14.517115;Kolbenova
56;50.106531;14.537062;Hloubětín
57;50.106935;14.561205;Rajská zahrada
58;50.109058;14.577538;Černý Most
59;50.108877;14.576128;Černý Most
60;50.106761;14.559801;Rajská zahrada
61;50.106845;14.535719;Hloubětín
62;50.11046;14.515682;Kolbenova
63;50.109958;14.500434;Vysočanská
64;50.106026;14.491089;Českomoravská
65;50.103798;14.474155;Palmovka
66;50.096627;14.462479;Invalidovna
67;50.092466;14.450637;Křižíkova
68;50.090532;14.43693;Florenc - B
69;50.088677;14.429915;Náměstí Republiky
70;50.083215;14.422791;Můstek - B
71;50.079294;14.420148;Národní třída
72;50.074374;14.416377;Karlovo náměstí
73;50.069532;14.403572;Anděl
74;50.060814;14.409107;Smíchovské nádraží
75;50.058298;14.387114;Radlická
76;50.054098;14.369212;Jinonice
77;50.050831;14.351448;Nové Butovice
78;50.049992;14.342088;Hůrka
79;50.044479;14.329741;Lužiny
80;50.045979;14.320828;Luka
81;50.046687;14.305836;Stodůlky
82;50.053681;14.290809;Zličín
83;50.030756;14.526273;Háje
84;50.027862;14.508487;Opatov
85;50.031856;14.490329;Chodov
86;50.037914;14.476149;Roztyly
87;50.04198;14.458679;Kačerov
88;50.044769;14.44829;Budějovická
89;50.051454;14.439438;Pankrác
90;50.057205;14.432863;Pražského povstání
91;50.0636;14.430558;Vyšehrad
92;50.074794;14.430324;I. P. Pavlova
93;50.080567;14.431558;Muzeum - C
94;50.083895;14.434491;Hlavní nádraží
95;50.090447;14.43945;Florenc - C
96;50.100749;14.438559;Vltavská
97;50.109295;14.439774;Nádraží Holešovice
98;50.124235;14.454932;Kobylisy
99;50.126665;14.470059;Ládví
100;50.126655;14.468806;Ládví
101;50.124005;14.453577;Kobylisy
102;50.108534;14.440372;Nádraží Holešovice
103;50.099847;14.438426;Vltavská
104;50.089619;14.438892;Florenc - C
105;50.083115;14.433785;Hlavní nádraží
106;50.079861;14.431276;Muzeum - C
107;50.073871;14.430295;I. P. Pavlova
108;50.062681;14.430482;Vyšehrad
109;50.056508;14.433761;Pražského povstání
110;50.050601;14.439927;Pankrác
111;50.044052;14.449283;Budějovická
112;50.041696;14.459939;Kačerov
113;50.037425;14.477329;Roztyly
114;50.031392;14.491431;Chodov
115;50.027915;14.509895;Opatov
116;50.03081;14.527675;Háje
117;50.126531;14.488722;Střížkov
118;50.118655;14.499062;Prosek
119;50.126741;14.516033;Letňany
120;50.126314;14.515926;Letňany
121;50.119166;14.498572;Prosek
122;50.12713;14.488199;Střížkov
123;50.09219;14.481012;Strážní
124;50.09249;14.485837;Chmelnice
125;50.09215;14.492481;Kněžská luka
126;50.091506;14.499407;Spojovací
127;50.091841;14.498598;Spojovací
128;50.092185;14.492967;Kněžská luka
129;50.092555;14.48696;Chmelnice
130;50.092317;14.481535;Strážní
131;50.091683;14.475439;Vozovna Žižkov
132;50.090592;14.469092;Ohrada
133;50.095083;14.474851;Krejcárek
134;50.103535;14.471817;Palmovka
135;50.103452;14.464878;Libeňský most
136;50.103348;14.452656;Maniny
137;50.100778;14.450016;Tusarova
138;50.098339;14.444099;Pražská tržnice
139;50.099226;14.438121;Vltavská
140;50.098883;14.433691;Strossmayerovo náměstí
141;50.099709;14.428566;Kamenická
142;50.100001;14.423117;Letenské náměstí
143;50.099704;14.42058;Korunovační
144;50.09899;14.41613;Sparta
145;50.09721;14.403853;Hradčanská
146;50.09473;14.39387;Prašný most
147;50.09357;14.389065;Vozovna Střešovice
148;50.09287;14.383685;Sibeliova
149;50.092917;14.378877;Ořechovka
150;50.092398;14.369409;Baterie
151;50.091761;14.359789;Vojenská nemocnice
152;50.08977;14.350998;Větrník
153;50.088143;14.344634;Petřiny
154;50.086614;14.339737;Sídliště Petřiny
155;50.086974;14.339774;Sídliště Petřiny
156;50.0882;14.345178;Petřiny
157;50.089753;14.351194;Větrník
158;50.091738;14.3603;Vojenská nemocnice
159;50.092391;14.369828;Baterie
160;50.092837;14.379547;Ořechovka
161;50.092783;14.384203;Sibeliova
162;50.094184;14.390646;Vozovna Střešovice
163;50.094908;14.396276;Prašný most
164;50.097296;14.404872;Hradčanská
165;50.099607;14.420847;Sparta
166;50.099949;14.42409;Letenské náměstí
167;50.099479;14.429257;Kamenická
168;50.098895;14.432892;Strossmayerovo náměstí
169;50.098814;14.438765;Vltavská
170;50.098269;14.444278;Pražská tržnice
171;50.102633;14.450038;Dělnická
172;50.103245;14.453871;Maniny
173;50.103398;14.465742;Libeňský most
174;50.102475;14.473385;Palmovka
175;50.095008;14.474674;Krejcárek
176;50.090671;14.470091;Ohrada
177;50.091492;14.474534;Vozovna Žižkov
178;50.091337;14.475182;Vozovna Žižkov
179;50.093946;14.336718;Nad Džbánem
180;50.095977;14.348343;Nádraží Veleslavín
181;50.096839;14.352971;Červený Vrch
182;50.09798;14.359187;Sídliště Červený Vrch
183;50.098521;14.364549;Bořislavka
184;50.098958;14.369691;Na Pískách
185;50.099423;14.375145;Hadovka
186;50.100107;14.387045;Thákurova
187;50.100332;14.391483;Dejvická
188;50.099526;14.395489;Vítězné náměstí
189;50.100076;14.395533;Vítězné náměstí
190;50.100374;14.390613;Dejvická
191;50.10011;14.385787;Thákurova
192;50.099551;14.375712;Hadovka
193;50.099086;14.370344;Na Pískách
194;50.098567;14.363779;Bořislavka
195;50.098069;14.359286;Sídliště Červený Vrch
196;50.09682;14.352312;Červený Vrch
197;50.095721;14.346082;Nádraží Veleslavín
198;50.0941;14.3372;Nad Džbánem
199;50.093161;14.331469;Vozovna Vokovice
200;50.068031;14.346666;Hotel Golf
201;50.06855;14.354298;Poštovka
202;50.069563;14.362922;Kotlářka
203;50.070043;14.370629;Kavalírka
204;50.070625;14.380026;Klamovka
205;50.07154;14.387218;U Zvonu
206;50.072233;14.393289;Bertramka
207;50.071928;14.40363;Anděl
208;50.076249;14.4042;Arbesovo náměstí
209;50.078484;14.404174;Švandovo divadlo
210;50.080538;14.40465;Újezd
211;50.084185;14.404471;Hellichova
212;50.088271;14.404479;Malostranské náměstí
213;50.090946;14.409986;Malostranská
214;50.095306;14.40902;Chotkovy sady
215;50.072398;14.408092;Zborovská
216;50.07323;14.415246;Palackého náměstí
217;50.075302;14.419108;Karlovo náměstí
218;50.075601;14.423317;Štěpánská
219;50.075405;14.431688;I. P. Pavlova
220;50.074921;14.43689;Náměstí Míru
221;50.075292;14.443555;Šumavská
222;50.075356;14.450124;Vinohradská vodárna
223;50.075386;14.454093;Perunova
224;50.075504;14.458949;Orionka
225;50.07788;14.462434;Flora
226;50.078115;14.467347;Olšanské hřbitovy
227;50.078332;14.471672;Želivského
228;50.08223;14.471618;Mezi Hřbitovy
