from_stop_I;to_stop_I;d;duration_avg;n_vehicles;route_I_counts
1;2;1336;126.99248120300751;266;1:266
2;3;1230;91.99248120300751;266;1:266
3;4;929;77.03007518796993;266;1:266
4;5;849;71.01503759398496;266;1:266
5;6;822;71.01503759398496;266;1:266
6;7;783;71.01503759398496;266;1:266
7;8;647;61.015037593984964;266;1:266
8;9;712;66.01503759398496;266;1:266
9;10;703;65.0;266;1:266
10;11;770;76.01503759398496;266;1:266
11;12;784;80.0;266;1:266
12;13;2179;147.06766917293234;266;1:266
13;14;1027;86.03383458646617;266;1:266
14;15;1020;96.03383458646617;266;1:266
15;31;1333;116.11842105263158;152;1:152
16;17;1099;87.9622641509434;265;1:265
17;18;984;82.9622641509434;265;1:265
18;19;2179;135.0;265;1:265
19;20;793;67.95112781954887;266;1:266
20;21;770;70.0;266;1:266
21;22;738;65.0;266;1:266
22;23;719;67.95112781954887;266;1:266
23;24;674;67.95112781954887;266;1:266
24;25;742;77.95112781954887;266;1:266
25;26;835;72.95112781954887;266;1:266
26;27;847;77.95112781954887;266;1:266
27;28;912;77.95112781954887;266;1:266
28;29;1211;100.90225563909775;266;1:266
29;1;1257;144.80769230769232;78;1:78
29;30;1349;143.45744680851064;188;1:188
30;33;976;118.51851851851852;27;1:27
30;34;976;117.44360902255639;133;1:133
32;16;1324;107.74509803921569;153;1:153
33;1;1025;116.29629629629629;27;1:27
34;1;1026;116.09848484848484;132;1:132
35;36;1334;105.0;272;2:272
36;37;1055;82.86764705882354;272;2:272
37;38;670;62.86764705882353;272;2:272
38;39;1075;80.0;272;2:272
39;40;675;60.0;272;2:272
40;41;1326;95.0;275;2:275
41;42;1333;95.0;275;2:275
42;43;1540;140.0;275;2:275
43;44;1013;85.0;277;2:277
44;45;1026;90.0;277;2:277
45;46;635;60.0;277;2:277
46;47;455;50.0;277;2:277
47;48;792;70.0;277;2:277
48;49;531;55.0;277;2:277
49;50;1007;80.0;277;2:277
50;51;970;77.85198555956678;277;2:277
51;52;1152;90.0;277;2:277
52;53;1226;92.85198555956678;277;2:277
53;54;799;65.0;277;2:277
54;55;1098;82.85198555956678;277;2:277
55;56;1485;105.0;277;2:277
56;57;1724;115.0;277;2:277
57;58;1189;90.0;277;2:277
59;60;1189;87.47292418772564;277;2:277
60;61;1719;112.47292418772564;277;2:277
61;62;1486;102.47292418772564;277;2:277
62;63;1089;80.0;277;2:277
63;64;797;67.47292418772564;277;2:277
64;65;1234;90.0;278;2:278
65;66;1154;90.0;278;2:278
66;67;964;80.0;278;2:278
67;68;1002;80.0;278;2:278
68;69;541;57.46402877697842;278;2:278
69;70;792;70.0;278;2:278
70;71;475;55.0;278;2:278
71;72;610;60.0;278;2:278
72;73;1061;90.0;278;2:278
73;74;1047;90.0;278;2:278
74;75;1596;140.0;277;2:277
75;76;1362;100.0;277;2:277
76;77;1320;100.0;277;2:277
77;78;675;65.0;275;2:275
78;79;1075;90.0;275;2:275
79;80;658;60.0;275;2:275
80;81;1074;80.0;275;2:275
81;82;1326;100.0;275;2:275
83;84;1312;90.0;334;3:334
84;85;1372;100.0;334;3:334
85;86;1217;95.0;334;3:334
86;87;1328;95.0;334;3:334
87;88;804;70.0;349;3:349
88;89;976;80.0;349;3:349
89;90;794;80.0;349;3:349
90;91;730;70.0;349;3:349
91;92;1246;105.0;349;3:349
92;93;648;70.0;349;3:349
93;94;425;50.0;349;3:349
94;95;810;80.0;349;3:349
95;96;1148;90.0;349;3:349
96;97;955;80.0;349;3:349
97;98;1984;155.0;349;3:349
98;99;1112;95.0;349;3:349
99;117;1331;105.0;202;3:202
100;101;1126;100.0;349;3:349
101;102;1963;170.0;349;3:349
102;103;976;80.0;350;3:350
103;104;1139;95.0;350;3:350
104;105;810;75.0;350;3:350
105;106;404;50.0;350;3:350
106;107;670;70.0;350;3:350
107;108;1245;90.0;350;3:350
108;109;726;70.0;350;3:350
109;110;791;70.0;350;3:350
110;111;989;80.0;350;3:350
111;112;805;75.0;350;3:350
112;113;1331;100.0;322;3:322
113;114;1211;90.0;322;3:322
114;115;1375;100.0;322;3:322
115;116;1311;95.0;322;3:322
117;118;1146;80.0;202;3:202
118;119;1509;130.0;202;3:202
120;121;1472;135.0;201;3:201
121;122;1155;80.0;201;3:201
122;100;1385;105.0;201;3:201
