from_stop_I;to_stop_I;d;duration_avg;n_vehicles;route_I_counts
123;124;346;60.0;478;12:227,35:9,4:122,14:120
124;125;476;60.0;478;12:227,35:9,4:122,14:120
125;126;499;103.68200836820084;478;12:227,35:9,4:122,14:120
127;128;403;60.0;469;12:220,35:12,4:118,14:119
128;129;430;60.0;469;12:220,35:12,4:118,14:119
129;130;388;60.0;469;12:220,35:12,4:118,14:119
130;131;441;60.0;469;12:220,35:12,4:118,14:119
131;132;469;60.0;455;12:216,35:10,4:112,14:117
132;298;229;113.44;375;16:2,18:14,35:10,25:6,8:2,9:7,10:1,27:2,12:218,14:113
132;133;647;180.0;123;9:2,27:3,4:112,14:4,25:2
133;400;966;233.79310344827587;116;26:2,19:110,14:4
133;364;1055;235.5737704918033;122;32:9,25:2,13:111
133;134;965;180.0;119;9:4,27:3,4:112
134;135;495;113.13929313929314;481;17:110,4:112,5:2,31:9,9:122,26:112,27:3,20:1,15:10
135;136;872;120.0;481;17:110,4:112,5:2,31:9,9:122,26:112,27:3,20:1,15:10
136;137;342;60.0;340;17:110,4:112,5:2,26:112,27:3,15:1
136;507;256;60.0;141;9:122,31:9,20:1,15:9
137;138;502;120.0;451;17:110,4:112,5:2,26:112,27:3,15:112
138;139;438;120.0;451;17:110,4:112,5:2,26:112,27:3,15:112
139;140;318;60.0;341;26:112,27:3,4:112,5:2,15:112
139;629;848;120.0;110;17:110
140;141;377;105.92375366568915;341;26:112,27:3,4:112,5:2,15:112
141;142;390;60.0;577;33:9,27:112,4:112,5:2,26:112,11:109,28:9,15:112
142;143;184;60.0;577;33:9,27:112,4:112,5:2,26:112,11:109,28:9,15:112
143;144;327;60.0;577;33:9,27:112,4:112,5:2,26:112,11:109,28:9,15:112
144;145;898;177.67741935483872;465;33:9,11:109,4:112,5:2,26:112,27:112,28:9
144;271;653;174.64285714285714;112;15:112
145;146;764;120.0;355;33:9,26:113,34:9,4:114,5:110
145;189;674;120.0;452;11:109,4:1,21:110,22:111,27:112,28:9
146;664;267;120.0;13;24:13
146;147;366;60.0;382;33:9,26:124,34:9,4:122,5:118
146;709;184;120.0;3;24:3
147;148;392;120.0;249;33:9,4:122,5:118
147;711;450;109.17293233082707;133;26:124,34:9
148;149;343;60.0;249;33:9,4:122,5:118
149;150;678;60.0;249;33:9,4:122,5:118
150;151;690;120.0;249;33:9,4:122,5:118
151;152;665;60.0;249;33:9,4:122,5:118
152;153;489;60.0;249;33:9,4:122,5:118
153;154;388;100.76335877862596;131;33:9,4:122
153;270;390;105.2542372881356;118;5:118
