from_stop_I;to_stop_I;d;d_walk
1;704;865;988
1;705;467;629
1;706;501;634
1;2243;595;737
1;2244;238;272
1;6195;483;600
1;783;77;170
1;784;263;396
1;785;401;518
1;786;727;814
1;707;813;905
1;789;660;740
1;790;360;488
1;2393;565;697
1;2298;477;559
1;2394;574;692
1;2234;76;145
1;30;100;205
1;6179;825;936
1;2275;446;520
1;2236;630;773
1;5868;50;71
1;6194;486;687
1;690;768;927
1;691;474;718
1;692;500;576
1;2235;247;287
1;1017;696;966
1;1018;60;90
1;763;452;492
1;764;32;33
1;765;269;374
1;766;50;78
1;767;466;500
2;320;318;443
2;321;80;110
2;322;296;418
2;707;830;996
2;2243;794;918
2;2241;671;779
2;2242;431;537
2;461;373;575
2;462;515;759
2;657;377;527
2;658;634;830
2;659;790;960
2;660;575;759
2;661;331;579
2;6038;350;478
2;6105;373;575
2;6106;496;725
2;477;478;695
2;6034;560;814
2;6033;383;562
2;6177;353;553
2;6178;605;794
2;294;448;633
2;295;587;843
2;2236;758;871
2;1515;785;993
2;29;85;139
2;5869;43;50
2;303;533;769
2;304;412;565
2;305;180;301
2;306;87;134
2;307;382;499
2;2238;846;970
2;2237;450;520
2;6036;180;301
2;1978;542;741
2;1979;204;306
2;1980;126;193
2;1981;108;147
2;1982;539;743
2;6037;78;120
3;300;414;510
3;301;40;65
3;6034;749;769
3;6035;427;453
3;302;464;487
3;27;829;972
3;28;102;128
3;1605;769;943
3;5998;777;899
3;294;924;937
3;295;716;755
3;296;390;409
3;297;48;110
3;299;785;883
3;2092;36;49
3;2093;61;217
3;2094;81;247
3;303;781;812
3;564;750;925
3;3126;802;869
3;3127;201;259
3;3128;219;279
3;2238;583;930
3;2239;569;824
3;2240;597;878
3;581;726;852
3;1350;191;299
3;1351;499;631
3;2095;829;891
3;226;542;599
3;1359;545;946
3;1360;499;659
3;1361;163;268
3;478;294;349
3;479;605;656
3;225;893;958
3;1378;50;80
3;227;232;307
3;228;473;559
3;229;856;948
3;5994;926;983
3;5995;574;640
3;5996;141;203
3;5997;443;539
3;5870;51;66
3;637;576;690
4;480;49;200
4;5995;361;459
4;1605;549;909
4;6022;324;490
4;225;60;282
4;1608;588;696
4;300;798;966
4;1607;71;266
4;226;391;482
4;5997;810;994
4;1361;794;958
4;595;343;627
4;596;616;981
4;1606;330;585
4;26;747;960
4;27;101;112
4;478;637;764
4;479;327;411
4;224;375;668
4;481;565;756
4;6114;558;750
4;227;700;797
4;613;337;501
4;614;824;992
4;5992;630;986
4;5993;359;649
4;5994;44;171
4;747;641;999
4;492;551;891
4;1378;886;1000
4;5871;51;68
4;1592;486;651
4;1593;90;285
4;1594;330;612
4;1595;443;733
4;5996;791;887
4;637;366;547
4;255;310;486
5;6020;574;607
5;6021;61;238
5;6;823;952
5;6101;697;947
5;5990;510;639
5;596;400;662
5;597;251;347
5;598;488;612
5;25;734;886
5;26;104;346
5;6100;663;905
5;221;533;664
5;222;255;414
5;223;384;651
5;224;680;985
5;6022;532;715
5;613;518;698
5;614;53;216
5;615;520;555
5;5992;392;663
5;252;927;976
5;5991;251;386
5;5872;52;54
5;5873;778;926
5;437;661;937
5;438;721;981
5;1593;761;986
5;1594;675;968
5;443;672;930
5;444;667;871
5;253;627;664
5;254;114;177
5;255;547;728
6;512;504;627
6;6016;829;973
6;6018;605;753
6;6019;366;479
6;6020;283;380
6;7;784;976
6;1546;518;655
6;1547;315;402
6;5990;343;352
6;6168;566;698
6;24;651;807
6;25;103;132
6;1566;109;162
6;1567;294;429
6;1568;523;648
6;5873;52;65
6;92;630;759
6;2995;630;731
6;436;311;356
6;437;737;830
6;1850;722;849
6;444;682;774
6;445;240;280
6;446;225;244
6;447;607;678
6;5918;638;731
6;1861;723;841
6;5991;761;772
6;6100;709;798
6;597;733;734
6;598;365;369
6;6021;777;898
6;219;528;592
6;220;166;186
6;221;321;367
6;222;790;800
6;6017;494;606
6;5988;542;674
6;5989;195;216
6;614;840;947
6;615;323;428
6;616;427;539
6;617;609;756
6;618;512;607
6;107;651;693
6;253;249;330
6;5872;874;999
6;625;563;775
6;626;570;673
6;6099;275;314
6;248;768;876
6;249;484;586
6;250;528;653
6;251;602;728
6;252;308;404
6;106;747;937
6;254;713;837
7;512;799;939
7;6017;786;918
7;3074;477;582
7;6019;449;543
7;6020;878;971
7;8;648;799
7;5897;650;860
7;1546;506;760
7;1547;472;619
7;6018;179;222
7;3011;65;71
7;23;542;591
7;24;134;176
7;1566;774;964
7;1567;503;665
7;1568;540;796
7;220;710;899
7;47;631;818
7;5988;453;612
7;2995;534;621
7;350;561;770
7;6070;424;527
7;6071;536;732
7;1850;579;608
7;5919;73;81
7;1853;818;941
7;446;664;822
7;447;480;577
7;448;744;958
7;1857;859;997
7;3010;473;593
7;1859;811;867
7;1860;690;807
7;1861;558;595
7;70;671;853
7;71;748;987
7;3016;458;561
7;6069;597;779
7;5918;615;691
7;5987;723;937
7;348;584;757
7;356;610;767
7;218;702;920
7;219;501;663
7;92;563;649
7;93;107;157
7;94;531;576
7;6117;760;827
7;354;511;701
7;355;420;499
7;484;767;826
7;5989;687;858
7;616;383;467
7;617;176;228
7;618;447;576
7;107;666;755
7;253;825;912
7;489;755;820
7;5874;67;176
7;5875;595;739
7;3006;651;860
7;349;430;556
7;105;430;574
7;249;773;914
7;250;390;557
7;251;183;255
7;252;515;600
7;106;50;103
7;5920;481;523
8;3072;690;869
8;6018;826;979
8;516;629;775
8;517;782;951
8;5896;542;840
8;9;713;875
8;3213;728;995
8;3214;709;883
8;6031;767;981
8;3217;596;778
8;274;767;981
8;275;720;802
