from_stop_I;to_stop_I;d;duration_avg;n_vehicles;route_I_counts;route_type
1;2;400;115.05154639175258;97;1:97;3
2;3;221;4.948453608247423;97;1:97;3
3;4;289;115.05154639175258;97;1:97;3
4;5;342;60.46153846153846;130;1:97,20:33;3
5;6;349;60.0;130;1:97,20:33;3
6;99;233;60.0;33;20:33;3
6;7;332;111.34020618556701;97;1:97;3
7;528;475;109.28571428571429;56;11:56;3
7;8;432;118.14432989690722;97;1:97;3
8;9;282;58.87850467289719;107;1:97,35:10;3
9;10;428;111.2621359223301;206;1:97,7:109;3
9;11;708;162.0;10;35:10;3
10;11;288;61.35849056603774;265;16:26,1:97,12:33,7:109;3
11;497;292;92.72727272727273;33;12:33;3
11;12;332;60.0;206;1:97,7:109;3
11;509;494;136.04651162790697;86;16:26,35:10,36:11,21:39;3
12;13;439;167.3482428115016;313;1:97,5:107,7:109;3
13;14;167;60.0;313;1:97,5:107,7:109;3
14;23;283;172.9073482428115;313;1:97,5:107,7:109;3
15;24;296;110.69620253164557;316;1:98,5:109,7:109;3
16;80;405;171.61290322580646;93;1:93;3
16;17;252;103.4090909090909;264;27:48,5:107,7:109;3
17;18;304;125.80645161290323;155;27:48,5:107;3
17;357;317;120.0;109;7:109;3
18;235;337;60.0;155;27:48,5:107;3
19;654;411;65.0;48;27:48;3
20;21;257;114.15730337078652;267;27:49,5:109,7:109;3
21;22;211;64.04494382022472;267;27:49,5:109,7:109;3
22;515;233;145.71428571428572;49;27:49;3
22;15;223;176.73076923076923;312;1:94,5:109,7:109;3
23;16;173;60.0;309;1:93,5:107,7:109;3
24;25;242;70.13404825737265;373;1:98,9:57,5:109,7:109;3
25;26;296;111.59420289855072;207;1:98,7:109;3
25;162;282;120.0;57;9:57;3
25;247;273;108.9908256880734;109;5:109;3
26;176;317;60.0;34;12:34;3
26;28;589;207.27272727272728;11;35:11;3
26;27;286;67.53623188405797;207;1:98,7:109;3
26;12;261;60.0;107;5:107;3
26;486;455;207.45762711864407;59;9:59;3
27;28;305;106.66666666666667;207;1:98,7:109;3
28;29;262;13.333333333333334;207;1:98,7:109;3
28;30;687;125.45454545454545;11;35:11;3
29;30;425;114.20289855072464;207;1:98,7:109;3
30;383;282;60.0;11;35:11;3
30;358;370;116.69724770642202;109;7:109;3
30;31;258;60.0;98;1:98;3
31;32;383;87.05882352941177;153;1:98,11:55;3
32;33;342;104.6938775510204;98;1:98;3
32;530;329;130.9090909090909;55;11:55;3
33;34;438;73.74045801526718;131;1:98,20:33;3
34;35;315;60.0;131;1:98,20:33;3
35;427;471;89.0909090909091;33;20:33;3
35;36;294;49.59183673469388;98;1:98;3
36;37;209;60.0;98;1:98;3
37;38;362;60.0;98;1:98;3
38;551;344;60.0;98;1:98;3
39;378;271;64.36363636363636;55;11:55;3
39;91;322;60.0;148;9:59,2:89;3
40;92;299;60.0;200;9:57,2:87,11:56;3
41;42;197;60.0;148;9:59,2:89;3
42;297;237;57.96610169491525;59;9:59;3
42;43;203;50.561797752808985;89;2:89;3
43;44;509;120.0;89;2:89;3
44;45;274;60.0;89;2:89;3
45;46;347;79.67213114754098;122;2:89,12:33;3
46;166;361;83.63636363636364;33;12:33;3
46;47;360;120.0;89;2:89;3
47;48;176;60.0;89;2:89;3
48;82;316;114.6067415730337;89;2:89;3
49;192;543;120.34682080924856;173;8:66,4:107;3
49;83;301;100.0;87;2:87;3
49;357;492;237.85714285714286;84;6:84;3
50;49;327;118.42931937172774;191;4:107,6:84;3
51;283;319;228.27586206896552;87;2:87;3
51;22;366;128.29787234042553;94;1:94;3
51;191;424;210.0;66;8:66;3
52;51;188;83.56275303643724;247;8:66,1:94,2:87;3
53;52;241;77.24696356275304;247;8:66,1:94,2:87;3
54;53;413;114.41295546558705;247;8:66,1:94,2:87;3
55;56;344;71.46067415730337;89;2:89;3
56;57;363;101.12359550561797;89;2:89;3
57;58;349;57.97752808988764;89;2:89;3
58;59;328;60.0;89;2:89;3
59;72;340;76.85393258426966;89;2:89;3
61;62;308;60.0;155;8:66,2:89;3
62;63;303;76.64516129032258;155;8:66,2:89;3
63;64;246;17.806451612903224;155;8:66,2:89;3
64;65;232;42.193548387096776;155;8:66,2:89;3
65;529;169;34.54545454545455;66;8:66;3
65;66;206;60.0;89;2:89;3
66;67;166;60.0;87;2:87;3
67;68;293;60.0;154;8:67,2:87;3
68;69;263;37.4025974025974;154;8:67,2:87;3
69;70;265;62.72727272727273;154;8:67,2:87;3
70;71;269;60.0;154;8:67,2:87;3
71;538;355;60.0;87;2:87;3
71;471;378;60.0;67;8:67;3
72;61;362;60.0;89;2:89;3
73;74;364;103.44827586206897;87;2:87;3
74;75;478;85.51724137931035;87;2:87;3
75;76;363;98.62068965517241;87;2:87;3
76;77;274;60.0;87;2:87;3
77;190;431;75.86206896551724;87;2:87;3
78;216;473;72.53012048192771;249;8:67,1:93,2:89;3
79;425;178;110.60240963855422;249;8:67,1:93,2:89;3
80;505;243;139.2;25;26:25;3
80;493;223;173.76623376623377;77;24:40,25:37;3
80;79;246;69.87951807228916;249;8:67,1:93,2:89;3
81;80;325;169.8876404494382;89;2:89;3
82;81;439;177.30337078651687;89;2:89;3
82;147;374;180.0;192;4:108,6:84;3
82;215;320;147.76119402985074;67;8:67;3
83;84;255;89.65517241379311;87;2:87;3
84;85;314;100.0;87;2:87;3
85;86;412;69.91735537190083;121;2:87,12:34;3
86;173;321;111.17647058823529;34;12:34;3
86;87;218;56.55172413793103;87;2:87;3
87;88;364;68.27586206896552;87;2:87;3
88;89;369;118.62068965517241;87;2:87;3
89;90;201;40.416666666666664;144;9:57,2:87;3
90;40;431;121.25;144;9:57,2:87;3
91;41;353;71.75675675675676;148;9:59,2:89;3
92;329;205;23.1;200;9:57,2:87,11:56;3
93;94;453;134.34782608695653;92;3:92;3
94;95;228;60.0;92;3:92;3
95;96;293;54.130434782608695;92;3:92;3
96;97;377;65.21739130434783;92;3:92;3
97;98;281;60.0;92;3:92;3
98;518;362;60.0;92;3:92;3
99;384;170;60.0;33;20:33;3
99;180;172;22.90909090909091;55;11:55;3
99;100;141;53.47826086956522;92;3:92;3
100;101;446;114.1304347826087;92;3:92;3
100;158;410;116.36363636363636;33;12:33;3
101;102;269;84.78260869565217;92;3:92;3
102;103;278;60.0;92;3:92;3
103;104;239;60.0;92;3:92;3
104;105;175;60.0;92;3:92;3
105;106;339;120.0;92;3:92;3
106;533;217;63.91304347826087;92;3:92;3
107;108;434;154.56521739130434;92;3:92;3
108;109;347;76.29139072847683;151;9:59,3:92;3
109;110;433;116.42384105960265;151;9:59,3:92;3
110;124;219;51.86440677966102;59;9:59;3
110;111;199;60.0;92;3:92;3
111;112;278;60.0;92;3:92;3
112;113;214;63.91304347826087;92;3:92;3
113;114;332;64.56521739130434;92;3:92;3
114;115;220;60.0;92;3:92;3
115;116;423;109.56521739130434;92;3:92;3
116;117;234;60.0;92;3:92;3
117;521;342;62.44897959183673;147;10:55,3:92;3
118;400;194;60.0;56;10:56;3
118;119;320;103.69565217391305;92;3:92;3
119;120;334;60.0;92;3:92;3
120;121;279;60.0;92;3:92;3
121;122;308;70.43478260869566;92;3:92;3
122;123;235;101.08695652173913;92;3:92;3
123;300;266;70.43478260869566;92;3:92;3
124;301;233;60.0;59;9:59;3
125;548;164;47.51677852348993;149;9:57,3:92;3
126;481;403;232.17391304347825;92;3:92;3
126;127;444;234.73684210526315;57;9:57;3
127;325;169;60.0;57;9:57;3
128;129;507;178.04347826086956;92;3:92;3
129;130;243;60.0;92;3:92;3
130;131;214;56.73913043478261;92;3:92;3
131;132;356;113.47826086956522;92;3:92;3
132;133;369;81.52173913043478;92;3:92;3
133;181;585;120.0;34;12:34;3
133;134;220;61.95652173913044;92;3:92;3
134;33;174;52.72727272727273;33;20:33;3
134;531;217;55.945945945945944;148;11:56,3:92;3
135;136;293;61.95652173913044;92;3:92;3
136;137;351;64.56521739130434;92;3:92;3
137;138;318;66.52173913043478;92;3:92;3
138;331;243;60.0;92;3:92;3
139;332;189;29.634146341463413;164;11:55,7:109;3
140;506;292;96.36363636363636;198;4:114,6:84;3
140;141;536;60.0;9;19:9;3
141;508;941;120.0;201;4:117,6:84;3
141;143;1482;240.0;9;19:9;3
142;145;1090;180.0;64;20:33,31:31;3
142;487;1277;251.35135135135135;37;33:37;3
142;143;255;57.3134328358209;201;4:117,6:84;3
143;144;467;60.0;201;4:117,6:84;3
143;549;826;346.6666666666667;9;19:9;3
144;145;367;109.25373134328358;201;4:117,6:84;3
145;50;276;125.96858638743456;191;4:107,6:84;3
145;490;224;83.63636363636364;33;20:33;3
145;147;272;180.0;10;4:10;3
145;146;272;69.6774193548387;31;31:31;3
146;148;319;207.09677419354838;31;31:31;3
146;476;482;180.0;39;23:39;3
147;148;321;66.20689655172414;203;4:119,6:84;3
148;149;406;104.92610837438424;203;4:119,6:84;3
148;151;1134;180.0;100;33:36,20:33,31:31;3
149;150;401;60.0;203;4:119,6:84;3
150;153;1562;240.0;7;19:7;3
150;151;326;60.0;203;4:119,6:84;3
151;456;954;201.5625;64;20:33,31:31;3
151;385;443;136.66666666666666;36;33:36;3
151;152;227;55.86206896551724;203;4:119,6:84;3
152;153;1019;123.8423645320197;203;4:119,6:84;3
153;507;192;60.0;201;4:117,6:84;3
153;511;538;111.42857142857143;7;19:7;3
154;183;288;59.33701657458563;181;12:33,19:7,4:117,13:20,15:4;3
155;280;288;60.0;183;12:34,19:9,4:114,13:20,15:6;3
156;157;357;60.0;120;11:56,12:33,31:31;3
157;384;504;77.41935483870968;31;31:31;3
157;100;575;120.0;33;12:33;3
157;134;506;117.85714285714286;56;11:56;3
158;159;281;3.6363636363636362;33;12:33;3
159;178;253;60.0;33;12:33;3
160;179;466;88.23529411764706;34;12:34;3
161;10;392;120.0;33;12:33;3
162;163;199;67.27272727272727;33;12:33;3
162;326;167;108.42105263157895;57;9:57;3
163;164;268;107.27272727272727;33;12:33;3
164;165;251;67.27272727272727;33;12:33;3
165;45;358;83.63636363636364;33;12:33;3
166;171;260;60.0;33;12:33;3
167;172;318;60.0;34;12:34;3
167;262;402;97.22222222222223;108;4:108;3
168;169;252;110.9090909090909;33;12:33;3
169;170;357;130.58823529411765;34;12:34;3
170;167;198;60.0;142;12:34,4:108;3
171;168;331;67.27272727272727;33;12:33;3
171;263;307;72.89719626168224;107;4:107;3
172;85;357;111.17647058823529;34;12:34;3
173;174;183;60.0;34;12:34;3
174;175;197;67.05882352941177;34;12:34;3
175;26;367;146.47058823529412;34;12:34;3
176;177;326;84.70588235294117;34;12:34;3
177;160;467;93.52941176470588;34;12:34;3
178;161;147;56.36363636363637;33;12:33;3
179;133;415;114.70588235294117;34;12:34;3
180;181;399;60.0;86;11:55,31:31;3
181;182;419;60.5;120;11:55,12:34,31:31;3
182;592;1022;137.41935483870967;31;31:31;3
182;282;556;120.0;55;11:55;3
182;155;469;88.23529411764706;34;12:34;3
183;281;337;60.4054054054054;148;19:7,4:117,13:20,15:4;3
183;156;445;92.72727272727273;33;12:33;3
184;527;543;103.88059701492537;67;8:67;3
185;186;514;68.18181818181819;66;8:66;3
186;187;389;60.0;66;8:66;3
187;218;242;60.0;66;8:66;3
188;219;275;60.0;67;8:67;3
189;190;376;79.125;160;8:66,1:94;3
190;54;509;125.58704453441295;247;8:66,1:94,2:87;3
191;49;270;70.0;66;8:66;3
