stop_I;lat;lon;name
1;48.129077;-1.63253;Longs Champs
2;48.128283;-1.637782;Bouzat
3;48.127369;-1.640433;Gallet
4;48.125244;-1.642676;Donzelot
5;48.123363;-1.646317;Mirabeau
6;48.12229;-1.650742;Turmel
7;48.121446;-1.655036;Assomption
8;48.123212;-1.660216;Painlevé
9;48.121635;-1.663186;Metz Volney
10;48.119241;-1.667693;Guéhenno
11;48.118312;-1.671315;Fac de Droit
12;48.11605;-1.674245;Sévigné
13;48.113739;-1.679038;Sainte-Anne
14;48.11252;-1.680352;Champ Jacquet
15;48.110073;-1.680101;République
16;48.108415;-1.680213;Les Halles
17;48.106204;-1.680999;Plélo Colombier
18;48.105084;-1.684731;Cité Judiciaire
19;48.097442;-1.689566;Mermoz
20;48.105444;-1.684005;Cité Judiciaire
21;48.106222;-1.680736;Plélo Colombier
22;48.108066;-1.680048;Les Halles
23;48.109977;-1.680268;République
24;48.112738;-1.680211;Champ Jacquet
25;48.11482;-1.679242;Sainte-Anne
26;48.117163;-1.677351;Hôtel Dieu
27;48.117513;-1.673538;Sévigné
28;48.118281;-1.669591;Fac de Droit
29;48.119572;-1.666629;Guéhenno
30;48.121987;-1.662185;Metz Volney
31;48.123242;-1.659266;Painlevé
32;48.12128;-1.655029;Assomption
33;48.122185;-1.650619;Turmel
34;48.123677;-1.645158;Mirabeau
35;48.125556;-1.64198;Donzelot
36;48.127801;-1.639871;Gallet
37;48.128209;-1.637118;Bouzat
38;48.128998;-1.63238;Longs Champs
39;48.130069;-1.684377;Donelière
40;48.128749;-1.6836;Trois Croix
41;48.124255;-1.681766;Cimetière Nord
42;48.123614;-1.684238;Saint-Martin
43;48.122179;-1.685924;ESPE de Bretagne
44;48.11824;-1.689403;Anatole France
45;48.11612;-1.691288;La Touche
46;48.113357;-1.693476;Brest Verdun
47;48.111632;-1.689371;Horizons
48;48.111647;-1.686999;Les Lices
49;48.109888;-1.68328;Place de Bretagne
50;48.109934;-1.678869;République
51;48.107564;-1.675176;Liberté TNB
52;48.106057;-1.67401;Champs Libres
53;48.103956;-1.673185;Gares
54;48.104678;-1.667722;Laënnec
55;48.099452;-1.657522;Piré
56;48.097255;-1.654254;Bourgeois
57;48.09511;-1.650566;Calmette
58;48.09273;-1.64749;Monsieur Vincent
59;48.090281;-1.645018;Lycée Descartes
61;48.087788;-1.638596;Monnet
62;48.089455;-1.635281;Bourgueil
63;48.092067;-1.636471;Gohier
64;48.092756;-1.63962;Ronceray
65;48.094492;-1.637889;CARSAT
66;48.096225;-1.636899;Haut Sancé
67;48.094922;-1.638;CARSAT
68;48.092528;-1.639658;Ronceray
69;48.091827;-1.636274;Gohier
70;48.089486;-1.635568;Bourgueil
71;48.087986;-1.638421;Monnet
72;48.087413;-1.643436;La Poterie
73;48.089972;-1.64466;Lycée Descartes
74;48.092772;-1.647205;Monsieur Vincent
75;48.095953;-1.651543;Calmette
76;48.09806;-1.655275;Bourgeois
77;48.099871;-1.657775;Piré
78;48.10471;-1.666557;Laënnec
79;48.105276;-1.673939;Champs Libres
80;48.107377;-1.674981;Liberté TNB
81;48.109526;-1.677947;République
82;48.109734;-1.68385;Place de Bretagne
83;48.111759;-1.686216;Les Lices
84;48.111757;-1.689653;Horizons
85;48.113208;-1.69329;Brest Verdun
86;48.116505;-1.690744;La Touche
87;48.118193;-1.689248;Anatole France
88;48.121017;-1.686759;ESPE de Bretagne
89;48.123587;-1.683606;Saint-Martin
90;48.12503;-1.681973;Cimetière Nord
91;48.127266;-1.68326;Trois Croix
92;48.131357;-1.684599;Donelière
93;48.138802;-1.659072;Saint-Laurent
94;48.134745;-1.658572;Hôtel de Région
95;48.1355;-1.655711;Héronière
96;48.134264;-1.652215;Gayeulles Piscine
97;48.13087;-1.652121;Le Blizz
