from_stop_I;to_stop_I;d;duration_avg;n_vehicles;route_I_counts
1408;1409;727;81.0;416;51:416
1410;1395;524;60.0;416;51:416
1411;1410;774;90.0;416;51:416
1412;1411;589;71.0;416;51:416
1413;1412;661;75.0;416;51:416
1414;1413;541;64.0;416;51:416
1415;1414;490;65.0;416;51:416
1416;1415;404;43.0;416;51:416
1417;1416;738;102.0;416;51:416
1418;1417;446;51.0;416;51:416
1419;1418;666;73.0;416;51:416
1420;1419;536;67.0;416;51:416
1421;1420;527;63.0;416;51:416
1422;1421;483;55.0;416;51:416
1423;1422;729;81.0;416;51:416
1395;1396;524;60.0;416;51:416
1396;1397;783;90.0;416;51:416
1397;1398;581;71.0;416;51:416
1398;1399;659;75.0;416;51:416
1399;1400;541;64.0;416;51:416
1400;1401;492;65.0;416;51:416
1401;1402;407;43.0;416;51:416
1402;1403;732;102.0;416;51:416
1403;1404;451;51.0;416;51:416
1404;1405;667;73.0;416;51:416
1405;1406;549;67.0;416;51:416
1406;1407;529;63.0;416;51:416
1407;1408;485;55.0;416;51:416
