from_stop_I;to_stop_I;d;d_walk
1;642;649;716
1;3;618;696
1;4;867;997
1;517;176;236
1;646;285;411
1;550;384;406
1;2;401;450
1;590;640;787
1;525;483;560
1;592;411;544
1;593;670;825
1;259;441;565
1;526;454;535
1;470;757;901
1;473;307;424
1;282;444;581
1;591;370;491
1;35;805;934
1;36;564;634
1;37;355;398
1;38;15;27
1;551;353;376
1;426;369;491
1;427;727;955
1;620;642;871
1;429;400;488
1;619;606;834
1;547;310;445
1;643;680;750
1;639;170;258
2;3;222;261
2;4;497;563
2;5;838;910
2;646;643;840
2;550;783;835
2;525;502;710
2;526;469;685
2;591;715;884
2;592;760;937
2;259;488;799
2;470;374;466
2;473;585;799
2;281;720;994
2;282;503;807
2;156;678;936
2;517;574;665
2;34;751;814
2;35;436;499
2;36;165;200
2;37;51;60
2;38;410;454
2;551;752;805
2;426;463;653
2;427;373;551
2;428;460;596
2;429;424;638
2;547;603;820
2;182;674;914
2;639;534;686
3;259;592;814
3;4;290;315
3;5;625;662
3;473;760;978
3;525;669;849
3;526;640;824
3;547;781;1000
3;470;242;356
3;281;639;781
3;260;681;823
3;282;609;822
3;156;566;723
3;157;772;941
3;517;788;911
3;34;541;566
3;35;233;251
3;36;64;75
3;37;264;305
3;38;626;699
3;426;657;792
3;427;302;487
3;428;342;486
3;429;605;777
3;182;571;701
3;639;756;932
4;260;540;695
4;5;343;361
4;6;684;718
4;519;758;943
4;518;774;955
4;530;699;848
4;259;704;984
4;470;409;473
4;281;504;653
4;282;722;992
4;156;399;581
4;157;500;640
4;37;529;607
4;33;682;712
4;34;254;265
4;99;824;883
4;36;353;377
4;134;787;912
4;35;63;100
4;427;507;608
4;428;485;607
4;531;694;776
4;180;835;953
4;181;531;893
4;182;418;573
5;384;577;700
5;133;648;790
5;6;350;377
5;7;683;747
5;518;541;658
5;98;708;900
5;427;777;959
5;35;405;422
5;382;585;818
5;470;674;824
5;281;624;890
5;36;689;724
5;363;648;840
5;156;514;763
5;157;336;695
5;260;641;933
5;32;688;751
5;33;346;371
5;34;93;109
5;99;485;542
5;100;607;747
5;37;871;954
5;519;528;646
5;135;770;989
5;428;717;958
5;530;386;507
5;531;367;435
5;180;518;612
5;181;346;959
5;182;543;794
5;134;446;571
6;384;397;434
6;363;541;739
6;133;401;516
6;454;788;827
6;7;333;379
6;8;712;845
6;457;726;757
6;518;362;484
6;98;683;799
6;335;771;934
6;528;740;900
6;531;39;67
6;530;103;140
6;99;234;267
6;382;595;717
6;132;723;859
6;157;537;843
6;30;852;966
6;31;643;753
6;32;338;384
6;33;15;19
6;34;443;467
6;35;746;780
6;100;375;472
6;101;755;891
6;358;826;1000
6;359;758;893
6;519;361;493
6;135;769;889
6;179;741;840
6;180;376;449
6;158;695;842
6;383;655;821
6;134;187;213
6;181;521;840
7;384;484;517
7;385;882;983
7;383;401;451
7;131;846;992
7;132;542;666
7;133;397;468
7;454;833;915
7;135;887;970
7;8;433;475
7;9;607;735
7;518;436;501
7;335;654;909
7;336;614;687
7;358;608;756
7;530;319;430
7;531;318;375
7;382;754;846
7;98;796;881
7;101;568;699
7;157;833;982
7;30;535;651
7;31;373;383
7;32;19;69
7;33;339;389
7;34;775;836
7;99;347;511
7;100;407;508
7;102;803;937
7;359;640;896
7;424;897;992
7;363;613;817
7;519;448;509
7;179;527;565
7;180;512;550
7;158;494;571
7;528;476;530
7;457;786;856
7;159;668;805
7;134;338;516
7;181;810;947
8;384;912;983
8;32;442;534
8;363;653;666
8;133;813;934
8;9;283;295
8;10;711;725
8;333;809;961
8;334;639;766
8;335;421;550
8;336;203;262
8;530;649;821
8;531;683;841
8;544;608;782
8;358;230;331
8;28;887;902
8;29;626;638
8;30;201;211
8;31;71;105
8;160;806;990
8;33;723;855
8;98;824;876
8;99;779;977
8;100;831;973
8;134;766;982
8;230;739;978
8;231;550;647
8;232;533;658
8;135;900;965
8;519;590;685
8;359;411;557
8;360;625;752
8;518;572;697
8;545;604;781
8;528;57;105
8;251;532;639
8;252;679;910
8;382;850;888
8;383;84;95
9;545;530;583
9;32;608;680
9;363;935;947
9;518;846;979
9;519;864;966
9;10;429;442
9;11;709;753
9;335;672;820
9;336;368;493
9;544;530;584
9;27;896;946
9;28;605;618
9;29;344;354
9;30;85;93
9;31;342;387
9;160;613;795
9;161;606;835
9;251;574;755
9;358;432;562
9;231;590;762
9;232;485;579
9;233;579;806
9;359;665;827
9;177;732;823
9;178;601;813
9;179;740;908
9;158;750;914
9;528;305;387
9;249;569;804
9;159;669;831
9;383;365;376
10;129;774;945
10;545;677;802
10;11;289;327
10;12;603;692
10;161;393;489
10;336;764;923
10;104;763;939
10;160;514;648
10;26;755;868
10;27;476;520
10;28;177;192
10;29;88;99
10;30;511;524
10;31;769;817
10;544;671;803
10;528;730;817
10;162;853;926
10;358;832;992
10;231;849;982
10;232;682;799
10;233;348;566
10;234;495;790
10;159;706;886
10;177;343;397
10;176;525;704
10;497;576;609
10;178;495;633
10;105;751;846
10;247;790;870
10;248;497;807
10;249;335;565
10;251;839;974
10;509;777;851
10;383;793;807
11;544;817;955
11;1413;798;931
11;326;684;899
11;327;754;829
11;1399;806;925
11;12;333;388
11;13;768;932
11;25;706;774
11;26;467;564
11;27;188;216
11;28;129;153
11;29;376;411
11;30;793;835
11;160;694;857
11;161;536;698
11;162;568;623
11;163;766;820
11;486;632;709
11;497;293;305
11;232;855;951
11;233;353;418
11;298;798;857
11;299;706;872
11;175;827;884
11;176;263;400
11;177;292;501
11;178;675;843
11;545;825;954
11;247;502;567
11;248;261;591
11;249;347;410
11;509;495;548
11;234;267;573
12;128;519;679
12;1413;489;633
12;1414;794;986
12;13;440;593
12;14;601;766
12;144;726;975
12;145;687;800
12;148;695;754
12;533;596;677
12;24;577;740
12;25;396;476
12;26;262;312
12;27;172;185
12;28;426;517
12;29;689;775
12;160;868;911
12;161;705;752
12;162;369;424
12;163;554;621
12;164;822;894
12;298;728;822
12;299;536;673
12;50;763;1000
12;174;810;880
12;175;612;685
12;176;81;118
12;177;402;443
12;178;852;897
12;449;743;867
12;325;684;895
12;326;531;701
12;327;689;794
12;247;289;368
12;81;777;979
12;481;759;998
12;483;607;688
12;1400;802;991
12;486;316;330
12;487;782;965
12;233;651;711
12;234;399;575
12;107;731;883
12;509;187;250
12;497;231;311
12;1399;497;627
12;105;679;915
12;248;379;561
12;249;648;711
12;106;522;690
12;127;715;871
13;128;626;683
13;490;455;549
13;515;442;528
13;1413;132;236
13;1414;449;474
13;47;804;927
13;14;168;192
13;15;416;467
13;16;600;650
13;145;515;753
13;146;483;553
13;147;444;494
13;148;554;758
13;21;847;902
13;22;636;687
13;23;429;476
13;24;142;166
13;25;122;159
13;26;402;496
13;27;587;729
13;48;636;814
13;162;402;541
13;163;429;575
13;164;632;848
13;49;533;697
13;298;761;924
13;299;497;627
13;174;615;833
13;175;454;639
13;176;519;672
13;177;808;998
13;50;424;488
13;51;745;999
13;283;456;635
13;444;486;564
13;533;523;681
13;191;427;499
13;449;565;813
13;487;495;633
13;325;305;359
13;326;522;659
13;327;742;907
13;1399;134;230
13;81;476;624
13;82;572;765
13;83;578;766
13;84;820;938
13;215;445;491
13;476;617;805
13;477;634;812
13;144;771;979
13;483;538;692
13;1400;454;479
13;486;282;334
13;17;852;904
13;105;920;973
13;106;618;694
13;107;428;552
13;108;859;969
13;493;847;973
13;509;279;395
13;497;555;698
13;481;458;643
13;247;384;446
13;248;725;816
13;234;744;830
13;126;860;983
13;127;420;540
14;128;693;737
14;490;355;468
14;515;340;446
14;1413;221;363
14;1414;326;393
14;47;678;771
14;15;274;283
14;144;801;963
14;145;484;672
14;146;368;470
14;147;328;412
14;20;834;978
14;21;702;718
14;22;497;503
14;23;284;291
14;24;27;43
14;25;269;292
14;26;563;629
14;27;752;862
14;48;504;658
14;162;549;674
14;163;531;652
14;164;681;924
14;487;403;551
14;299;616;704
14;174;664;910
14;175;539;716
14;176;678;805
14;49;365;513
14;50;309;407
14;51;673;916
14;283;358;553
14;444;350;393
14;533;537;657
14;191;293;350
14;192;843;947
14;449;523;732
14;505;779;923
14;325;178;240
14;326;646;735
14;327;865;984
14;1399;216;359
14;80;698;941
14;81;379;542
14;82;405;581
14;83;444;610
14;84;697;782
14;214;776;883
14;215;314;359
14;476;455;620
14;477;471;628
14;16;458;466
14;483;551;668
14;1400;329;398
14;486;386;503
14;17;705;719
14;106;682;748
14;107;336;470
14;108;743;876
14;493;736;880
14;509;446;528
14;497;721;830
14;481;362;561
14;500;795;992
14;247;542;579
14;248;891;949
14;148;531;724
14;234;910;962
14;126;747;889
14;127;335;458
15;128;701;827
15;512;804;992
15;299;889;979
15;1413;494;638
15;1414;83;125
15;1415;554;882
15;533;485;537
15;493;474;610
15;144;736;773
15;145;369;434
15;146;126;201
