from_stop_I;to_stop_I;d;duration_avg;n_vehicles;route_I_counts;route_type
1;9;471;111.42857142857143;35;15:35;3
2;25;261;58.032786885245905;61;68:61;3
3;3094;256;114.23076923076923;52;86:52;3
3;223;409;116.12903225806451;62;68:62;3
4;273;845;60.0;315;54:315;1
4;87;754;60.0;315;54:315;1
6;28;260;109.23076923076923;78;3:78;3
7;28;272;74.28571428571429;126;8:119,70:7;3
8;3157;427;51.1764705882353;34;15:34;3
9;11;289;32.57142857142857;35;15:35;3
10;8;267;19.41176470588235;34;15:34;3
11;58;183;27.428571428571427;35;15:35;3
12;3364;339;45.88235294117647;17;57:7,20:6,39:4;3
13;536;371;130.0;6;39:6;3
13;539;350;154.28571428571428;7;57:7;3
13;3519;366;120.0;5;20:5;3
14;3677;4593;709.6153846153846;52;86:52;3
15;608;349;98.50746268656717;67;65:67;3
16;606;264;109.25373134328358;67;65:67;3
17;2131;535;60.0;18;6:18;3
18;2355;520;148.23529411764707;17;6:17;3
19;2130;269;60.0;18;6:18;3
20;731;269;115.0;36;13:36;3
20;2852;475;120.0;23;73:23;3
21;303;463;164.88888888888889;135;75:49,35:47,4:39;3
22;236;343;105.0;48;75:48;3
23;234;308;73.54838709677419;62;68:62;3
24;2803;172;27.906976744186046;86;35:48,4:38;3
25;218;366;60.0;61;68:61;3
26;218;413;122.18181818181819;55;66:55;3
26;6;242;173.07692307692307;78;3:78;3
26;7;254;144.375;128;8:121,70:7;3
27;3;197;60.0;62;68:62;3
28;749;183;60.0;258;8:119,66:54,3:78,70:7;3
29;841;324;66.3157894736842;133;8:121,20:5,70:7;3
30;842;199;106.66666666666667;126;8:119,70:7;3
30;3391;144;60.0;6;20:6;3
31;3357;557;144.40677966101694;59;32:59;3
32;1595;146;60.0;58;32:58;3
33;3376;391;111.42857142857143;35;15:35;3
34;1660;208;60.0;47;35:47;3
35;2845;273;66.25;48;35:48;3
36;851;307;71.25;128;8:121,70:7;3
37;1995;289;60.0;85;66:54,45:31;3
38;501;195;48.44444444444444;135;103:135;3
38;2766;166;29.53125;128;8:121,70:7;3
39;2778;179;78.59154929577464;142;103:142;3
39;820;362;109.52380952380952;126;8:119,70:7;3
40;460;219;60.0;40;16:40;3
41;901;187;60.98360655737705;61;12:35,55:26;3
42;180;1049;173.52941176470588;102;41:16,11:37,38:49;3
43;176;268;44.4;100;40:30,11:36,12:34;3
44;961;391;95.40983606557377;122;40:32,41:14,38:48,55:28;3
45;571;608;343.8805970149254;67;65:67;3
46;2318;657;139.79381443298968;97;104:97;3
47;2672;229;123.84615384615384;78;3:78;3
47;47;0;120.0;78;3:78;3
48;3456;228;203.0;60;31:60;3
49;49;0;225.3846153846154;78;3:78;3
49;3254;468;135.9493670886076;79;3:79;3
50;96;448;60.0;315;54:315;1
50;275;640;60.0;315;54:315;1
52;1114;359;100.97560975609755;82;24:37,51:38,76:7;3
52;1645;150;60.0;23;52:23;3
52;3493;241;120.0;38;74:38;3
53;1113;210;120.0;38;74:38;3
53;1111;374;53.77358490566038;106;24:36,76:7,51:38,52:25;3
54;3384;381;136.36363636363637;44;72:44;3
55;1964;316;60.0;77;43:70,93:7;3
56;1957;272;0.7792207792207793;77;43:70,93:7;3
57;10;207;40.588235294117645;34;15:34;3
58;129;323;60.0;35;15:35;3
61;96;708;60.0;315;54:315;1
