stop_I;lat;lon;name
1;43.6052;1.38701;Ecole Croix-Rouge
2;43.611;1.45316;Matabiau Gare SNCF
3;43.6112;1.45259;Matabiau Gare SNCF
4;43.6101;1.45556;Marengo-SNCF
6;43.6108;1.45541;Marengo-SNCF
7;43.6109;1.45547;Marengo-SNCF
8;43.6016;1.3849;Capelles
9;43.6013;1.38474;Capelles
10;43.5993;1.38396;Ecole Vétérinaire
11;43.5988;1.38375;Ecole Vétérinaire
12;43.6269;1.48585;ZI Prat Gimont
13;43.6269;1.48635;ZI Prat Gimont
14;43.6309;1.3745;Aéroport
15;43.5807;1.44921;Saint Agne-SNCF
16;43.5801;1.44951;Saint Agne-SNCF
17;43.6594;1.3114;Clinique des Cèdres
18;43.6532;1.31897;Les Ambrits
19;43.6492;1.32635;Mairie Cornebarrieu
20;43.6284;1.42847;Chaussas
21;43.6154;1.4374;Pont des Minimes
22;43.6152;1.43812;Pont des Minimes
23;43.616;1.43788;Pont des Minimes
24;43.6157;1.43679;Pont des Minimes
25;43.609;1.45487;Riquet
26;43.609;1.45371;Riquet
27;43.6096;1.45366;Riquet
28;43.609;1.45334;Riquet
29;43.5814;1.48533;Corraze
30;43.5813;1.48544;Corraze
31;43.6185;1.39738;Ancely
32;43.6185;1.39737;Ancely
33;43.6181;1.39703;Ancely
34;43.6353;1.39651;Mairie Blagnac
35;43.635;1.39691;Mairie Blagnac
36;43.5738;1.48358;Gonin
37;43.5734;1.48404;Gonin
38;43.6003;1.45418;Place Dupuy
39;43.5994;1.45457;Place Dupuy
40;43.527;1.38846;Portet Gare SNCF
41;43.6571;1.47906;Ctre Cial L'Union
42;43.6566;1.47932;Ctre Cial L'Union
43;43.6565;1.47985;Ctre Cial L'Union
44;43.6569;1.47994;Ctre Cial L'Union
45;43.5938;1.41854;Arènes
46;43.5937;1.41859;Arènes
47;43.5937;1.41813;Arènes
48;43.5937;1.41864;Arènes
49;43.5938;1.41829;Arènes
50;43.5932;1.41934;Arènes
52;43.5525;1.46903;Parc St Agne
53;43.5529;1.46882;Parc St Agne
54;43.551;1.4878;Théogone
55;43.552;1.53405;Mairie St-Orens
56;43.5519;1.53412;Mairie St-Orens
57;43.5975;1.3833;Gare des Capelles
58;43.5972;1.38322;Gare des Capelles
61;43.5977;1.43171;St Cyprien - République
63;43.5986;1.43027;St Cyprien - République
64;43.5975;1.43093;St Cyprien - République
65;43.598;1.43149;St Cyprien - République
66;43.5977;1.42983;St Cyprien - République
67;43.5979;1.43175;St Cyprien - République
68;43.5971;1.43122;St Cyprien - République
69;43.5932;1.44495;Palais de Justice
70;43.5586;1.45329;CHR Rangueil
71;43.5631;1.46104;Pont Ducuing
72;43.5639;1.46128;Pont Ducuing
73;43.5629;1.46029;Ducuing
74;43.5628;1.46024;Ducuing
75;43.5701;1.39227;Basso Cambo
77;43.5703;1.39205;Basso Cambo
78;43.5704;1.39248;Basso Cambo
79;43.5706;1.39203;Basso Cambo
80;43.57;1.39249;Basso Cambo
81;43.57;1.39204;Basso Cambo
82;43.5693;1.39215;Basso Cambo
83;43.5799;1.41239;Bagatelle
85;43.5802;1.41168;Bagatelle
86;43.5797;1.41181;Bagatelle
87;43.6056;1.44856;Jean Jaurès
89;43.6063;1.44932;Jean Jaurès
90;43.6062;1.44964;Jean Jaurès
91;43.606;1.44847;Jean Jaurès
92;43.6045;1.44557;Capitole
94;43.5965;1.42382;Patte d'Oie
95;43.5965;1.42327;Patte d'Oie
96;43.5961;1.42321;Patte d'Oie
98;43.6696;1.41079;Auguste Gratian
99;43.6685;1.41114;Auguste Gratian
100;43.5952;1.41939;Barrière de Lombez
101;43.595;1.41524;Roquemaurel
102;43.5944;1.41198;Av. de Lombez
103;43.5945;1.41317;Av. de Lombez
104;43.5935;1.40714;Hippodrome
105;43.5937;1.40831;Hippodrome
106;43.593;1.40385;Brombach
107;43.5929;1.40404;Brombach
108;43.5921;1.40016;Pont Rocade
109;43.5922;1.39999;Pont Rocade
110;43.5926;1.39612;Teynier
