from_stop_I;to_stop_I;d;duration_avg;n_vehicles;route_I_counts
2752;2695;1227;120.0;321;61:321
2689;2793;780;60.0;321;61:321
2689;2707;565;60.0;321;61:321
132;92;473;60.0;315;54:315
132;61;1036;60.0;315;54:315
2721;2779;747;60.0;321;61:321
2721;2679;875;60.0;321;61:321
2698;2787;600;60.0;321;61:321
2698;2789;743;60.0;321;61:321
75;289;684;60.0;315;54:315
2743;2785;845;120.0;321;61:321
2743;2783;524;120.0;321;61:321
2767;2728;655;120.0;321;61:321
2767;2787;661;60.0;321;61:321
273;2410;712;120.0;315;54:315
273;4;845;60.0;315;54:315
275;50;640;120.0;315;54:315
275;279;508;60.0;315;54:315
2707;2689;565;60.0;321;61:321
2707;2791;754;60.0;321;61:321
533;2338;690;60.0;315;54:315
279;83;462;120.0;315;54:315
279;275;508;60.0;315;54:315
4;273;845;60.0;315;54:315
4;87;754;60.0;315;54:315
283;83;1009;60.0;315;54:315
283;285;412;120.0;315;54:315
92;132;473;120.0;315;54:315
92;87;270;60.0;315;54:315
285;289;591;60.0;315;54:315
285;283;412;120.0;315;54:315
2719;2679;762;60.0;321;61:321
96;50;448;120.0;315;54:315
96;61;708;60.0;315;54:315
289;75;684;60.0;315;54:315
289;285;591;60.0;315;54:315
2338;2410;778;60.0;315;54:315
2338;534;690;60.0;315;54:315
2779;2721;747;120.0;321;61:321
2779;2781;712;120.0;321;61:321
2789;2698;743;120.0;321;61:321
2789;2676;791;120.0;321;61:321
2785;2728;447;60.0;321;61:321
2785;2743;845;60.0;321;61:321
2791;2707;754;120.0;321;61:321
2791;2676;622;120.0;321;61:321
2728;2785;447;60.0;321;61:321
2728;2767;655;60.0;321;61:321
2793;2689;780;120.0;321;61:321
2793;2695;788;120.0;321;61:321
2410;273;712;120.0;315;54:315
2410;2338;778;60.0;315;54:315
2695;2753;1229;120.0;321;61:321
2695;2793;788;60.0;321;61:321
2787;2698;600;120.0;321;61:321
2787;2767;661;60.0;321;61:321
2781;2779;712;60.0;321;61:321
2781;2783;605;60.0;321;61:321
50;96;448;60.0;315;54:315
50;275;640;60.0;315;54:315
83;283;1009;60.0;315;54:315
83;279;462;60.0;315;54:315
2676;2789;791;60.0;321;61:321
2676;2791;622;60.0;321;61:321
2679;2721;875;120.0;321;61:321
2679;2719;762;120.0;321;61:321
87;92;270;60.0;315;54:315
87;4;754;120.0;315;54:315
2783;2781;605;60.0;321;61:321
2783;2743;524;60.0;321;61:321
61;96;708;60.0;315;54:315
61;132;1036;120.0;315;54:315
