from_stop_I;to_stop_I;d;duration_avg;n_vehicles;route_I_counts
2970;2988;727;200.79207920792078;202;97:70,60:132
2971;3659;1066;240.0;70;97:70
2971;2973;849;180.0;132;60:132
2972;2995;478;120.0;202;97:70,60:132
2973;2998;627;120.0;132;60:132
2974;2972;860;173.1818181818182;132;60:132
2975;2992;799;140.79207920792078;202;97:70,60:132
2976;2991;394;60.0;202;97:70,60:132
2977;2986;694;129.54545454545453;132;60:132
2978;2982;721;180.0;132;60:132
2979;2981;450;60.0;132;60:132
2980;2984;678;120.0;132;60:132
2981;2977;707;120.0;132;60:132
2982;2980;447;60.45454545454545;132;60:132
2983;2979;570;180.0;132;60:132
2984;3003;465;120.0;132;60:132
2985;2987;648;180.0;132;60:132
2986;2985;657;120.0;132;60:132
2987;2978;683;60.45454545454545;132;60:132
2988;2990;689;120.0;202;97:70,60:132
2989;2970;721;180.0;2;60:2
2989;3150;724;180.0;200;97:70,60:130
2990;2975;396;91.78217821782178;202;97:70,60:132
2991;2989;698;112.87128712871286;202;97:70,60:132
2992;2994;638;180.0;202;97:70,60:132
2993;2976;801;180.2970297029703;202;97:70,60:132
2994;2971;479;90.29702970297029;202;97:70,60:132
2995;2993;636;120.0;202;97:70,60:132
2996;3000;319;60.0;132;60:132
2997;2999;413;66.81818181818181;132;60:132
2998;2996;346;60.0;132;60:132
2999;2974;615;137.27272727272728;132;60:132
3000;3002;382;120.0;132;60:132
3001;2997;244;95.9090909090909;132;60:132
3002;2983;567;60.0;132;60:132
3003;3001;384;77.27272727272727;132;60:132
3659;3661;775;120.0;70;97:70
3660;2972;1059;240.0;70;97:70
3661;3663;479;60.0;70;97:70
3150;3296;452;125.7;200;97:70,60:130
3663;3662;482;120.0;70;97:70
3662;3660;774;180.0;70;97:70
3295;2970;464;120.0;200;97:69,60:131
3296;3300;678;120.0;200;97:70,60:130
3297;3305;285;60.3;200;97:69,60:131
3299;3295;670;180.0;200;97:69,60:131
3300;3302;524;180.0;200;97:70,60:130
3301;3299;510;120.0;200;97:69,60:131
3302;3304;473;60.0;200;97:70,60:130
3303;3301;483;120.0;200;97:69,60:131
3304;3306;405;120.3;200;97:70,60:130
3305;3303;405;60.0;200;97:69,60:131
3306;3298;289;9.6;200;97:70,60:130
