from_stop_I;to_stop_I;d;d_walk
1;704;453;571
1;2305;648;743
1;2830;633;692
1;963;262;280
1;581;173;230
1;1377;210;239
1;2824;734;760
1;650;534;606
1;908;971;999
1;1963;113;147
1;1038;295;366
1;2576;516;607
1;1745;517;572
1;2708;898;976
1;1870;186;221
1;1177;219;362
1;988;478;706
1;2525;486;513
1;2718;428;574
1;3045;103;119
1;608;683;734
1;1249;825;893
1;1379;513;566
1;2725;869;929
1;1318;226;362
1;425;598;727
1;1884;603;680
1;1707;492;714
1;364;711;766
1;2288;892;977
1;1079;467;515
1;3070;293;320
2;2560;509;520
2;516;546;763
2;2567;426;571
2;1550;626;861
2;2579;749;761
2;21;639;896
2;1816;354;493
2;1924;504;530
2;28;429;556
2;1126;403;549
2;802;356;518
2;1571;336;357
2;549;454;676
2;2856;736;982
2;476;738;974
2;2347;734;890
2;813;572;796
2;1841;816;836
2;818;666;763
2;307;292;413
2;58;318;452
2;827;739;900
2;2109;225;383
2;63;442;573
2;96;650;917
2;1349;568;802
2;2374;551;769
2;839;878;954
2;2124;302;310
2;1357;797;929
2;352;874;991
2;2130;616;778
2;854;494;695
2;2903;807;831
2;1370;522;738
2;350;544;768
2;613;486;639
2;2656;522;588
2;1467;631;877
2;2660;856;978
2;2405;460;639
2;1894;698;959
2;1128;814;917
2;2157;599;767
2;2414;627;883
2;114;588;777
2;2163;672;905
2;633;543;770
2;1599;452;698
2;640;748;988
2;2177;726;881
2;900;687;916
2;2693;568;790
2;961;553;643
2;652;816;838
2;1939;528;739
2;1940;436;559
2;665;524;738
2;1179;462;647
2;1951;818;894
2;2732;458;478
2;2991;715;970
2;1201;597;825
2;435;621;782
2;1973;557;579
2;2742;854;940
2;3001;725;879
2;2746;202;354
2;2235;712;858
2;1469;856;901
2;1983;567;750
2;1217;631;856
2;1475;565;798
2;2757;446;634
2;2251;237;252
2;2002;678;871
2;2004;595;675
2;2261;739;914
2;3065;431;589
2;1240;881;973
2;218;409;525
2;1244;698;838
2;101;380;521
2;1248;98;113
2;3043;595;848
2;3044;605;824
2;2790;601;624
2;1511;652;846
2;3048;298;305
2;1007;785;908
2;2293;343;474
2;2040;602;833
2;1785;478;681
2;2814;671;805
4;2113;762;793
4;1427;621;660
4;3046;836;873
4;2886;274;278
4;2727;45;47
4;360;424;449
4;2851;180;185
4;187;729;802
4;1886;525;549
6;1904;570;614
6;945;200;308
6;1730;520;820
6;595;635;883
6;2951;470;486
6;691;258;284
6;2055;321;333
6;2907;637;653
6;1772;93;114
6;1443;730;750
6;1278;566;811
9;272;615;628
9;2096;89;112
9;677;364;377
9;861;862;877
9;1998;956;977
9;1493;562;575
9;1021;817;829
9;541;709;727
9;1182;523;544
9;957;847;858
12;640;613;841
12;2560;461;600
12;2436;620;718
12;647;55;73
12;556;306;401
12;2775;826;995
12;780;410;428
12;3052;582;654
12;142;856;1000
12;656;722;938
12;2712;806;962
12;2579;288;378
12;2555;283;338
12;21;677;896
12;2195;900;914
12;1304;315;452
12;927;210;212
12;416;767;951
12;1441;423;548
12;2594;739;956
12;1571;623;784
12;1060;636;749
12;2374;763;1000
12;934;885;893
12;2405;739;973
12;2856;535;733
12;2012;738;759
12;2732;509;661
12;813;747;975
12;1201;750;967
12;1587;345;474
12;2742;416;433
12;1545;598;730
12;1337;645;703
12;1467;756;961
12;1469;212;238
12;2750;972;978
12;63;518;662
12;2624;673;978
12;708;451;625
12;1398;562;756
12;1862;620;666
12;839;430;442
12;200;373;523
12;2249;297;419
12;842;717;872
12;1247;341;359
12;1999;549;731
12;2040;727;940
12;2254;430;586
12;2903;275;333
12;728;593;665
12;2660;382;392
12;218;639;839
12;1013;368;518
12;476;581;805
12;1117;725;782
12;101;746;985
12;352;384;396
12;1505;627;750
12;2147;512;518
12;3044;769;989
12;613;492;677
12;1126;676;893
12;2641;748;929
12;3048;655;803
12;2087;179;259
12;2028;574;658
12;2163;687;865
12;702;672;727
12;1270;608;739
12;376;285;326
12;3065;728;959
12;2042;334;465
12;2037;345;489
12;2943;618;764
13;1537;419;436
13;3000;611;834
13;1163;721;816
13;2504;343;398
13;2954;669;849
13;1419;752;944
13;1869;535;551
13;1485;582;667
13;2940;611;708
13;2200;378;393
13;1682;730;802
13;1363;753;855
13;1236;89;96
13;917;197;211
13;2582;477;530
13;664;560;653
13;793;817;833
13;975;430;522
13;1987;548;600
13;1893;601;690
13;2850;710;729
13;2203;581;697
13;1189;625;844
13;2763;699;755
13;2791;181;219
13;361;603;622
13;1898;424;500
13;44;350;363
13;531;320;388
13;2612;284;296
13;2550;905;927
13;3049;699;883
13;1848;862;903
13;377;139;147
13;1875;334;439
13;2875;803;862
13;188;181;223
13;766;672;939
15;544;610;686
15;1922;579;660
15;822;602;680
15;2041;34;93
15;170;460;526
15;1611;883;973
15;2156;853;946
15;2674;261;273
17;833;67;74
17;1219;779;983
17;2372;290;445
17;70;450;608
17;1569;588;792
17;2825;648;788
17;2305;800;974
17;1059;244;352
17;1748;211;231
17;2008;697;883
17;90;233;324
17;411;572;771
17;1628;242;377
17;2266;234;246
17;31;303;386
17;1249;544;780
17;483;564;881
17;2276;559;631
17;743;741;884
17;104;550;880
17;364;566;801
17;2738;522;633
17;2408;550;770
17;626;173;243
17;2677;521;580
17;1975;378;469
17;3073;622;847
17;1274;648;893
17;2366;531;689
17;1461;493;654
18;2496;41;103
18;2784;763;847
18;1062;679;918
18;2047;858;958
18;1000;876;997
18;137;832;933
18;2362;565;636
18;2379;637;888
18;1004;781;880
18;2221;583;659
18;1711;363;393
18;177;872;996
18;1108;338;376
18;2613;817;975
18;662;406;430
18;2741;819;994
18;602;835;927
18;1199;249;272
18;1853;334;363
18;2303;805;966
19;482;666;798
19;2212;358;743
19;1316;807;921
19;2883;50;53
19;2118;726;866
19;1817;664;813
19;1807;671;982
19;1395;665;904
19;825;395;427
19;1529;817;945
19;2906;367;808
19;249;547;658
19;1789;417;475
21;640;128;172
21;2560;581;773
21;2475;554;740
21;2054;743;756
21;647;639;838
21;111;840;856
21;780;615;720
21;1550;530;535
21;400;551;693
21;2243;866;982
21;2965;600;701
21;1178;499;632
21;1179;854;968
21;927;628;712
21;930;645;782
21;1571;562;710
21;2405;829;955
21;2856;169;176
21;2012;711;951
21;683;633;769
21;2732;574;730
21;2239;769;963
21;221;216;509
21;435;191;232
21;948;770;961
21;827;247;349
21;190;306;396
21;63;364;466
21;2624;332;455
21;1603;619;732
21;708;261;275
21;1607;798;943
21;200;379;382
21;2123;340;438
21;2254;921;933
21;720;709;917
21;2641;568;775
21;2130;184;217
21;2211;467;816
21;2261;239;337
21;728;602;766
21;218;691;811
21;1013;864;883
21;476;138;165
21;349;698;843
21;1247;612;659
21;1248;706;983
21;2147;639;849
21;3044;99;102
21;101;769;929
21;1126;725;835
21;3048;553;660
21;2157;434;439
21;3054;355;652
21;613;326;435
21;2579;708;972
21;2037;441;456
21;1270;548;714
21;376;581;591
21;3065;797;910
21;378;491;683
21;1983;214;228
21;1917;245;524
22;1280;466;554
22;1344;623;790
22;66;632;792
22;2634;673;945
22;2926;494;599
22;935;445;559
22;905;895;995
22;1706;266;334
22;2103;248;303
22;258;301;345
22;1426;131;143
22;397;708;734
22;178;648;913
22;2707;38;39
22;222;439;523
22;1689;435;483
22;25;479;496
22;765;241;269
22;798;155;173
22;3059;679;706
23;2636;199;253
23;226;161;192
23;579;404;597
23;1124;277;339
23;261;107;192
23;1478;669;977
23;2247;398;468
23;2088;587;760
23;460;290;362
23;1068;59;70
23;1762;666;949
23;2466;622;908
23;1085;485;570
23;1041;451;528
23;1170;491;579
23;2645;301;395
23;1996;427;642
23;696;630;901
23;829;727;973
23;1548;711;897
24;2566;407;541
24;1162;521;697
24;908;647;766
24;2370;714;974
24;142;759;846
24;2498;712;970
24;1298;146;260
24;2371;553;691
24;1753;290;493
24;2202;630;752
24;2715;855;987
24;2461;247;322
24;1566;626;755
24;69;346;598
24;2467;395;474
24;2340;421;531
24;1957;637;683
24;934;701;729
24;241;382;506
24;682;597;710
24;299;235;375
24;1071;127;199
24;955;326;352
24;60;294;422
24;2877;542;625
24;2750;615;646
24;1346;22;64
24;451;733;896
24;3012;443;476
24;2373;714;843
24;1993;654;746
24;1489;552;652
24;1234;506;683
24;2899;695;779
24;2009;592;680
24;1883;328;341
24;2270;424;539
24;2015;466;584
24;294;385;498
24;2842;722;830
24;110;478;613
24;497;737;779
24;2802;434;475
24;2547;130;233
24;1143;126;186
24;2938;351;588
24;1531;457;558
24;1405;746;914
24;639;452;559
25;258;317;426
25;1659;466;755
25;935;157;199
25;3038;487;825
25;905;424;505
25;1706;678;807
25;397;232;244
25;222;208;665
25;1426;537;637
25;2707;446;463
25;798;540;667
25;2103;654;779
25;1689;54;81
25;27;475;728
25;765;377;509
25;670;481;559
25;3059;202;216
27;258;539;694
27;2553;764;912
27;485;615;698
27;935;401;534
27;3038;80;101
27;905;342;433
27;397;449;662
27;222;394;934
27;2707;792;996
27;85;576;654
27;1689;477;656
27;1659;28;31
27;765;613;777
27;670;344;388
27;3059;433;666
28;2656;269;368
28;2177;559;684
28;900;513;669
28;2693;851;972
28;2054;783;915
28;1217;323;343
28;111;769;932
28;652;462;604
28;1039;458;586
28;3001;603;806
28;1939;801;922
28;1940;28;65
28;665;806;920
28;1816;527;647
28;516;822;945
28;1179;759;840
28;1370;776;918
28;2757;695;812
28;2814;601;829
28;802;306;408
28;1571;748;867
28;1924;224;325
28;549;136;175
28;166;660;931
28;1007;660;759
28;2567;51;72
28;2347;612;817
28;2732;869;982
28;813;864;978
28;2991;502;630
28;1841;467;602
28;818;651;904
28;307;611;623
28;52;536;561
28;1894;346;434
28;2405;773;832
28;2228;673;810
28;58;350;446
28;2235;305;319
28;2109;258;268
28;1599;158;211
28;961;545;754
28;1475;798;979
28;1349;792;982
28;2246;802;941
28;633;796;953
28;73;950;972
28;2251;220;306
28;2124;189;251
28;1357;664;780
28;2937;476;537
28;2790;268;377
28;2002;473;651
28;2004;585;822
28;854;779;888
28;215;504;666
28;218;782;857
28;1244;295;317
28;2746;281;296
28;350;782;949
28;1973;241;351
28;1248;334;446
28;3065;756;782
28;2427;579;603
28;101;710;720
28;1126;761;802
28;1511;433;627
28;1128;655;768
28;1447;517;685
28;1391;572;591
28;1648;826;990
28;3048;713;831
28;114;160;223
28;883;667;939
28;2374;839;951
28;2293;524;635
28;1401;941;957
28;2171;731;876
28;1785;747;860
28;2291;853;972
29;2755;829;884
29;214;85;92
29;2726;463;485
29;1639;758;798
29;1832;404;422
29;2919;894;952
30;1864;478;517
30;2313;700;869
30;940;530;702
30;461;552;833
30;2807;624;991
30;1167;658;862
30;2644;579;723
30;1109;742;999
30;2233;624;821
30;1432;655;857
30;1380;494;670
30;1626;734;930
30;2831;491;604
30;410;529;807
30;991;460;591
30;3042;579;663
30;2979;665;807
30;228;728;791
30;2021;162;263
30;3047;637;862
30;2011;249;415
