from_stop_I;to_stop_I;d;duration_avg;n_vehicles;route_I_counts;route_type
1;29;455;180.0;137;102:3,103:2,104:3,151:6,147:39,148:4,149:6,150:31,57:4,56:34,52:3,58:2;4
1;77;520;150.65693430656935;137;66:1,67:40,68:2,69:1,108:3,141:39,142:12,143:31,144:2,110:1,111:1,109:4;4
2;73;820;300.0;35;93:35;4
2;42;392;180.0;93;144:2,143:31,142:12,111:1,108:3,141:39,110:1,109:4;4
2;102;449;180.0;129;147:39,148:4,149:6,102:3,103:2,104:3,91:35,151:6,150:31;4
3;61;427;180.0;52;83:7,84:14,85:21,86:3,87:6,88:1;4
3;38;283;180.0;48;66:1,67:40,68:2,69:1,70:2,71:2;4
5;15;1550;538.3333333333334;36;167:1,168:28,169:1,170:1,172:2,173:3;4
6;75;359;147.4468085106383;94;136:1,66:1,67:40,68:2,85:21,83:7,84:14,59:2,82:6;4
6;125;2482;1500.0;1;124:1;4
6;15;1517;524.516129032258;31;25:7,119:1,120:2,116:1,117:1,22:7,23:4,24:1,20:3,121:1,27:1,118:2;4
7;86;253;233.90625;128;152:35,147:39,100:1,101:3,102:3,103:2,104:3,148:4,13:1,150:31,149:6;4
8;91;1155;680.0;84;145:38,89:3,142:12,143:31;4
8;36;606;300.0;46;146:7,141:39;4
8;87;398;180.0;11;107:4,108:3,109:4;4
9;10;1550;580.0;24;20:3,22:7,23:4,120:2,25:7,27:1;4
9;15;1960;532.5;24;32:8,33:4,34:7,124:1,29:3,30:1;4
10;9;1550;590.0;24;32:8,33:4,34:7,124:1,29:3,30:1;4
10;11;1764;650.0;24;19:7,20:3,117:1,22:7,23:4,24:1,27:1;4
10;15;2658;720.0;2;126:2;4
11;10;1764;655.3846153846154;26;32:8,33:4,126:2,124:1,28:7,29:3,30:1;4
11;12;1268;417.39130434782606;23;19:7,20:3,21:7,23:4,26:1,117:1;4
12;120;2130;782.7272727272727;22;117:1,19:7,20:3,21:7,23:4;4
12;11;1268;412.8;25;33:4,35:1,126:2,124:1,28:7,29:3,30:1,31:6;4
13;27;1833;600.0;49;72:6,73:8,74:10,75:4,76:21;4
14;25;449;180.0;59;64:6,65:4,66:1,67:40,59:2,60:3,61:3;4
14;114;426;180.0;6;99:6;4
14;115;299;154.8148148148148;81;97:18,130:1,131:9,52:3,53:6,55:6,56:34,57:4;4
15;112;1521;540.0;1;30:1;4
15;18;5822;1498.5365853658536;41;116:1,118:2,167:1,168:28,121:1,170:1,119:1,172:2,173:3,169:1;4
15;5;1550;540.0;37;160:28,161:1,163:1,164:2,165:3,166:1,159:1;4
15;6;1517;529.2857142857143;28;32:8,33:4,34:7,129:1,128:1,124:1,29:3,126:2,127:1;4
15;9;1960;525.0;24;20:3,22:7,23:4,120:2,25:7,27:1;4
15;10;2658;930.0;2;24:1,117:1;4
16;24;909;300.0;44;133:44;4
16;18;806;300.0;3;164:2,159:1;4
16;119;891;300.0;3;172:2,167:1;4
17;81;5963;2100.0;24;41:24;4
17;23;4295;1500.0;2;44:2;4
18;24;568;450.0;2;169:1,119:1;4
18;16;806;300.0;3;172:2,167:1;4
18;119;526;475.0;36;116:1,118:2,168:28,121:1,170:1,173:3;4
18;15;5822;1557.0;40;128:1,129:1,163:1,164:2,165:3,166:1,161:1,127:1,160:28,159:1;4
19;20;1161;600.0;36;17:36;4
20;19;1161;600.0;36;15:36;4
21;56;488;360.0;89;66:1,83:7,68:2,69:1,86:3,84:14,67:40,85:21;4
23;17;4295;1500.0;2;42:2;4
24;16;909;300.0;46;164:2,132:43,159:1;4
24;18;568;420.0;37;128:1,129:1,163:1,165:3,166:1,161:1,160:28,127:1;4
24;12;2153;900.0;3;124:1,126:2;4
25;113;353;178.98305084745763;59;64:6,65:4,66:1,67:40,59:2,60:3,61:3;4
26;27;695;420.0;66;83:7,67:40,68:2,84:14,59:2,66:1;4
26;74;596;170.20408163265307;49;56:34,57:4,52:3,73:8;4
26;75;997;300.0;14;74:10,75:4;4
27;26;695;459.04761904761904;63;52:3,73:8,56:34,57:4,74:10,75:4;4
27;75;1548;693.3333333333334;27;72:6,76:21;4
27;131;951;540.0;45;67:40,66:1,59:2,68:2;4
27;13;1833;600.0;48;82:6,83:7,84:14,85:21;4
28;116;273;60.0;6;99:6;4
28;117;159;60.0;71;97:18,53:6,54:7,56:34,57:4,58:2;4
28;30;254;106.77966101694915;59;66:2,67:40,68:2,69:1,70:2,60:3,61:3,62:4,63:2;4
29;76;476;180.0;86;147:39,148:4,149:6,150:31,151:6;4
29;69;859;300.0;49;104:3,52:3,102:3,56:34,57:4,58:2;4
29;126;916;300.0;2;103:2;4
30;115;194;166.77966101694915;59;64:6,65:4,66:1,67:40,59:2,60:3,61:3;4
31;14;470;165.71428571428572;63;130:1,131:9,52:3,53:6,55:6,56:34,57:4;4
31;118;422;240.0;52;66:1,67:40,68:2,69:1,70:2,62:4,63:2;4
32;72;1076;300.0;12;105:4,101:3,102:3,103:2;4
32;66;605;180.0;88;8:1,9:6,10:5,11:69,7:7;4
34;66;731;180.0;45;67:40,66:1,59:2,68:2;4
34;52;1886;480.0;35;93:35;4
34;70;1140;300.0;57;83:7,84:14,85:21,86:3,87:6,88:1,89:3,90:2;4
34;103;2288;600.0;6;94:6;4
35;1;539;157.2093023255814;129;148:4,147:39,52:3,149:6,150:31,151:6,56:34,57:4,58:2;4
35;102;271;120.0;8;104:3,102:3,103:2;4
36;89;214;126.80412371134021;97;1:4,2:69,3:6,4:7,107:4,108:3,109:4;4
36;91;790;420.0;46;146:7,141:39;4
37;64;732;180.0;41;56:34,57:4,52:3;4
37;65;611;231.8181818181818;88;1:4,2:69,3:6,4:7,5:1,6:1;4
38;110;759;360.0;48;66:1,67:40,68:2,69:1,70:2,71:2;4
38;55;258;120.0;40;56:34,57:4,58:2;4
39;122;184;180.0;50;73:8,74:10,75:4,76:21,77:7;4
39;3;278;180.0;52;83:7,84:14,85:21,86:3,87:6,88:1;4
40;68;5492;1500.0;11;40:11;4
41;90;164;172.94117647058823;102;11:69,100:1,101:3,102:3,7:7,104:3,9:6,10:5,103:2,12:1,13:1,14:1;4
41;91;209;187.5;24;107:4,108:3,3:6,4:7,109:4;4
41;93;266;293.4246575342466;73;1:4,2:69;4
42;73;648;240.0;44;66:1,67:40,68:2,69:1;4
42;79;1464;474.19354838709677;93;144:2,143:31,142:12,111:1,108:3,141:39,110:1,109:4;4
46;108;2830;900.0;6;153:4,154:2;4
46;127;985;600.0;3;50:2,51:1;4
51;121;5526;1260.0;39;113:3,138:34,137:2;4
52;64;1874;540.0;35;91:35;4
52;103;413;120.0;35;93:35;4
54;41;281;235.32467532467533;77;10:5,11:69,12:1,13:1,14:1;4
55;122;364;300.0;47;81:1,56:34,57:4,58:2,78:3,79:3;4
55;39;297;120.0;50;73:8,74:10,75:4,76:21,77:7;4
56;39;290;120.0;52;83:7,84:14,85:21,86:3,87:6,88:1;4
56;114;2438;1020.0;18;97:18;4
56;3;454;300.0;48;66:1,67:40,68:2,69:1,70:2,71:2;4
56;117;2961;1320.0;6;99:6;4
56;31;2396;1020.0;1;98:1;4
57;86;185;180.0;89;7:7,9:6,10:5,11:69,12:1,14:1;4
57;87;442;180.0;86;1:4,2:69,3:6,4:7;4
58;59;894;480.0;39;96:39;4
59;58;894;480.0;39;95:39;4
60;109;811;300.0;97;81:1,79:3,73:8,56:34,57:4,58:2,75:4,76:21,74:10,78:3,77:7;4
60;61;1688;720.0;1;134:1;4
61;110;805;300.0;52;83:7,84:14,85:21,86:3,87:6,88:1;4
61;6;1710;720.0;1;136:1;4
61;55;401;180.0;57;81:1,73:8,74:10,75:4,76:21,77:7,78:3,79:3;4
62;120;3230;774.0;20;163:1,122:1,159:1,162:16,127:1;4
62;67;6390;1800.0;5;37:5;4
62;75;6256;1800.0;2;134:1,135:1;4
64;132;541;204.50704225352112;142;73:8,74:10,75:4,76:21,77:7,78:3,79:3,80:2,52:3,56:34,57:4,91:35,92:8;4
65;132;665;187.27272727272728;99;112:4,1:4,2:69,3:6,4:7,5:1,6:1,107:4,108:3;4
66;72;499;231.8181818181818;88;8:1,9:6,10:5,11:69,7:7;4
66;70;437;180.0;45;67:40,66:1,59:2,68:2;4
67;51;2522;840.0;34;138:34;4
67;62;6390;1800.0;5;36:5;4
68;40;5492;1500.0;11;39:11;4
69;37;435;180.0;41;56:34,57:4,52:3;4
69;134;842;360.0;9;108:3,109:4,110:1,111:1;4
70;134;854;240.0;44;66:1,67:40,68:2,69:1;4
70;103;1358;360.0;57;83:7,84:14,85:21,86:3,87:6,88:1,89:3,90:2;4
