stop_I;lat;lon;name
1;45.425579;12.332047;Redentore
2;45.430534;12.320824;S. Basilio
3;45.444294;12.32445;Guglie dx
5;45.443958;12.339143;"F.te Nove ""A"""
6;45.442867;12.341126;"F.te Nove ""D"""
7;45.440372;12.321408;"Ferrovia ""C"""
8;45.440216;12.321242;"Ferrovia ""D"""
9;45.443707;12.376256;Vignole
10;45.454636;12.388567;S. Erasmo Capannone
11;45.459461;12.410089;S. Erasmo Chiesa
12;45.46838;12.42021;S. Erasmo Punta Vela
13;45.418144;12.368973;"Lido (S.M.E.) ""A"""
14;45.452557;12.354241;Murano Faro M/S SX
15;45.452663;12.354642;Murano Faro M/N
16;45.49509;12.412183;Torcello
17;45.425873;12.378331;Lido S. Nicolo' N\T
18;45.488094;12.409512;Mazzorbo
19;45.332737;12.316975;S. Maria del Mare N/T
20;45.341526;12.308979;Alberoni Faro Rocchetta N
21;45.4389;12.316018;"P.le Roma (S.Andrea) ""B"""
23;45.446976;12.424375;P.ta Sabbioni N/T
24;45.487572;12.416754;Burano SX per F.te Nove
25;45.451111;12.348869;"Murano Colonna ""B"""
26;45.439205;12.357293;Bacini - Arsenale Nord
27;45.433834;12.361842;S. Pietro di Castello
28;45.456116;12.351936;Murano Da Mula
29;45.426624;12.337678;Zitelle DX
30;45.456139;12.355189;Murano Museo SX
31;45.451134;12.348564;"Murano Colonna ""C"""
32;45.42976;12.354997;Giardini DX
34;45.428886;12.356096;Giardini Biennale DX
35;45.426899;12.325401;Giudecca Palanca DX
36;45.442513;12.328278;S. Marcuola-Casino' SX
37;45.432896;12.34833;Arsenale SX
38;45.445278;12.321106;Crea
39;45.44183;12.325079;Riva de Biasio DX
40;45.42905;12.327344;Zattere Gesuati
41;45.439453;12.335298;Rialto Mercato
42;45.428959;12.316327;Sacca Fisola SX
46;45.417358;12.36754;"Lido (S.M.E.) ""E"""
51;45.417698;12.368246;"Lido (S.M.E.) ""C"" dir. P."
52;45.42831;12.331958;Spirito Santo
54;45.436981;12.334541;"Rialto ""A"""
55;45.444424;12.324183;Guglie sx
56;45.440685;12.321736;"Ferrovia ""B"""
57;45.439873;12.32088;"Ferrovia ""E"""
58;45.442341;12.329644;Casino' di Venezia
59;45.438667;12.319465;P.le Roma (Hotel S. Chiar
60;45.443016;12.340888;"F.te Nove ""C"""
61;45.446289;12.31978;Tre Archi
62;45.447338;12.424333;Punta Sabbioni DX
64;45.429047;12.355934;Giardini Biennale SX
65;45.429848;12.354835;Giardini SX
66;45.432774;12.348552;Arsenale DX
67;45.433395;12.344964;"S. Zaccaria (Pieta') ""A"""
68;45.418373;12.258713;Fusina
69;45.433456;12.342809;"S. Zaccaria (Jolanda) ""D"""
70;45.433491;12.343048;"S. Zaccaria (Jolanda) ""C"""
71;45.433342;12.342007;"S. Zaccaria (Danieli) ""F"""
72;45.433384;12.342215;"S. Zaccaria (Danieli) ""E"""
73;45.433571;12.31126;S. Marta
74;45.439079;12.349658;Celestia
75;45.44088;12.344753;Ospedale
76;45.42947;12.342235;S. Giorgio
77;45.426849;12.325638;Giudecca Palanca SX
78;45.429008;12.315648;Sacca Fisola DX
79;45.440094;12.306348;Tronchetto 'B' SX
80;45.440308;12.306533;Tronchetto 'B'  DX
81;45.438023;12.303988;Tronchetto N/T
82;45.43985;12.317839;"P.le Roma (Scomenzera) ""C"
83;45.439388;12.318463;"P.le Roma (Parisi) ""E"""
84;45.439556;12.318337;"P.le Roma (Parisi) ""D"""
85;45.438923;12.31883;"P.le Roma (S. Chiara) ""F"""
86;45.438816;12.319038;"P.le Roma (S. Chiara) ""G"""
87;45.441998;12.325667;Riva de Biasio SX
88;45.442444;12.32882;S. Marcuola-Casino' DX
89;45.441746;12.330798;San Stae
90;45.440563;12.333899;Ca' D'Oro
91;45.437584;12.335558;"Rialto ""D"""
92;45.437428;12.335405;"Rialto ""C"""
93;45.437088;12.334779;"Rialto ""B"""
94;45.43681;12.333188;S. Silvestro
95;45.435596;12.33035;S. Angelo
96;45.435184;12.327917;S. Toma' SX
97;45.435249;12.328128;S. Toma' DX
98;45.433285;12.327133;Ca' Rezzonico
99;45.433479;12.3276;S. Samuele
100;45.431633;12.328705;Accademia SX
101;45.431736;12.328523;Accademia DX
102;45.42926;12.32628;Zattere SX
103;45.429153;12.3268;Zattere DX
104;45.431431;12.332637;S. Maria del Giglio
105;45.431171;12.334374;Salute
106;45.432125;12.337271;S. Marco (Vallaresso) SX
107;45.432186;12.337525;S. Marco (Vallaresso) DX
108;45.432487;12.338417;S. Marco (Giardinetti) DX
109;45.447674;12.332901;Madonna dell'Orto
110;45.448704;12.329509;S. Alvise
112;45.443138;12.340671;"F.te Nove ""B"""
113;45.448673;12.345977;Cimitero S. Michele
114;45.451107;12.349192;"Murano Colonna ""A"""
115;45.454693;12.35658;Murano Navagero
116;45.456104;12.355435;Murano Museo DX
117;45.457447;12.351191;Murano Venier
118;45.454853;12.347479;Murano Serenella
119;45.487602;12.416217;Burano DX per Treporti
120;45.471558;12.447123;Treporti
121;45.447639;12.424682;Punta Sabbioni SX
122;45.441292;12.322843;"Ferrovia (Bar Roma) ""A"""
125;45.441383;12.309408;Tronchetto (Mercato)
126;45.433514;12.344095;"S. Zaccaria (M.V.E.) ""B"""
127;45.419617;12.35535;S. Servolo
128;45.417992;12.368725;"Lido (S.M.E.) ""B"""
129;45.417683;12.368217;"Lido (S.M.E.) ""C"" dir. Ve"
130;45.41748;12.367735;"Lido (S.M.E.) ""D"""
131;45.42532;12.360782;S. Elena DX
132;45.425426;12.360565;S. Elena SX
133;45.412113;12.359925;S. Lazzaro
134;45.42672;12.337905;Zitelle SX
135;45.436424;12.147483;Incr. via Di Vittorio
136;45.435265;12.141922;Mira Scuole Civ.16
137;45.432892;12.141052;Civico 35
138;45.458889;12.072989;Incr. via Stazione
139;45.459087;12.072437;Incr. via Stazione
140;45.459969;12.077374;Ballo' Cimitero
141;45.460117;12.077264;Cimitero Ballo'
142;45.455818;12.072736;Scatamburlo
143;45.455982;12.072563;Scatamburlo
144;45.452446;12.072693;Ballo' FS
145;45.452106;12.072574;Ballo' FS
146;45.443222;12.074986;Incr. via Trasimeno
147;45.443054;12.074777;Incr. via Trasimeno
148;45.450268;12.119853;Incr. via delle Ginestre
149;45.450127;12.119335;Incr. via delle Ginestre
150;45.457291;12.11904;Incr. Ponte per Marano
151;45.457417;12.118905;Incr. Ponte per Marano
152;45.490921;12.176497;SFMR Spinea
153;45.552647;12.267636;Mazzocco Chiesa Piazzale
154;45.465061;12.117574;Marano Centro
155;45.465305;12.117216;Marano Centro
156;45.46513;12.118348;Civico 102  Marano Ponte
157;45.465088;12.11824;Civico 102 Marano Ponte
158;45.469757;12.117881;Incr. via Trescievoli
159;45.469795;12.117974;Incr. via Trescievoli
160;45.481529;12.117043;Incr. via Olmo
161;45.481396;12.116799;Incr. via Olmo
162;45.477741;12.117394;Fornace
163;45.477829;12.117056;Fornace
164;45.494164;12.0928;Mirano - Capolinea
165;45.435661;12.128793;Mira Alighieri
166;45.435684;12.128541;Mira Alighieri
167;45.474464;12.108866;Incr. via Porara Gidoni
168;45.474216;12.108633;Incr. via Porara Gidoni
171;45.467941;12.107917;Incr. via Porara
172;45.467861;12.107899;Incr. via Porara
173;45.469711;12.093561;Civico 79
175;45.46986;12.093793;Civico 62
176;45.470097;12.082929;Scaltenigo Centro
177;45.470284;12.082921;Scaltenigo Centro
178;45.469231;12.082302;Scaltenigo Scuole
179;45.469307;12.08209;Scaltenigo Scuole
180;45.472538;12.064816;Incr. via Orione
181;45.472862;12.064487;Incr. via Orione
182;45.47448;12.056262;Incr. via Fratte
183;45.474258;12.056243;Incr. via Fratte
184;45.475842;12.047761;Incr. via Campocroce
185;45.476021;12.047825;Incr. via Campocroce
186;45.477566;12.038491;Incr. via Pianiga
187;45.477234;12.029926;Capolinea - Caltana
188;45.533569;12.110826;Civico 88
189;45.533237;12.110578;Civico 85
190;45.446442;12.159578;"Rist. "" Il Burchiello"""
191;45.446079;12.159264;"Rist. "" Il Burchiello"""
192;45.441902;12.146779;Distributore
193;45.449081;12.165473;Stazione FS di Oriago
194;45.453629;12.176764;Oriago  (Rist. Vettore)
195;45.451809;12.17141;Oriago Centro
196;45.456326;12.170998;Civico 15
197;45.459194;12.164803;Civico 81
198;45.459305;12.164227;Civico 8
199;45.4576;12.159834;Incr. via Calabria
200;45.457447;12.160021;Incr. via Calabria
201;45.45599;12.156087;incr. via Sieve
202;45.455666;12.15582;incr. via Sieve
203;45.454597;12.151603;Borbiago  (chiesa)
204;45.45459;12.152394;Borbiago  (chiesa)
205;45.453197;12.143913;Civico 16 (v.Boldani)
206;45.453442;12.143759;Incr. via Boldani
207;45.456142;12.132495;Civico 2
208;45.456371;12.132435;Civico 7
209;45.463009;12.122021;Marano Sottopasso
210;45.462887;12.122078;Marano Sottopasso
211;45.402668;12.149469;bivio Giare
212;45.400833;12.147037;bivio Giare
213;45.420544;12.170709;Ipermercato Lando
214;45.420708;12.17051;Ipermercato Lando
215;45.429714;12.184673;Fabbr. Pansac
216;45.42968;12.184243;Fabbr. Pansac
217;45.396366;12.356903;Canottieri Diadora
218;45.396755;12.357453;Canottieri Diadora
219;45.394646;12.355569;Incr. via dei Giunta
220;45.394848;12.356008;Incr. via dei Giunta
221;45.392471;12.353857;Chiesa S. Ignazio
222;45.392597;12.354213;Incr. via Fuga
223;45.389816;12.352042;Scuola Materna
224;45.385475;12.348263;Vigili del Fuoco
225;45.385792;12.34877;Vigili del Fuoco
226;45.382938;12.346194;Incr. via Alvisopoli
227;45.383129;12.346588;Incr. via Alvisopoli
228;45.37907;12.342971;Incr. via Parri
229;45.379635;12.34373;Incr. via Parri
230;45.374229;12.338304;Incr. via Bassanello
231;45.374283;12.33865;Incr. via Bassanello
232;45.371658;12.336782;Malamocco centro
233;45.372002;12.336955;Malamocco centro
234;45.366581;12.33527;Canada
235;45.36668;12.335499;Canada
236;45.360973;12.332125;Civico 40
237;45.361156;12.332352;Civico 41
238;45.35844;12.329723;Colonia Morosini
239;45.358528;12.329983;Colonia Morosini
240;45.354595;12.326283;IRCCS S.Camillo
241;45.354729;12.326589;IRCCS S.Camillo
242;45.352135;12.324331;Stella Maris
243;45.352306;12.324622;Stella Maris
244;45.348988;12.319267;via Ca' Rossa
245;45.348858;12.319654;via Ca' Rossa
246;45.341656;12.309396;Imbarco Ferry
247;45.347122;12.317904;"Alberoni ""Chiesa"""
248;45.347221;12.318443;"Alberoni ""Chiesa"""
249;45.345154;12.315077;Golf Club
250;45.345154;12.315342;Golf Club
251;45.341427;12.309233;Sbarco Ferry
252;45.340984;12.309658;Faro Rocchetta
253;45.332634;12.317971;S. Maria Del Mare
254;45.332775;12.317962;S. Maria Del Mare
255;45.323174;12.320036;Belvedere
256;45.323395;12.320398;Belvedere
257;45.318851;12.317818;Di Botta
258;45.319019;12.31808;Di Botta
284;45.416893;12.368805;SME 4
285;45.413021;12.367312;Scuole Pisani - Gabelli
286;45.413223;12.367537;Scuole Pisani - Gabelli
287;45.387493;12.350146;Scuola Giovanni XXIII
288;45.38736;12.349788;Scuola Giovanni XXIII
289;45.370167;12.33701;Scuola Penzo
290;45.369865;12.33682;Scuola Penzo
291;45.423042;12.384836;Ospedale al Mare
294;45.41748;12.368698;SME 3
295;45.419361;12.380493;Fronte civico 1
296;45.389694;12.351628;Incr. via Giolito
297;45.572189;12.235341;Nigi
298;45.572418;12.234817;Nigi
299;45.435764;12.19363;bivio Malcontenta
300;45.435444;12.192575;bivio Malcontenta
313;45.407398;12.013106;Fronte Villa Pisani
315;45.483978;12.0046;Localita' Madonna Mora
316;45.483822;12.004363;Localita' Madonna Mora
317;45.480843;12.020783;Incr. via Pioga
318;45.479931;12.25043;Poste
319;45.478153;12.253673;Universita'
320;45.477299;12.250316;Incr. via Ticozzi
321;45.479019;12.246115;A. C. I.
322;45.482002;12.236453;Imposte Dirette
323;45.484623;12.237791;"Condominio ""le Querce"""
324;45.484413;12.241175;Incr. via Torino
325;45.48756;12.242879;Incr. via Milano
326;45.490372;12.244611;Incr. v.Mestrina
328;45.498684;12.23157;Incr. via S. Chiara
329;45.490944;12.239929;Telecom
331;45.483643;12.228148;Incr. via Fagare'
332;45.487045;12.224774;Incr. via Podgora
333;45.489967;12.223633;Incr. via Gazzera Alta
334;45.518951;12.191181;Incr.v.Cavalieri V.Veneto
335;45.535091;12.207755;S. Lucia chiesa
336;45.484715;12.194215;Localita' Avanti
337;45.484898;12.197292;Incr. via Ivancich
338;45.485004;12.203161;Incr. via Pergine
339;45.485031;12.207926;Incr. via Piemonte
340;45.485405;12.212161;Incr. via Lazio
341;45.485615;12.214992;Incr. via Calucci
342;45.486336;12.221045;Incr. via Giustizia
343;45.490688;12.226445;Incr. via Monteverdi
344;45.492226;12.230203;Incr.v.Vivaldi
345;45.491508;12.237906;Incr.via Felisati
346;45.490971;12.235674;Incr. via E. de Amicis
347;45.487083;12.234321;P. tta 11 Febbraio
348;45.488808;12.234866;Incr. via Fiume
349;45.484779;12.233228;Edicola
350;45.499535;12.21348;Brendole - Capolinea
351;45.499214;12.214763;Incr. via Stignano
352;45.498875;12.218212;Incr. via Promontore
353;45.496555;12.21927;Incr. via Arsa
354;45.496693;12.185061;Incr. via Da Todi
355;45.495415;12.190179;Incr. via Euganea
356;45.494133;12.195601;Incr.v.M.di Marzabotto
357;45.493317;12.201032;Incr.v.Card.Trevisanato
358;45.492882;12.207755;Istituto Volta
359;45.493092;12.213739;Istituto Liceo Morin
360;45.495014;12.217248;Incr. via Pirano
