from_stop_I;to_stop_I;d;duration_avg;n_vehicles;route_I_counts
1755;972;331;240.0;6;994:6
1755;973;295;180.0;85;995:85
972;1751;390;120.0;109;946:103,947:6
970;1765;548;120.0;91;994:6,995:85
947;948;365;120.0;91;994:6,995:85
543;462;398;60.0;109;946:103,947:6
544;546;254;60.0;109;944:103,945:6
545;543;225;60.0;109;946:103,947:6
546;545;261;60.0;109;946:103,947:6
546;547;510;60.0;109;944:103,945:6
547;1740;237;60.0;109;944:103,945:6
548;546;388;120.0;109;946:103,947:6
973;1754;306;120.0;91;993:91
945;1753;304;120.0;91;993:91
946;969;525;120.0;91;994:6,995:85
952;972;221;180.0;103;946:103
948;949;233;60.0;91;994:6,995:85
949;946;292;60.0;91;994:6,995:85
950;970;346;120.0;91;994:6,995:85
951;953;368;60.0;103;944:103
462;460;323;60.0;109;946:103,947:6
953;955;301;60.0;103;944:103
954;952;367;60.0;103;946:103
955;957;406;120.0;103;944:103
956;954;309;60.0;103;946:103
957;959;316;60.0;103;944:103
958;956;404;120.0;103;946:103
959;961;226;60.0;103;944:103
960;958;313;60.0;103;946:103
961;963;461;60.0;103;944:103
962;960;234;60.0;103;946:103
963;966;584;120.0;103;944:103
964;962;449;120.0;103;946:103
965;950;564;120.0;91;994:6,995:85
966;974;5594;600.0;103;944:103
967;964;588;60.0;103;946:103
968;945;512;180.0;91;993:91
457;459;386;120.0;109;944:103,945:6
459;461;319;60.0;109;944:103,945:6
1740;1742;371;60.0;109;944:103,945:6
461;463;399;60.0;109;944:103,945:6
1742;1744;216;120.0;109;944:103,945:6
463;544;230;60.0;109;944:103,945:6
1744;1746;317;60.0;109;944:103,945:6
1745;1743;184;120.0;109;946:103,947:6
1746;1748;350;60.0;109;944:103,945:6
1747;1745;259;60.0;109;946:103,947:6
1748;1750;258;60.0;109;944:103,945:6
974;967;5576;600.0;103;946:103
1750;1752;386;180.0;109;944:103,945:6
1751;1749;253;60.0;109;946:103,947:6
1752;973;75;60.0;6;945:6
1752;951;223;180.0;103;944:103
1753;1762;246;60.0;91;993:91
1754;1756;185;60.0;91;993:91
1743;1741;330;60.0;109;946:103,947:6
1756;1758;496;60.0;91;993:91
1757;1755;175;60.0;91;994:6,995:85
1758;1760;197;60.0;91;993:91
1759;1757;503;120.0;91;994:6,995:85
1760;968;339;120.0;91;993:91
1761;1759;198;60.0;91;994:6,995:85
1762;1763;373;60.0;91;993:91
1763;1764;433;180.0;91;993:91
1764;971;547;60.0;91;993:91
1765;947;448;120.0;91;994:6,995:85
1766;965;546;180.0;91;993:91
971;1766;322;120.0;91;993:91
969;1761;339;120.0;91;994:6,995:85
460;458;379;120.0;109;946:103,947:6
1741;548;456;60.0;109;946:103,947:6
1749;1747;353;60.0;109;946:103,947:6
