from_stop_I;to_stop_I;d;d_walk
1;35;540;583
1;76;907;977
1;29;456;495
1;134;475;525
1;77;521;580
2;98;581;739
2;100;628;838
2;101;617;828
2;102;450;506
2;103;492;552
2;40;536;587
2;52;905;941
3;86;742;993
3;7;498;664
3;8;519;668
3;87;273;963
3;1551;829;989
3;1554;787;966
3;1555;790;962
3;1556;792;958
3;1557;794;952
3;1558;799;973
3;1559;801;970
3;88;399;506
3;36;359;540
3;38;284;433
3;39;279;914
3;110;631;840
3;55;26;30
3;56;455;611
3;57;566;724
3;122;357;504
3;59;738;960
3;61;428;440
5;112;151;171
5;90;558;791
5;75;557;589
5;60;172;193
5;6;197;217
6;112;47;69
6;75;360;392
6;92;753;912
6;90;621;857
6;91;732;889
6;60;25;48
6;93;813;980
7;1090;457;692
7;86;254;372
7;8;22;34
7;87;379;642
7;974;321;402
7;1551;339;368
7;1552;380;450
7;1553;336;403
7;1554;292;345
7;1555;295;342
7;1556;297;337
7;1557;300;332
7;1558;305;353
7;1559;308;349
7;88;624;922
7;1561;333;413
7;1562;337;392
7;1563;336;398
7;1564;339;383
7;1565;365;481
7;84;257;473
7;36;588;956
7;38;547;758
7;39;330;594
7;82;285;505
7;1841;462;712
7;83;255;473
7;55;501;689
7;56;44;64
7;57;70;103
7;122;152;217
7;59;244;362
7;61;671;949
7;85;259;382
7;21;452;671
8;1090;446;671
8;86;233;352
8;87;399;646
8;974;299;382
8;1551;317;348
8;1552;358;430
8;1553;314;383
8;1554;270;325
8;1555;273;321
8;1556;275;317
8;1557;279;311
8;1558;283;332
8;1559;286;329
8;88;642;926
8;1561;311;393
8;1562;315;371
8;1563;314;378
8;1564;317;363
8;1565;344;461
8;84;239;452
8;36;607;960
8;38;564;762
8;39;350;598
8;82;269;484
8;1841;452;691
8;83;236;453
8;55;522;693
8;56;65;85
8;57;48;83
8;122;174;221
8;59;222;341
8;61;686;953
8;85;238;361
8;21;434;650
13;128;26;88
13;129;79;128
13;130;122;186
13;2374;68;138
13;2375;88;115
13;2377;724;813
13;2378;772;859
13;284;140;202
13;285;585;675
13;286;560;646
13;2401;714;907
13;2402;705;936
13;294;77;136
13;1002;94;126
13;46;143;197
13;51;76;130
13;2359;691;927
13;2360;706;939
13;2361;448;604
13;2362;512;653
13;2363;293;438
13;2364;267;391
13;2365;501;696
13;2366;589;820
14;114;427;639
14;116;406;774
14;117;595;749
14;118;587;849
14;25;450;662
14;31;471;683
14;28;436;574
14;30;406;761
14;15;34;40
15;114;460;646
15;116;389;780
15;30;390;767
15;118;611;856
15;25;483;669
15;28;439;581
15;117;597;755
15;31;505;689
16;18;807;935
17;2368;430;453
17;2369;174;191
17;2370;251;438
17;291;599;633
17;2372;477;608
17;2373;560;596
17;295;745;851
17;2376;468;636
17;2371;332;367
17;2355;188;213
17;2356;745;871
17;1142;342;378
17;2365;729;756
17;2366;618;641
17;2367;395;413
18;24;569;719
18;119;527;713
19;1566;807;900
19;253;79;81
19;254;78;103
19;1567;814;871
20;249;626;746
20;250;642;752
20;251;23;29
20;252;81;90
20;246;36;78
21;1090;207;323
21;1558;239;357
21;73;701;829
21;1559;235;353
21;974;262;395
21;1551;206;311
21;1552;222;296
21;1553;267;396
21;1554;262;405
21;1555;256;402
21;1556;251;397
21;85;220;358
21;86;237;348
21;57;395;601
21;1561;276;406
21;1562;255;384
21;1563;262;391
21;1564;247;376
21;1565;274;346
21;82;178;201
21;1841;236;356
21;83;199;255
21;56;489;721
21;84;196;255
21;122;596;845
21;59;271;377
21;1557;245;392
23;121;78;139
23;62;41;145
24;119;43;65
25;113;354;384
25;114;26;42
25;116;757;923
25;30;747;911
25;118;431;599
25;28;607;724
25;117;729;899
25;31;24;44
26;74;597;715
27;32;702;921
27;64;705;998
27;34;711;993
27;65;705;936
28;114;598;700
28;116;274;346
28;30;255;333
28;118;376;881
28;117;160;321
28;31;614;744
29;76;477;505
29;134;21;53
30;114;731;887
30;116;20;29
30;117;345;427
30;31;761;931
31;113;341;348
31;114;50;63
31;116;771;944
31;118;423;578
31;117;733;919
32;64;108;148
32;65;17;31
32;34;130;168
32;67;883;999
32;131;670;813
32;37;627;674
32;132;650;819
32;66;606;669
34;64;22;36
34;66;732;803
34;131;541;679
34;132;520;685
34;37;754;809
34;65;146;183
35;77;20;34
36;38;640;837
36;109;679;931
36;110;696;869
36;88;44;76
36;122;446;797
36;55;385;565
36;56;550;904
36;90;490;781
36;61;786;975
37;64;733;788
37;67;269;417
37;69;436;588
37;70;418;588
37;65;612;659
37;72;481;653
37;74;697;961
37;71;497;656
37;66;23;38
37;126;338;487
38;56;514;705
38;55;259;416
38;57;602;818
38;122;464;598
38;61;153;225
38;88;681;803
39;86;579;827
39;87;50;68
39;974;633;898
39;1551;661;868
39;1552;698;950
39;1553;646;879
39;1554;607;818
39;1555;611;825
39;1556;614;820
39;85;586;836
39;1558;624;852
39;1559;627;849
39;1561;641;871
39;1562;650;891
39;1563;647;884
39;1564;654;883
39;1565;673;934
39;84;585;927
39;122;185;467
39;82;607;959
39;83;584;928
39;89;447;673
39;55;298;939
39;56;291;541
39;57;394;654
39;58;362;590
39;59;563;770
39;1557;618;815
40;99;494;742
40;52;370;396
40;101;313;359
40;102;87;130
40;103;45;94
40;104;492;921
40;100;307;344
40;105;598;788
40;98;472;806
40;95;766;921
41;96;748;997
41;97;730;995
41;54;282;426
41;89;435;732
41;58;547;923
41;91;210;313
41;92;226;335
41;90;165;879
41;94;338;499
41;93;267;403
42;78;54;85
46;128;117;171
46;129;65;116
46;130;21;43
46;2374;96;126
46;2375;75;103
46;2377;621;800
46;2378;669;846
46;2368;881;996
46;284;112;189
46;285;484;662
46;286;461;633
46;2401;753;894
46;2402;739;924
46;294;92;123
46;1002;78;113
46;51;67;117
46;2359;764;915
46;2360;782;926
46;2361;501;591
46;2362;564;640
46;2363;337;425
46;2364;301;379
46;2365;639;683
46;2366;730;808
51;128;50;104
51;129;3;2
51;130;47;106
51;2374;41;59
51;2375;35;36
51;2377;665;733
51;2378;713;779
51;2380;910;976
51;2368;814;929
51;284;100;122
51;285;526;595
51;286;502;566
51;2401;727;827
51;2402;716;857
51;997;792;986
51;294;43;57
51;1002;44;46
51;2359;723;848
51;2360;740;860
51;2361;468;524
51;2362;532;574
51;2363;305;359
51;2364;272;312
51;2365;573;616
51;2366;663;741
51;2367;851;959
52;100;449;654
52;101;467;669
52;102;457;485
52;103;414;449
52;105;371;495
54;99;668;861
54;100;750;973
54;101;750;988
54;71;711;970
54;72;721;967
54;106;582;721
54;107;583;700
54;108;585;785
54;104;636;893
54;89;606;986
54;90;402;831
54;91;105;144
54;92;84;121
54;93;23;50
54;94;108;556
54;95;362;604
55;122;365;529
55;110;633;822
55;88;424;530
55;1554;789;991
55;1555;792;987
55;1556;793;983
55;1557;796;977
55;1558;800;998
55;1559;802;994
55;56;459;636
55;57;569;748
55;87;294;988
55;59;740;985
55;61;402;423
56;1090;481;743
56;86;297;423
56;87;341;590
56;974;364;453
56;1551;382;419
56;1552;423;501
56;1553;379;454
56;1554;335;396
56;1555;338;392
56;1556;340;388
56;1557;343;382
56;1558;348;403
56;1559;351;400
56;88;587;869
56;1561;376;464
56;1562;380;442
56;1563;379;449
56;1564;382;434
56;1565;408;532
56;84;294;524
56;122;110;165
56;82;319;555
56;1841;483;762
56;83;294;524
56;57;113;154
56;58;645;983
56;59;287;413
56;61;643;897
56;85;300;432
57;1090;425;622
57;86;186;303
57;87;443;702
57;974;251;332
57;1551;270;299
57;1552;311;381
57;1553;267;334
57;1554;222;276
57;1555;226;272
57;1556;228;268
57;1557;231;262
57;1558;236;283
57;1559;239;279
57;88;684;982
57;1561;264;344
57;1562;268;322
57;1563;266;329
57;1564;270;314
57;1565;296;412
57;82;238;435
57;1841;433;642
57;83;197;404
57;84;202;403
57;122;221;277
57;59;174;292
57;85;192;312
58;89;112;434
58;87;313;541
58;122;544;909
58;94;676;892
59;1090;380;443
59;1558;62;104
59;1559;65;100
59;974;81;153
59;1551;99;120
59;1552;137;202
59;1553;97;155
59;82;183;211
59;83;113;179
59;84;133;179
59;86;38;78
59;87;611;819
59;1561;97;152
59;1562;96;143
59;1563;96;150
59;1564;97;135
59;1565;128;216
59;96;766;937
59;97;777;935
59;1556;54;72
59;1557;57;66
59;1554;50;80
59;1841;400;463
59;1555;53;76
59;122;394;513
59;85;58;88
60;112;22;45
60;91;735;917
60;90;611;847
60;75;385;419
60;92;756;939
61;88;826;941
61;122;606;789
62;121;44;63
64;65;124;163
64;131;562;699
64;132;542;705
64;66;711;783
65;67;867;983
65;131;686;829
65;132;666;835
65;66;590;653
66;67;289;412
66;70;438;583
66;72;500;647
66;74;708;956
66;71;516;651
66;126;358;482
66;69;456;583
67;70;151;296
67;71;232;364
67;72;215;361
67;74;732;969
67;126;70;195
67;69;169;296
68;1108;210;275
69;70;20;36
69;71;64;180
69;72;48;176
69;91;730;959
69;92;729;936
69;93;747;990
69;126;101;209
70;71;83;179
70;72;67;176
70;91;742;958
70;92;741;935
70;93;760;990
70;126;82;208
71;72;17;33
71;92;688;893
71;91;691;916
71;93;702;947
71;126;165;276
72;92;697;890
72;91;700;913
72;93;713;944
72;126;148;273
73;1841;893;957
73;1090;866;924
74;75;433;880
75;112;406;441
76;134;457;483
79;80;28;41
79;81;296;458
79;125;279;678
80;81;323;455
80;125;255;675
81;125;565;915
82;1090;202;427
82;86;149;182
82;974;230;286
82;1551;194;252
82;1552;238;334
82;1553;244;287
82;1554;209;239
82;1555;207;236
82;1556;202;231
82;1557;199;226
82;1558;197;236
82;1559;195;232
82;1561;250;297
82;1562;235;275
82;1563;240;282
82;1564;229;267
82;1565;269;375
82;84;51;89
82;1841;219;447
82;83;71;89
82;122;423;679
82;85;129;192
83;1090;270;396
83;1558;131;205
83;1559;130;201
83;974;164;254
83;1551;137;220
83;1552;184;302
83;1553;179;255
83;1554;140;208
83;1555;139;204
83;84;22;41
83;86;78;151
83;87;634;976
83;1561;184;265
83;1562;171;243
83;1563;175;250
83;1564;167;235
83;1565;206;344
83;1556;135;200
83;1557;133;194
83;1841;289;415
83;122;403;647
83;85;60;160
84;1090;252;396
84;86;99;150
84;87;634;976
84;974;185;254
84;1551;156;220
84;1552;203;302
84;1553;200;255
84;1554;162;208
84;1555;160;204
84;1556;156;200
84;1557;153;194
84;1558;152;204
84;1559;150;201
84;1561;204;265
84;1562;192;243
84;1563;196;250
84;1564;187;235
84;1565;226;344
84;1841;269;415
84;122;402;647
84;85;81;160
85;1090;324;426
85;1558;75;113
85;1559;74;109
85;974;106;162
85;1551;90;129
85;1552;138;210
85;1553;123;164
85;1554;82;116
85;1555;80;113
85;86;21;44
85;87;635;885
85;1561;126;174
85;1562;115;152
85;1563;119;159
85;1564;112;144
85;1565;151;252
85;1556;77;108
85;1841;344;446
85;122;410;555
85;1557;75;103
86;1090;344;417
86;1559;63;100
86;974;92;153
86;1551;87;119
86;1552;133;201
86;1553;109;154
86;1558;63;104
86;87;628;875
86;1561;112;164
86;1562;104;142
86;1563;106;149
86;1564;101;134
86;1565;139;243
86;96;803;993
86;97;814;992
86;1556;62;99
86;1557;62;93
86;1554;65;107
86;1841;364;437
86;1555;64;103
86;122;406;546
87;1558;671;901
87;1559;675;897
87;974;680;947
87;1551;709;917
87;1552;745;998
87;1553;693;927
87;1554;654;866
87;1555;658;873
87;1556;661;869
87;1561;687;919
87;1562;697;939
87;1563;694;932
87;1564;701;932
87;1565;719;983
87;122;235;516
87;89;402;625
87;1557;666;863
88;109;664;897
88;110;699;834
88;122;485;762
88;90;449;747
89;91;595;873
89;122;624;991
89;92;601;895
89;93;605;963
89;94;581;784
90;92;369;740
90;112;602;831
90;91;357;717
90;93;393;808
91;99;772;976
91;106;623;787
91;107;621;766
91;108;610;851
91;112;737;938
91;92;22;53
91;104;722;986
91;95;464;719
91;93;83;121
91;94;205;442
92;99;752;953
