,City,max(g(i)),<g(i)>,n,max(g(k)),<g(k)>,y
0,adelaide,0.1609870935198558,0.0027542249489594757,-88.02536748657536,0.11998764084637488,0.03243007647617919,0.9207897817508803
1,antofagasta,0.32850970250193817,0.024359962071826485,-20.1459284585292,0.04523845589103385,0.028918518533019737,0.26672756214110865
2,athens,0.2045736372272829,0.0046268920974027045,-77.5892285995861,0.09091355980969949,0.03165641020994015,1.8701130907275958
3,belfast,0.2655539318766659,0.012489122822994667,-35.04993775535322,0.2655539318766659,0.08592524535035723,2.3839721043363067
4,berlin,0.3593013468312284,0.002731850215403459,-48.67019375802431,0.15557368954652587,0.04622165332671676,2.0982714753137266
5,bordeaux,0.10910345748435787,0.008113299553943581,-73.32077492610841,0.10257199259984924,0.03697209859357085,1.7226972634151299
6,brisbane,0.14695222957377468,0.003138756809516102,-80.7436104523896,0.14535953147207104,0.0469195291408912,1.5255538873717798
7,canberra,0.15364173592344096,0.005635700943850403,-69.53486076842253,0.11527688490985567,0.031684468844404394,1.0038394269448316
8,detroit,0.22701333938833168,0.012235974036287345,-54.51578833660463,0.22040687512923104,0.07851141685930671,1.5446296925203262
9,dublin,0.28336903883027226,0.005092759554536984,-52.217194023086655,0.2710530325613865,0.04935846191330609,0.7753473942194975
10,grenoble,0.25473709737112143,0.011784306881324076,-34.31553965450376,0.13457722541207814,0.038856126239669324,1.974433790152766
11,helsinki,0.21893633664240444,0.0033744732069826144,-79.24981477012011,0.050719535063946004,0.019866347097242422,1.7567153142109597
12,kuopio,0.45148019199093814,0.016205007638149214,-25.573582393135247,0.45148019199093814,0.12011218851942825,1.9805573606746238
13,lisbon,0.05634414119173678,0.0011730753223451265,-315.37949953235045,0.021456097456043672,0.007001117232815108,1.2457587392218064
14,luxembourg,0.4778498491031981,0.007148938406643287,-34.96471522438319,0.4778498491031981,0.08807912732587204,1.909959134541075
15,melbourne,0.5248802440743872,0.0035295631393827656,-42.17806117400998,0.28622606379541754,0.0374265098727112,1.358261813618769
16,nantes,0.15026258490881872,0.01046418052389079,-49.66358881248809,0.09228296995772196,0.030774488702951703,1.7775436140614487
17,palermo,0.16167391973921563,0.01340084589652249,-47.040505887707226,0.15271703459261596,0.04960015688739019,0.6326442755544891
18,paris,0.07178184438340204,0.0030973238096264322,-143.48748475192798,0.025062784059725087,0.00829532154642762,-0.24569391770041316
19,prague,0.2431147733312445,0.004139712161744133,-67.4691045982116,0.10258164959625748,0.029252339999940605,1.8420376571031989
20,rennes,0.16306019364452687,0.012012698243838849,-53.10145597846992,0.09387685650505342,0.04356487550098351,1.6522390432231782
21,rome,0.144424295755446,0.003956008203190281,-85.38762856015413,0.061031679964473735,0.019265121857787768,1.3117667403698263
22,sydney,0.2351823358752991,0.0012953145801485504,-95.56473823721717,0.07711006329678687,0.015271904461126466,-0.9111443158557608
23,toulouse,0.19318249690277275,0.011851291561026281,-51.18526035514737,0.10823014359280092,0.039123834799752726,1.5254934025254951
24,turku,0.12866382810146526,0.011675397064796743,-51.41714878017884,0.1187712212385482,0.043163384371895534,1.2088578037146918
25,venice,0.1232406840152836,0.008036419739639566,-59.86804039224277,0.08130544898339746,0.026540296024441135,0.76748179794196
26,winnipeg,0.1935109089798384,0.005526508508074115,-59.914185624446326,0.09447451363602505,0.03623001475988038,1.868328549638354
