City,# lines,Peak hour,# vehicles PH,Mean hour,# vehicles MH,Total # vehicles
adelaide,506,09,1380,07,627,15776
antofagasta,16,19,1008,11,736,13348
athens,233,09,2072,22,1312,31752
belfast,101,20,464,21,331,5411
berlin,456,09,3907,22,2291,59502
bordeaux,76,18,653,21,351,8478
brisbane,330,18,1906,07,986,21043
canberra,116,18,574,11,306,5622
detroit,39,17,360,20,193,4667
dublin,125,18,1088,21,606,14319
grenoble,46,18,482,07,227,5264
helsinki,463,17,2519,20,1362,32575
kuopio,32,16,124,07,74,1573
lisbon,820,09,1936,07,1148,26236
luxembourg,168,18,949,07,680,13145
melbourne,348,18,2498,21,1294,33574
nantes,92,18,783,11,420,8441
palermo,93,12,685,08,473,11477
paris,793,18,7110,21,4382,94377
prague,316,08,3071,06,1480,36406
rennes,48,18,487,21,266,5945
rome,315,08,2871,22,2079,47990
sydney,674,18,4263,20,2302,48849
toulouse,99,18,967,07,491,11079
turku,102,16,391,20,226,5294
venice,698,08,587,11,259,5800
winnipeg,89,17,918,14,446,10177
