City,N,E,A,P,d,<c>,ds,<k>,r,<l>,<knn>,ln(N),y
adelaide,7548.0,9234.0,837.0,1328119.0,89.0,0.022585472585472003,9.017921146953405,2.45,0.34,23.6,4.120149168927553,8.92903790648844,4.636110691748027
antofagasta,650.0,963.0,56.1,432085.0,51.0,0.08544322344322301,11.58645276292335,2.96,0.17,16.79,3.5985463127095705,6.476972362889683,3.8866975117533302
athens,6768.0,7978.0,412.0,3154152.0,131.0,0.013855308403180002,16.42718446601942,2.36,0.27,33.53,3.450462902924356,8.81996090128606,5.010853449393139
belfast,1917.0,2180.0,297.0,626760.0,64.0,0.009547821910889001,6.454545454545454,2.27,0.19,24.92,3.001026047699414,7.558516743045645,5.240523705275064
berlin,4601.0,6600.0,1030.0,3556792.0,46.0,0.123956918329994,4.466990291262136,2.87,0.24,13.61,5.045096912078969,8.434028950155469,4.034413129153843
bordeaux,3435.0,4026.0,1172.0,957383.0,98.0,0.011312249128843,2.9308873720136517,2.34,0.16,32.83,2.89831487312384,8.14177220465645,5.872939090676132
brisbane,9645.0,11681.0,2004.0,2372335.0,164.0,0.031105665014365003,4.812874251497006,2.42,0.19,33.69,4.283324313347817,9.17419492533983,4.190818667634011
canberra,2764.0,3206.0,401.0,452497.0,51.0,0.015972417998467003,6.892768079800499,2.32,0.26,19.65,3.4527286023998944,7.92443418488756,4.327144507852287
detroit,5683.0,5946.0,3463.0,3571000.0,206.0,0.010356131638904,1.6410626624314177,2.09,0.25,70.51,3.0913000780546684,8.645234541297121,5.017532802403896
dublin,4571.0,5537.0,319.0,1214666.0,81.0,0.039539820397400005,14.329153605015675,2.42,0.32,26.56,3.817778720704568,8.427487278331744,4.824151814194756
grenoble,1547.0,1679.0,523.0,524853.0,82.0,0.003275156216332,2.9579349904397705,2.17,0.09,26.85,2.4942767117554543,7.344072850573066,4.921367760893015
helsinki,6986.0,9022.0,683.0,1292232.0,74.0,0.021385370204436,10.22840409956076,2.58,0.14,25.31,3.2080138047142053,8.851663425366777,4.815483045154221
kuopio,549.0,699.0,47.9,118667.0,29.0,0.015647629035607,11.461377870563675,2.55,0.42,10.58,4.352246084669483,6.3080984415095305,3.972974831871243
lisbon,7073.0,8817.0,1376.0,2942097.0,101.0,0.01408107656517,5.140261627906977,2.49,0.11,30.05,3.2301005949935906,8.86403999703599,4.705117627091115
luxembourg,1367.0,1903.0,51.5,119215.0,34.0,0.100649529936221,26.54368932038835,2.78,0.22,10.79,4.772093355892675,7.220373836723949,3.570551004269402
melbourne,19493.0,21434.0,2705.0,4870388.0,254.0,0.00910345233692,7.206284658040666,2.2,0.22,75.29,3.226737990076729,9.877810705746144,4.939275775190637
nantes,2353.0,2743.0,538.0,669843.0,82.0,0.017062311537449002,4.37360594795539,2.33,0.15,28.42,2.854267235205433,7.763446388727362,4.891553794124356
palermo,2176.0,2559.0,159.0,852454.0,90.0,0.00867060967015,13.685534591194969,2.35,0.13,30.13,3.1329567136035674,7.685243607975833,5.01071212969799
paris,11950.0,13726.0,106.0,2229095.0,159.0,0.009693099555024001,112.73584905660377,2.3,0.1,47.63,3.139556053884158,9.388486557359657,5.523103795476746
prague,5147.0,6714.0,496.0,1308632.0,67.0,0.031043099335308,10.377016129032258,2.61,0.15,23.75,3.3841047380008504,8.546169299652755,4.656835957104171
rennes,1407.0,1670.0,50.4,349759.0,57.0,0.018088694847756,27.916666666666668,2.37,0.14,20.62,2.7287075101672844,7.249215057114389,5.038551434738537
rome,7869.0,10068.0,424.0,2879728.0,100.0,0.026319130665299003,18.558962264150942,2.56,0.2,34.7,3.4332637085028113,8.970686268534983,4.637352644427427
sydney,24063.0,28695.0,2179.0,4859432.0,115.0,0.028791657119763003,11.043139054612208,2.38,0.37,36.13,4.846240507986311,10.088430670035034,4.805175761660664
toulouse,3329.0,3734.0,812.0,1010593.0,111.0,0.005657354560929,4.099753694581281,2.24,0.12,42.88,2.634224060435951,8.110427237575024,5.103349787644553
turku,1850.0,2335.0,282.0,274896.0,67.0,0.015277524277524001,6.560283687943262,2.52,0.18,23.37,3.2191604728809033,7.52294091807237,4.361626537246002
venice,1874.0,2647.0,413.0,636244.0,61.0,0.060133705430515,4.5375302663438255,2.82,0.26,20.51,4.457191963089811,7.535830462798367,4.1347137121879225
winnipeg,5079.0,5846.0,344.0,808419.0,84.0,0.010360275894829001,14.76453488372093,2.3,0.23,29.06,2.963323312988426,8.532869670801245,4.919419350384824
